from_HexID,to_HexID,distance
53,52,1194.9641654857053
53,64,1414.9731824047285
53,65,1034.1024726235587
54,42,1392.4190219081102
54,55,1307.2244441806788
55,42,1299.907098016505
55,54,1307.224444180679
55,56,1491.9341571425591
55,67,1441.407858368696
56,43,1220.1338951247376
56,44,1254.1421434846734
56,55,1491.934157142559
56,67,1158.522923787511
56,68,1357.0026366122734
57,68,1015.1552619972439
58,45,1497.4379637183488
58,46,994.1906656058237
58,59,1208.1174938579807
58,69,1086.99284583972
59,46,1317.8713451729423
59,58,1208.1174938579804
60,49,1162.9158483028734
60,61,963.3503429303343
61,49,947.1154757534025
61,60,963.3503429303343
62,73,1086.734815352411
63,51,1484.1521533051907
64,52,1043.2901487128381
64,53,1414.9731824047287
64,65,1172.911882897387
64,74,1121.834617328911
64,75,1061.0070269650357
65,53,1034.1024726235592
65,64,1172.9118828973872
65,75,1363.7776118919226
65,76,1229.9447319622168
66,76,1334.2654813670085
66,77,1201.2475383264884
67,55,1441.4078583686953
67,56,1158.5229237875108
67,77,1001.4721329121005
67,78,1290.314547356987
68,56,1357.002636612273
68,57,1015.1552619972434
68,79,1307.7610431277506
69,58,1086.9928458397203
69,79,1092.5930115960516
69,80,1425.6133369248507
70,71,1128.8702882982186
71,70,1128.8702882982186
72,83,1283.2208634080969
72,84,1254.0359314156833
73,62,1086.7348153524108
74,64,1121.8346173289108
74,75,1328.6449918986525
74,86,1398.5889850962265
75,64,1061.007026965036
75,65,1363.777611891923
75,74,1328.644991898653
75,76,1367.2027485421313
75,87,1347.4040789733433
76,65,1229.9447319622168
76,66,1334.2654813670088
76,75,1367.2027485421306
76,77,1458.2494632869088
76,87,1118.7094910633455
76,88,1404.6523610269562
77,66,1201.2475383264896
77,67,1001.4721329121008
77,76,1458.249463286909
77,78,1021.4492335207486
77,88,1144.372097616948
77,89,1335.1554486417629
78,67,1290.3145473569866
78,77,1021.4492335207483
78,79,1297.0066893130845
78,89,1210.4947008446732
78,90,1386.248237883727
79,68,1307.76104312775
79,69,1092.5930115960523
79,78,1297.0066893130845
79,80,1207.5513324482963
79,90,1342.3807490754964
79,91,1461.8836788027802
80,69,1425.6133369248512
80,79,1207.551332448296
82,83,1150.9625512251405
83,72,1283.220863408097
83,82,1150.9625512251403
83,84,1251.0166568547393
83,94,1286.8194353118142
83,95,1453.6686262482044
84,72,1254.0359314156833
84,83,1251.016656854739
84,96,1147.4695444555005
85,97,941.5137203287428
86,74,1398.5889850962274
87,75,1347.4040789733428
87,76,1118.7094910633457
88,76,1404.6523610269571
88,77,1144.372097616947
88,89,1214.2145864392023
88,99,935.9812298762414
89,77,1335.155448641764
89,78,1210.4947008446732
89,88,1214.214586439202
89,90,1483.3118127648765
90,78,1386.248237883727
90,79,1342.380749075496
90,89,1483.3118127648765
91,79,1461.88367880278
91,92,931.2346958891933
92,91,931.2346958891932
92,103,1176.973920958214
93,94,1468.8853911250853
94,83,1286.819435311814
94,93,1468.885391125085
94,95,1176.231375989214
94,106,1062.1545430449542
95,83,1453.6686262482046
95,94,1176.2313759892133
95,106,1228.0995978403687
95,107,1388.792078243742
96,84,1147.4695444555002
97,85,941.5137203287426
97,98,1108.2839462928755
98,97,1108.2839462928762
98,110,1082.0343073148567
99,88,935.9812298762414
99,100,1313.025592992713
100,99,1313.025592992713
100,112,1190.6872217349942
102,103,1217.021214299079
103,92,1176.9739209582137
103,102,1217.021214299078
103,115,1085.5029558710037
104,105,1321.7565651365496
105,104,1321.7565651365494
105,117,1000.5608329706321
106,94,1062.1545430449544
106,95,1228.0995978403685
106,107,1093.2056390915927
107,95,1388.7920782437423
107,106,1093.2056390915932
107,108,1240.79076725155
107,120,1265.9468623703992
107,121,1407.301370419061
108,107,1240.7907672515503
108,121,965.228331485688
108,122,1243.1748912623416
109,122,1299.2513059685646
109,123,1443.9062758934658
110,98,1082.034307314856
110,111,1380.1586555667195
111,110,1380.15865556672
112,100,1190.6872217349944
114,128,1120.528078957104
115,103,1085.502955871004
116,117,1237.1200998718973
116,129,1389.1212490763135
116,130,1183.9746974488385
117,105,1000.560832970632
117,116,1237.1200998718962
117,130,1081.3847340314433
118,132,1323.570154625777
119,120,1420.471293549918
119,133,1138.5774262224859
120,107,1265.9468623704
120,119,1420.4712935499188
120,121,1461.8375791636192
120,133,1414.4592290468183
120,134,1039.7511970968337
121,107,1407.3013704190619
121,108,965.2283314856876
121,120,1461.8375791636192
121,122,1286.24898971095
121,134,1324.8952371690955
121,135,919.2626369380415
122,108,1243.1748912623425
122,109,1299.2513059685657
122,121,1286.2489897109501
122,123,1323.8486981255696
122,135,1408.2883957801566
123,109,1443.9062758934667
123,122,1323.8486981255692
123,124,1313.6205328067456
123,137,1093.3197620401777
124,123,1313.6205328067454
125,126,1169.504973398572
126,125,1169.5049733985722
127,128,1337.7567587764208
127,141,1086.9494570051936
128,114,1120.5280789571038
128,127,1337.7567587764208
128,129,1040.8136870996004
128,141,1215.2620006251466
