Scenario,Season,chargerAccessType,Daily_pluggedTime_min,Daily_chargingTime_min,Daily_chargingCost_SEK,Daily_energy_kWh,Daily_sessionStarts
VIPV20_Wp700,SUMMER,home,13757855.708333332,3405605.666666667,828946.8230923936,346607.8884384752,23272.5
VIPV20_Wp700,SUMMER,work,2050322.4583333335,431431.3750000001,220599.99999999997,55149.99999999999,4715.0
VIPV20_Wp700,SUMMER,public,3747686.25,856814.6666666666,969107.9962452676,176201.4538627759,14832.5
VIPV20_Wp700,AUTUMN,home,13738978.458333332,3477170.541666667,759611.7419035414,354007.53082624223,22965.0
VIPV20_Wp700,AUTUMN,work,1925032.0416666665,396810.50000000006,201300.0,50325.0,4432.5
VIPV20_Wp700,AUTUMN,public,3800113.75,878959.375,991230.4164429379,180223.71208053414,15047.5
VIPV20_Wp700,WINTER,home,13807907.291666666,3448246.2083333335,858342.469876773,350621.2900953443,23372.5
VIPV20_Wp700,WINTER,work,2057008.125,436574.54166666674,222480.00000000006,55620.000000000015,4737.5
VIPV20_Wp700,WINTER,public,3750055.875,883536.3333333335,1000869.7627544033,181976.32050080053,15295.0
VIPV20_Wp1000,SPRING,home,12955769.166666666,3239745.875,771143.2481544327,329930.250157377,21702.5
VIPV20_Wp1000,SPRING,work,2052651.1666666665,448655.2916666666,235050.0,58762.5,4712.5
VIPV20_Wp1000,SPRING,public,3485254.458333333,812417.3333333333,915864.8641359307,166520.884388351,14165.0
VIPV20_Wp1000,SUMMER,home,13710678.125,3384288.916666667,824249.4507554452,344340.3268650517,23170.0
VIPV20_Wp1000,SUMMER,work,1989309.0416666667,417394.79166666674,214759.99999999997,53689.99999999999,4585.0
VIPV20_Wp1000,SUMMER,public,3731809.791666667,843835.8333333333,943016.6008981562,171457.56379966481,14782.5
VIPV20_Wp1000,AUTUMN,home,13535097.666666668,3444511.1666666665,755549.7124731633,351259.3269753755,22610.0
VIPV20_Wp1000,AUTUMN,work,1933270.8333333333,399947.0833333334,202740.00000000003,50685.00000000001,4450.0
VIPV20_Wp1000,AUTUMN,public,3799170.125,880165.3750000001,990886.3787732711,180161.15977695835,15150.0
VIPV20_Wp1000,WINTER,home,13980021.5,3465030.541666666,859823.5789340724,351939.30012082733,23552.5
VIPV20_Wp1000,WINTER,work,2052448.7083333335,423539.25,214230.00000000006,53557.500000000015,4732.5
VIPV20_Wp1000,WINTER,public,3783619.7083333335,885557.4583333334,997189.7979292299,181307.23598713274,15367.5
