Scenario,TimeIndex,Hour,chargerAccessType,Annual_avg_daily_pluggedTime_min,Annual_total_pluggedTime_min,Annual_avg_daily_chargingTime_min,Annual_total_chargingTime_min,Annual_avg_daily_chargingCost_SEK,Annual_total_chargingCost_SEK,Annual_avg_daily_energy_kWh,Annual_total_energy_kWh,Annual_avg_daily_sessionStarts,Annual_total_sessionStarts
VIPV50_Wp1000,8,3.5,home,413490.79520547943,150924140.25,45588.94326484018,16639964.291666664,7533.567068647678,2749751.9800564023,4835.800833846958,1765067.3043541398,0.0,0.0
VIPV50_Wp1000,8,3.5,public,70760.75342465754,25827675.0,398.2615296803653,145365.45833333334,534.7498117463757,195183.68128742714,97.22723849934104,35487.94205225948,0.0,0.0
VIPV50_Wp1000,8,3.5,work,131.0958904109589,47850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp1000,9,4.0,home,412797.6898401827,150671156.7916667,31050.004680365295,11333251.708333332,5077.916730974306,1853439.6068056216,3320.077054412329,1211828.1248605,0.0,0.0
VIPV50_Wp1000,9,4.0,public,70783.1506849315,25835850.0,235.18561643835616,85842.75,230.49268960553107,84129.83170601884,41.907761746460196,15296.333037457971,9.349315068493151,3412.5
VIPV50_Wp1000,9,4.0,work,173.5255707762557,63336.833333333336,42.429680365296804,15486.833333333332,13.969829065964182,5098.987609076927,3.4924572664910456,1274.7469022692317,5.027397260273973,1835.0
VIPV50_Wp1000,10,4.5,home,411053.90605022834,150034675.70833334,19000.425,6935155.125,3043.865123716356,1111010.77015647,2046.8759618031706,747109.7260581573,0.0,0.0
VIPV50_Wp1000,10,4.5,public,70690.25148401827,25801941.791666668,389.9293378995434,142324.20833333334,392.189783753536,143149.27107004065,71.30723340973383,26027.14019455285,13.746575342465754,5017.5
VIPV50_Wp1000,10,4.5,work,644.4327625570777,235217.95833333334,498.60525114155257,181990.9166666667,195.74909160207548,71448.41843475755,48.93727290051887,17862.104608689388,31.246575342465754,11405.0
VIPV50_Wp1000,11,5.0,home,406046.94200913236,148207133.8333333,9421.840981735158,3438971.958333333,1501.871009197666,548182.9183571481,1018.5116324095095,371756.745829471,7.513698630136986,2742.5
VIPV50_Wp1000,11,5.0,public,70098.58447488584,25585983.333333332,818.7206621004565,298833.0416666666,809.055957924952,295305.4246426075,147.1010832590822,53691.895389565005,39.95890410958904,14585.0
VIPV50_Wp1000,11,5.0,work,2008.6248858447486,733148.0833333333,1761.9872146118719,643125.3333333333,754.3381573702328,275333.427440135,188.5845393425582,68833.35686003375,79.8972602739726,29162.5
VIPV50_Wp1000,12,5.5,home,397382.2172374429,145044509.29166666,2024.411073059361,738910.0416666667,339.8220512146957,124035.04869336393,213.9973700930152,78109.04008395055,9.986301369863014,3645.0
VIPV50_Wp1000,12,5.5,public,69753.69417808221,25460098.375000004,1892.5537671232873,690782.1249999999,1771.9973674342054,646779.039113485,322.1813395334918,117596.1889297245,66.9041095890411,24420.0
VIPV50_Wp1000,12,5.5,work,5285.540753424658,1929222.375,4539.783561643836,1657021.0000000002,2055.608646040464,750297.1558047694,513.902161510116,187574.28895119234,116.78767123287672,42627.5
VIPV50_Wp1000,13,6.0,home,377308.6883561645,137717671.25000003,769.6554794520548,280924.25,191.2004877442181,69788.17802663961,76.48019509768726,27915.271210655847,5.02054794520548,1832.5
VIPV50_Wp1000,13,6.0,public,69770.53961187215,25466246.958333336,4513.502397260273,1647428.3749999998,4152.658495221568,1515720.3507558722,755.0288173130124,275585.5183192495,184.8835616438356,67482.5
VIPV50_Wp1000,13,6.0,work,10069.908561643835,3675516.625,8328.156278538814,3039777.041666667,3798.534355053999,1386465.0395947096,949.6335887634998,346616.2598986774,259.2671232876712,94632.5
VIPV50_Wp1000,14,6.5,home,346572.7116438357,126499039.75000003,783.6115296803653,286018.2083333333,194.17787022507565,70874.92263215261,77.67114809003026,28349.969052861044,11.842465753424657,4322.5
VIPV50_Wp1000,14,6.5,public,69436.8450913242,25344448.458333332,8651.981050228309,3157973.083333333,7845.7029262804745,2863681.568092373,1426.491441141904,520669.376016795,214.36301369863014,78242.5
VIPV50_Wp1000,14,6.5,work,20137.026141552506,7350014.541666664,16497.916438356166,6021739.5,7477.419371498746,2729258.0705970423,1869.3548428746865,682314.5176492606,370.75342465753425,135325.0
VIPV50_Wp1000,15,7.0,home,292444.93127853883,106742399.91666667,1095.5514840182648,399876.2916666666,299.8765312203803,109454.93389543881,106.15084194583527,38745.05731022987,25.60958904109589,9347.5
VIPV50_Wp1000,15,7.0,public,68732.19646118721,25087251.708333332,13918.376712328767,5080207.5,13204.046959964186,4819477.140386928,2400.7358109025795,876268.5709794415,463.5,169177.5
VIPV50_Wp1000,15,7.0,work,33854.91484018265,12357043.91666667,25689.808789954346,9376780.208333336,12113.31769812491,4421360.9598155925,3028.3294245312277,1105340.2399538981,686.6643835616438,250632.5
VIPV50_Wp1000,16,7.5,home,227047.35844748854,82872285.83333331,1641.6985159817352,599219.9583333334,425.1961869021053,155196.60821926844,156.1130400217898,56981.25960795328,25.60958904109589,9347.5
VIPV50_Wp1000,16,7.5,public,70148.47945205477,25604194.999999993,23015.928424657523,8400813.874999996,21505.029240503158,7849335.672783653,3910.0053164551186,1427151.9405061183,584.013698630137,213165.0
VIPV50_Wp1000,16,7.5,work,57792.62694063927,21094308.833333332,43108.72237442923,15734683.666666668,20633.139372087324,7531095.870811873,5158.284843021831,1882773.9677029683,744.6301369863014,271790.0
VIPV50_Wp1000,17,8.0,home,179007.90102739725,65337883.87499999,2069.8457762557077,755493.7083333333,757.0615835003455,276327.4779776261,211.47217231918165,77187.3428965013,47.445205479452056,17317.5
VIPV50_Wp1000,17,8.0,public,74451.67408675801,27174861.04166667,28776.16552511415,10503300.416666664,27555.93689241107,10057916.965730041,5010.170344074736,1828712.1755872788,488.06849315068496,178145.0
VIPV50_Wp1000,17,8.0,work,76581.1646118721,27952125.083333317,51313.79440639272,18729534.958333343,25284.179708356914,9228725.593550274,6321.044927089229,2307181.3983875685,468.63698630136986,171052.5
VIPV50_Wp1000,18,8.5,home,150788.3797945206,55037758.625000015,2701.1363013698624,985914.7499999998,984.0919521361313,359193.56252968794,276.94636166117095,101085.4220063274,89.26712328767124,32582.5
