Scenario,Season,TimeIndex,Hour,chargerAccessType,pluggedTime_min,chargingTime_min,chargingCost_SEK,energy_kWh,sessionStarts
VIPV80_Wp700,SUMMER,42,20.5,public,57015.95833333333,7972.916666666667,9197.675110320333,1672.3045655127887,97.5
VIPV80_Wp700,SUMMER,43,21.0,home,314671.4999999999,86154.83333333328,22218.050187655237,8887.220075062078,262.5
VIPV80_Wp700,SUMMER,43,21.0,work,1596.75,30.5,21.615478651005695,5.403869662751424,2.5
VIPV80_Wp700,SUMMER,43,21.0,public,57269.500000000015,7172.291666666667,8501.195105630462,1545.6718373873562,100.0
VIPV80_Wp700,SUMMER,44,21.5,home,321804.79166666674,76066.83333333333,19608.964082712442,7843.585633084985,237.5
VIPV80_Wp700,SUMMER,44,21.5,work,1167.7083333333333,15.541666666666668,11.234939759036145,2.808734939759036,0.0
VIPV80_Wp700,SUMMER,44,21.5,public,56804.87499999999,6002.708333333335,7047.623565238567,1281.3861027706487,32.5
VIPV80_Wp700,SUMMER,45,22.0,home,345789.0,84172.04166666672,17258.222544758304,8629.111272379152,1017.5
VIPV80_Wp700,SUMMER,45,22.0,work,691.4166666666666,0.0,0.0,0.0,0.0
VIPV80_Wp700,SUMMER,45,22.0,public,58031.0,6372.583333333334,7519.944070792209,1367.2625583258562,147.5
VIPV80_Wp700,SUMMER,46,22.5,home,383967.45833333326,107488.79166666673,21632.06254881809,10816.031274409044,1282.5
VIPV80_Wp700,SUMMER,46,22.5,work,213.04166666666666,0.0,0.0,0.0,0.0
VIPV80_Wp700,SUMMER,46,22.5,public,63315.208333333336,10757.875000000004,12371.037743596478,2249.2795897448145,192.5
VIPV80_Wp700,SUMMER,47,23.0,home,419319.9583333333,128172.25000000001,25588.54677516746,12794.27338758373,1135.0
VIPV80_Wp700,SUMMER,47,23.0,work,92.625,0.0,0.0,0.0,0.0
VIPV80_Wp700,SUMMER,47,23.0,public,67934.08333333334,14046.708333333336,16517.425532687725,3003.168278670498,175.0
VIPV80_Wp700,SUMMER,48,23.5,home,447564.74999999994,139759.24999999994,27964.398590349272,13982.199295174632,855.0
VIPV80_Wp700,SUMMER,48,23.5,work,75.0,0.0,0.0,0.0,0.0
VIPV80_Wp700,SUMMER,48,23.5,public,72165.83333333333,15266.791666666668,18183.342601747434,3306.062291226809,142.5
VIPV80_Wp700,AUTUMN,1,0.0,home,345818.375,72941.29166666666,11034.46992514428,7356.31328342951,1975.0
VIPV80_Wp700,AUTUMN,1,0.0,work,0.0,0.0,0.0,0.0,0.0
VIPV80_Wp700,AUTUMN,1,0.0,public,57722.0,7511.0,9014.176403638821,1638.9411642979676,340.0
VIPV80_Wp700,AUTUMN,2,0.5,home,395764.87499999994,115256.70833333328,17072.04834106113,11381.365560707418,1317.5
VIPV80_Wp700,AUTUMN,2,0.5,work,31.541666666666668,31.541666666666668,4.056806002143622,1.0142015005359055,2.5
VIPV80_Wp700,AUTUMN,2,0.5,public,68250.0,17611.95833333334,20507.788880203156,3728.688887309665,305.0
VIPV80_Wp700,AUTUMN,3,1.0,home,420262.5,129446.75000000006,19246.232560611992,12830.821707074649,645.0
VIPV80_Wp700,AUTUMN,3,1.0,work,75.0,46.208333333333336,5.943193997856378,1.4857984994640945,0.0
VIPV80_Wp700,AUTUMN,3,1.0,public,72975.0,20570.750000000004,24281.29154759292,4414.780281380531,112.5
VIPV80_Wp700,AUTUMN,4,1.5,home,429037.5,123452.66666666669,18610.371175269585,12406.914116846356,222.5
VIPV80_Wp700,AUTUMN,4,1.5,work,75.0,0.0,0.0,0.0,0.0
VIPV80_Wp700,AUTUMN,4,1.5,public,74962.5,17886.75,22179.436496942424,4032.624817625899,52.5
VIPV80_Wp700,AUTUMN,5,2.0,home,432562.5,112175.41666666673,17181.094973213036,11454.06331547536,85.0
VIPV80_Wp700,AUTUMN,5,2.0,work,75.0,0.0,0.0,0.0,0.0
VIPV80_Wp700,AUTUMN,5,2.0,public,75787.5,11057.458333333336,14103.661827175198,2564.302150395489,25.0
VIPV80_Wp700,AUTUMN,6,2.5,home,433350.0,99303.0,15401.607716705992,10267.738477804014,17.5
VIPV80_Wp700,AUTUMN,6,2.5,work,75.0,0.0,0.0,0.0,0.0
VIPV80_Wp700,AUTUMN,6,2.5,public,76125.0,4469.666666666666,5756.412421768015,1046.6204403214579,5.0
VIPV80_Wp700,AUTUMN,7,3.0,home,433454.2916666666,82871.41666666661,12993.610151119283,8662.406767412867,2.5
VIPV80_Wp700,AUTUMN,7,3.0,work,75.0,0.0,0.0,0.0,0.0
VIPV80_Wp700,AUTUMN,7,3.0,public,76098.95833333333,1794.7083333333333,2283.784031881256,415.2334603420465,0.0
VIPV80_Wp700,AUTUMN,8,3.5,home,433382.3333333334,66277.33333333336,10493.699250704829,6995.7995004699005,0.0
VIPV80_Wp700,AUTUMN,8,3.5,work,75.0,0.0,0.0,0.0,0.0
VIPV80_Wp700,AUTUMN,8,3.5,public,76050.0,650.3333333333335,842.1611256202488,153.12020465822707,0.0
VIPV80_Wp700,AUTUMN,9,4.0,home,432618.83333333326,48861.50000000001,7815.037307811742,5210.024871874495,0.0
VIPV80_Wp700,AUTUMN,9,4.0,work,123.25,48.25,17.16483437432301,4.291208593580753,12.5
VIPV80_Wp700,AUTUMN,9,4.0,public,76073.87499999999,293.0833333333333,328.9300305753645,59.80546010461174,7.5
VIPV80_Wp700,AUTUMN,10,4.5,home,430693.0,33605.24999999999,5421.974473312263,3614.6496488748394,0.0
VIPV80_Wp700,AUTUMN,10,4.5,work,988.75,932.125,374.24335873329295,93.56083968332324,42.5
VIPV80_Wp700,AUTUMN,10,4.5,public,75953.99999999999,307.375,301.1325210568125,54.751367464875,10.0
VIPV80_Wp700,AUTUMN,11,5.0,home,425729.24999999994,17565.500000000004,2848.4321789304818,1898.9547859536542,5.0
VIPV80_Wp700,AUTUMN,11,5.0,work,2467.916666666667,2297.5833333333335,957.6599179311877,239.41497948279692,67.5
VIPV80_Wp700,AUTUMN,11,5.0,public,75259.33333333333,637.6666666666669,567.6796644306276,103.21448444193231,40.0
VIPV80_Wp700,AUTUMN,12,5.5,home,417369.62500000006,3419.3333333333335,548.1287021190223,365.41913474601483,17.5
VIPV80_Wp700,AUTUMN,12,5.5,work,5588.291666666668,4710.666666666668,2073.361771856576,518.340442964144,125.0
VIPV80_Wp700,AUTUMN,12,5.5,public,74793.75,1943.4166666666663,1612.8831064300152,293.2514738963664,65.0
VIPV80_Wp700,AUTUMN,13,6.0,home,397151.4166666666,1223.1666666666665,312.75525019735835,125.10210007894337,7.5
VIPV80_Wp700,AUTUMN,13,6.0,work,10356.083333333332,8552.25,3781.060032059836,945.265008014959,250.0
VIPV80_Wp700,AUTUMN,13,6.0,public,74044.875,3994.7916666666674,3584.9128311813215,651.8023329420586,157.5
VIPV80_Wp700,AUTUMN,14,6.5,home,365177.6666666667,1148.7083333333333,299.89435922648386,119.95774369059356,7.5
VIPV80_Wp700,AUTUMN,14,6.5,work,19848.625000000007,15596.583333333336,6869.108982141631,1717.2772455354077,370.0
VIPV80_Wp700,AUTUMN,14,6.5,public,73317.74999999997,7503.375000000001,7016.835600315479,1275.7882909664509,210.0
VIPV80_Wp700,AUTUMN,15,7.0,home,307661.91666666674,1203.9583333333335,306.19053467565345,122.47621387026138,22.5
VIPV80_Wp700,AUTUMN,15,7.0,work,33955.791666666664,24921.70833333333,11376.053115564735,2844.0132788911837,710.0
VIPV80_Wp700,AUTUMN,15,7.0,public,72769.50000000003,13952.66666666666,12789.95873678283,2325.447043051424,472.5
VIPV80_Wp700,AUTUMN,16,7.5,home,237266.7499999999,1648.0833333333335,401.29946913365615,160.51978765346246,17.5
VIPV80_Wp700,AUTUMN,16,7.5,work,59045.66666666665,43143.833333333314,19947.500477243757,4986.875119310939,752.5
VIPV80_Wp700,AUTUMN,16,7.5,public,71917.875,22333.750000000015,20286.916269284324,3688.5302307789657,562.5
VIPV80_Wp700,AUTUMN,17,8.0,home,186352.62500000017,1705.1666666666667,695.7231085252683,173.9307771313171,30.0
VIPV80_Wp700,AUTUMN,17,8.0,work,77496.45833333336,49418.500000000015,23796.945611858533,5949.236402964633,482.5
VIPV80_Wp700,AUTUMN,17,8.0,public,75014.79166666663,28443.750000000007,26436.04380431551,4806.553418966456,510.0
VIPV80_Wp700,AUTUMN,18,8.5,home,155868.8333333334,2144.083333333333,929.278058277423,232.31951456935576,97.5
VIPV80_Wp700,AUTUMN,18,8.5,work,87063.99999999999,44487.91666666671,22664.50857933359,5666.127144833397,260.0
VIPV80_Wp700,AUTUMN,18,8.5,public,78091.375,26112.66666666666,26773.616301186896,4867.93023657943,402.5
VIPV80_Wp700,AUTUMN,19,9.0,home,135441.79166666666,4502.124999999999,1862.3733547534698,465.59333868836745,115.0
VIPV80_Wp700,AUTUMN,19,9.0,work,92868.9166666667,35303.54166666669,18957.642818602424,4739.410704650606,147.5
VIPV80_Wp700,AUTUMN,19,9.0,public,78749.20833333333,24049.5,25692.939137863093,4671.4434796114765,407.5
VIPV80_Wp700,AUTUMN,20,9.5,home,125685.04166666664,8036.083333333334,3346.1274626206455,836.5318656551614,187.5
VIPV80_Wp700,AUTUMN,20,9.5,work,94880.91666666667,24514.249999999996,13688.851749334004,3422.212937333501,95.0
VIPV80_Wp700,AUTUMN,20,9.5,public,80145.16666666664,23457.00000000001,24619.94961416262,4476.354475302296,442.5
VIPV80_Wp700,AUTUMN,21,10.0,home,113820.70833333336,12098.791666666666,4969.375936498476,1242.343984124619,255.0
VIPV80_Wp700,AUTUMN,21,10.0,work,96094.12500000003,17496.124999999993,10082.243750117503,2520.5609375293757,107.5
VIPV80_Wp700,AUTUMN,21,10.0,public,80750.45833333337,21565.541666666664,22860.418358013016,4156.43970145691,420.0
VIPV80_Wp700,AUTUMN,22,10.5,home,102625.41666666658,16954.708333333336,6962.329925038965,1740.5824812597411,307.5
VIPV80_Wp700,AUTUMN,22,10.5,work,96726.20833333334,14113.583333333336,7935.523809720286,1983.8809524300716,110.0
VIPV80_Wp700,AUTUMN,22,10.5,public,80118.58333333331,22751.04166666667,24110.261659387455,4383.683938070448,495.0
VIPV80_Wp700,AUTUMN,23,11.0,home,94922.99999999999,23759.45833333332,5474.874375634631,2433.2775002820567,450.0
VIPV80_Wp700,AUTUMN,23,11.0,work,97348.29166666667,11387.458333333332,6232.324854623951,1558.0812136559878,72.5
VIPV80_Wp700,AUTUMN,23,11.0,public,80606.5416666667,25247.33333333331,27146.13031283079,4935.660056878327,562.5
VIPV80_Wp700,AUTUMN,24,11.5,home,89933.20833333333,32832.374999999985,7661.081672014394,3404.9251875619493,520.0
