vehicle_id,pv_wp,pv_area_m2,pv_eff
5411211,400.0,2.0,0.2
5412441,400.0,2.0,0.2
5464371,400.0,2.0,0.2
5517768,400.0,2.0,0.2
5517877,400.0,2.0,0.2
5563006,400.0,2.0,0.2
5589449,400.0,2.0,0.2
5874869,400.0,2.0,0.2
5880022,400.0,2.0,0.2
5886291,400.0,2.0,0.2
5888583,400.0,2.0,0.2
5893753,400.0,2.0,0.2
5897300,400.0,2.0,0.2
5897495,400.0,2.0,0.2
5903559,400.0,2.0,0.2
5904517,400.0,2.0,0.2
5905123,400.0,2.0,0.2
5912371,400.0,2.0,0.2
5923425,400.0,2.0,0.2
5933673,400.0,2.0,0.2
5934086,400.0,2.0,0.2
6047703,400.0,2.0,0.2
7284921,400.0,2.0,0.2
7286338,400.0,2.0,0.2
7297455,400.0,2.0,0.2
7298464,400.0,2.0,0.2
7299186,400.0,2.0,0.2
7313493,400.0,2.0,0.2
7314224,400.0,2.0,0.2
7320421,400.0,2.0,0.2
7337868,400.0,2.0,0.2
7351366,400.0,2.0,0.2
7351598,400.0,2.0,0.2
7354267,400.0,2.0,0.2
7357857,400.0,2.0,0.2
7359352,400.0,2.0,0.2
7361407,400.0,2.0,0.2
7361686,400.0,2.0,0.2
7365027,400.0,2.0,0.2
7368354,400.0,2.0,0.2
7369383,400.0,2.0,0.2
7369432,400.0,2.0,0.2
7370761,400.0,2.0,0.2
7372284,400.0,2.0,0.2
7372378,400.0,2.0,0.2
7372567,400.0,2.0,0.2
7373836,400.0,2.0,0.2
7376042,400.0,2.0,0.2
7379543,400.0,2.0,0.2
7380566,400.0,2.0,0.2
7380826,400.0,2.0,0.2
7400203,400.0,2.0,0.2
7410211,400.0,2.0,0.2
7410489,400.0,2.0,0.2
7411398,400.0,2.0,0.2
7411921,400.0,2.0,0.2
7415743,400.0,2.0,0.2
7419900,400.0,2.0,0.2
7422361,400.0,2.0,0.2
7422630,400.0,2.0,0.2
7425822,400.0,2.0,0.2
7427894,400.0,2.0,0.2
7452422,400.0,2.0,0.2
7461163,400.0,2.0,0.2
7464436,400.0,2.0,0.2
7468660,400.0,2.0,0.2
7486555,400.0,2.0,0.2
7488999,400.0,2.0,0.2
7491719,400.0,2.0,0.2
7495572,400.0,2.0,0.2
7503683,400.0,2.0,0.2
7506596,400.0,2.0,0.2
7507349,400.0,2.0,0.2
7514814,400.0,2.0,0.2
7515510,400.0,2.0,0.2
7518323,400.0,2.0,0.2
7615950,400.0,2.0,0.2
7620113,400.0,2.0,0.2
8253956,400.0,2.0,0.2
9402941,400.0,2.0,0.2
9403888,400.0,2.0,0.2
9406314,400.0,2.0,0.2
9417336,400.0,2.0,0.2
9420484,400.0,2.0,0.2
9423905,400.0,2.0,0.2
9431792,400.0,2.0,0.2
9451902,400.0,2.0,0.2
9452178,400.0,2.0,0.2
9456468,400.0,2.0,0.2
9460181,400.0,2.0,0.2
9464325,400.0,2.0,0.2
9480048,400.0,2.0,0.2
9491221,400.0,2.0,0.2
9510223,400.0,2.0,0.2
9511303,400.0,2.0,0.2
9513338,400.0,2.0,0.2
9521384,400.0,2.0,0.2
9535294,400.0,2.0,0.2
9542839,400.0,2.0,0.2
9545323,400.0,2.0,0.2
9554247,400.0,2.0,0.2
9554976,400.0,2.0,0.2
9556173,400.0,2.0,0.2
9557968,400.0,2.0,0.2
9563502,400.0,2.0,0.2
9570639,400.0,2.0,0.2
9668329,400.0,2.0,0.2
9669919,400.0,2.0,0.2
9670429,400.0,2.0,0.2
9671926,400.0,2.0,0.2
9672392,400.0,2.0,0.2
9673010,400.0,2.0,0.2
10006521,400.0,2.0,0.2
10052234,400.0,2.0,0.2
10162338,400.0,2.0,0.2
