vehicle_id,pv_wp,pv_area_m2,pv_eff
2000774,400.0,2.0,0.2
2001737,400.0,2.0,0.2
2002326,400.0,2.0,0.2
2002815,400.0,2.0,0.2
2016078,400.0,2.0,0.2
2016161,400.0,2.0,0.2
2016704,400.0,2.0,0.2
2017219,400.0,2.0,0.2
2017265,400.0,2.0,0.2
2017659,400.0,2.0,0.2
2017664,400.0,2.0,0.2
2017922,400.0,2.0,0.2
2017999,400.0,2.0,0.2
2026654,400.0,2.0,0.2
2026750,400.0,2.0,0.2
2027259,400.0,2.0,0.2
2027754,400.0,2.0,0.2
2029831,400.0,2.0,0.2
2032126,400.0,2.0,0.2
2032316,400.0,2.0,0.2
2033250,400.0,2.0,0.2
2036000,400.0,2.0,0.2
2036649,400.0,2.0,0.2
2037147,400.0,2.0,0.2
2039683,400.0,2.0,0.2
2040335,400.0,2.0,0.2
2040745,400.0,2.0,0.2
2040830,400.0,2.0,0.2
2043577,400.0,2.0,0.2
2044074,400.0,2.0,0.2
2044589,400.0,2.0,0.2
2044994,400.0,2.0,0.2
2045441,400.0,2.0,0.2
2045831,400.0,2.0,0.2
2059253,400.0,2.0,0.2
2059878,400.0,2.0,0.2
2060168,400.0,2.0,0.2
2060567,400.0,2.0,0.2
2060580,400.0,2.0,0.2
2067123,400.0,2.0,0.2
2067447,400.0,2.0,0.2
2068775,400.0,2.0,0.2
2069504,400.0,2.0,0.2
2069612,400.0,2.0,0.2
2070001,400.0,2.0,0.2
2070560,400.0,2.0,0.2
2071692,400.0,2.0,0.2
2071723,400.0,2.0,0.2
2072947,400.0,2.0,0.2
2073864,400.0,2.0,0.2
2074029,400.0,2.0,0.2
2075756,400.0,2.0,0.2
2076082,400.0,2.0,0.2
2076608,400.0,2.0,0.2
2077613,400.0,2.0,0.2
2077950,400.0,2.0,0.2
2079661,400.0,2.0,0.2
2080733,400.0,2.0,0.2
2080804,400.0,2.0,0.2
2080900,400.0,2.0,0.2
2082164,400.0,2.0,0.2
2082244,400.0,2.0,0.2
2082748,400.0,2.0,0.2
2090867,400.0,2.0,0.2
2094407,400.0,2.0,0.2
2096149,400.0,2.0,0.2
2096488,400.0,2.0,0.2
2098770,400.0,2.0,0.2
2098908,400.0,2.0,0.2
2099138,400.0,2.0,0.2
2099332,400.0,2.0,0.2
2125107,400.0,2.0,0.2
2126857,400.0,2.0,0.2
2128223,400.0,2.0,0.2
2207532,400.0,2.0,0.2
2209674,400.0,2.0,0.2
2209754,400.0,2.0,0.2
2210317,400.0,2.0,0.2
2313613,400.0,2.0,0.2
2313708,400.0,2.0,0.2
2316319,400.0,2.0,0.2
2320332,400.0,2.0,0.2
2320514,400.0,2.0,0.2
2321911,400.0,2.0,0.2
