Link;TotalConsumptionPerKm;TotalConsumption
1434609;1.3150043843962083;0.627465295829325
608604;3.151132538888591;0.06013397409047934
608605;4.720696262286413;0.16445518164330092
608606;1.4729788546457945;0.028201355204137163
608607;3.4038606740941346;0.054574376435710725
608601;3.1142177764872025;0.1887483373199508
608602;1.7799975295363897;0.1094879463844749
608603;3.1467986281427454;0.02014817522021336
102152;24.734627124682085;5.221193475745684
102151;18.121742514235407;1.6989019421429379
2578375;70.85623359305782;3.9836862499870342
102154;12.890303846874822;1.4598595709581335
102153;9.914569658680415;1.1228501344958464
2578377;42.997893098514986;1.5934286263323363
102156;11.057633092491406;2.555804159697547
2324014;93.34587095154863;4.635259009284868
2578376;69.77944431870553;1.6961001299234562
102155;12.380540183523571;3.0911897759879268
909887;1.6008816951973777;0.8664597551792012
909886;1.5969672206189363;0.8643410885125344
2324013;97.04464938156528;5.400304893999747
2409523;148.22927034347043;27.483954602867925
1603979;3.0275023812435733;0.2540287196414993
126050;10.92283426009919;0.2998536156654793
1603978;3.0275023812435733;0.2540287196414993
1613301;1.3858443437004326;0.03229291773874036
2410580;2.756114758918649;0.38449168405133727
1640924;21.24455135151253;0.12221938803282614
1613305;1.3687304800035558;0.10562284442702784
1640925;3.0325463617711605;0.017446165578378137
1613304;1.3889707932711564;0.03181871114498854
1640928;91.96221772456293;11.000184406416746
1640929;90.87495549974086;6.382359200144826
1640927;121.3376306281942;1.0552568413060104
126049;8.003125695074392;0.2197017842758667
2410577;1.3105974825272881;0.11460685682293259
2157266;1.4474843410625966;0.4002471138719526
126048;10.929283435907166;3.7308978491743074
2157265;1.439822232536032;0.398128447205286
126047;8.007962576930373;2.7336550039849885
2410579;2.7257406899260435;0.3802543507180038
1047063;1.6527401475284373;0.11632328066190337
1047064;1.6527401475284373;0.11632328066190337
919233;28.788537241765226;1.1444634921939405
153693;1.3780101743976714;0.050334026149845626
153694;1.3780101743976714;0.050334026149845626
153695;1.3505986228317484;0.1756715993827088
919237;23.966795305076563;0.9071263924593965
153696;1.3668873587019428;0.17779026604937545
919236;23.875789289744326;1.8668766059037125
1336143;74.36810751078339;0.2753967191105582
1336144;56.66995190910179;0.854783012649915
2169266;5.382246079769571;0.8155113415304396
1640942;21.022647597884255;1.9264202656404619
1640943;24.00817888676389;0.16831750642855883
1627966;1.3074338539247703;0.11650343496244557
405864;2.897041641862638;0.1099182571653482
405863;2.897041641862638;0.1099182571653482
1640935;142.86429784000308;0.7137871099024794
1640934;122.89784526833252;1.3765689945083837
126017;2.9243537399459907;0.23726785420592506
1640931;81.83384060701657;20.350502774680812
1640930;91.52652340317799;11.742746917867182
1652942;2.6042638919871948;0.4109104794930809
1652941;2.5774085676549294;0.40667314615974776
2255849;40.35330493054201;5.278039725663419
1640968;136.39885490610357;0.9822598979872466
2169208;1.2740944759159964;0.10140847235504714
2255848;39.87006433979536;0.44710203598388015
1640969;1.626260476913715;0.08819898497192183
1640966;55.68371759491307;0.4246379152476077
1640967;121.2304881889628;6.324458442957501
2255845;17.20624545139349;0.8383094949034137
2255844;19.836129366992488;0.9664406821033417
2255847;17.010714640635506;1.1340396052105988
2255846;15.696813514432778;1.0464468176104045
2255840;1.3371323651028446;0.043332028898632906
2255843;16.94200175399819;3.0376351841198526
2255842;19.531232793074842;3.501874263912081
2446504;1.4041388372672465;0.0678326813506939
1640963;50.17259860914601;4.260862274934717
2446505;1.4041388372672465;0.0678326813506939
2169207;1.3363311558487179;0.05797826287819827
670579;12.74340646054207;2.5216914517438274
572189;12.792929462843635;0.3103645357676816
1098699;26.844574777641977;0.16137159825925426
1640958;37.89161335727279;0.13912588327304143
572196;30.51717789944857;0.31766817176173934
1640955;29.04372198957464;4.7424702756269825
572193;29.51290991381947;2.4094028688733506
572190;25.48443541359958;0.03406873592340845
1640950;3.3488164670280005;0.05769748552825998
861229;1.2579395736618497;0.12848795906053234
861227;1.264089425379564;0.10893922658706735
1049683;29.324057912877777;2.2798827061778453
1640953;28.38709494776427;0.14053802300034807
1049682;14.804691180305124;0.2442193592947247
670580;11.112805742704058;2.1990248316284586
861225;1.327166216008774;0.023913492938790252
1640954;1.9949366942148006;0.008051648746836502
1640951;3.414030423012206;0.07205896313706085
2255850;8.688223824082641;0.4288182768441922
1640952;24.296444326137006;0.27480245985986795
212670;5.666775148004807;0.17813615034820274
1096068;7.087093943045103;0.36529133507655853
212671;1.6721937870012018;0.052565728491531086
212672;5.616120256540279;0.25111977538389135
212673;1.65953006413507;0.07420439697014966
2169220;1.5180944669368537;0.14922194533065683
2169221;1.5396485093856584;0.1513406119973235
2458502;1.38393980681965;0.17924426552001105
2458503;1.4002979710759818;0.1813629321866777
24314;2.544842485371828;0.17930282040215806
572199;37.19073392994531;2.527623255055578
2170208;4.5940404468156775;0.3414902812578957
2170206;1.3657580610398758;0.0715534313419637
2170207;4.5940404468156775;0.3414902812578957
212667;39.976899823858936;11.608486309891651
212668;9.940809487393942;1.9040747971561724
212669;6.121424539937482;1.172505136927626
1640986;86.19872484059968;10.89252646107574
1640985;105.54890972815815;0.4562196051828432
212666;42.76632485803793;0.617704431698788
2170204;1.3744358247327455;0.15376897637042808
2169219;1.3148681581235315;0.08011148699517683
1640972;57.36126836066132;6.34510391535969
2169212;1.497275178285089;0.008903867584403025
2169213;1.497275178285089;0.008903867584403025
2169214;1.3073240443158802;0.06661174904967024
1640975;84.78659727362498;1.7034622604795724
1640976;95.99541258580453;0.49903504566234086
212676;77.30455448103721;0.24276758073608598
2169217;1.3046265357610694;0.10135527495865092
1640974;72.21695196061644;0.2967718734560555
2169218;1.3235477553045203;0.04608366462070227
559160;2.8870138074427194;0.8805792131042184
222015;1.6260300568803827;0.3974252364512641
222016;1.6260300568803827;0.3974252364512641
63900;3.7462077201968382;0.013983283027381357
559159;2.8731215423767007;0.8763418797708853
559157;5.881001731032173;0.3511415859283356
559158;4.428614243379748;0.2644227463290086
1782216;26.37866674581308;5.428586387427733
753515;1.4427285076864;0.07559980221203658
753512;6.920661371739829;0.2813732728078283
753511;9.061882887971807;0.36842889848674665
753514;6.1138056117987425;0.041258347739485925
753513;8.46475701474843;0.057123485864640215
63921;22.88702378615808;0.1592263197332944
63923;33.91635383336052;0.7222831312188203
63922;52.47523633425189;0.11434960968520545
63925;26.45258312314723;0.6460264318031141
63924;39.82242863004684;0.09618368913599418
1471599;5.249098755283965;0.3706521800658119
2495536;65.16122048253084;0.5264962187134683
1314836;8.48565280243927;0.03687619032424236
1314835;7.849422942675343;0.04615881797451936
1314834;8.033021878667808;0.12860786979103397
1471598;35.82980873894202;0.3382102842425307
1865059;3.2483654338199366;0.1785466932666709
1471597;24.785525293482657;9.61799673325455
1471596;27.09691699275851;10.51492982422892
1471595;10.671925929636533;0.07233872683253438
535186;3.235858246966826;0.23172262650078398
535187;3.295029896360191;0.2359599598341173
63930;27.22824089962312;0.551583957297589
63932;109.70534241183817;6.28221960179395
63931;172.4406885175991;0.5437688710077678
2302603;77.50072112121073;6.394621479980382
63934;147.31172364187682;0.5001498815597798
741512;34.06349075420332;2.18116661779918
63933;168.20793624782337;0.5703450751204733
741513;34.16877314821332;1.2788349943877293
63935;125.21648712917097;10.816400604838
63927;3.855173514278518;0.5745694042768097
956234;15.872088254114603;2.421636950304556
63926;5.985476702444896;0.015393100765669866
63929;133.60395234208477;2.3553677661379995
63928;35.65128909398885;0.11576165949145699
209084;1.3469059604329863;0.4925752590990754
319451;24.21859579830685;0.3289676497035735
319452;52.00040445315157;0.29317375755728986
209086;1.3598404564637956;0.20437511575924777
163037;1.728453942602328;0.439237061744252
163038;3.456907885204656;0.878474123488504
956289;4.814478426375997;0.025747901012689228
1458590;1.5474142991821955;0.05727988210755288
1458598;1.5013617263754098;0.3102136492430874
559197;1.4513403327719931;0.41025217993713553
405840;2.618577115362862;0.24078114961889302
559193;78.7094203811241;1.16636374229511
405842;2.6411486420315637;0.1296997967402689
559194;6.187535637386189;0.0493046966849573
405841;2.5548614815236728;0.12546246340693556
559191;13.389099379638626;0.22602223635844657
559192;58.874264755284734;0.8389915056163169
2615722;1.2767002849759883;0.11959749403242968
956290;1.6001594754586657;0.008557676269335677
