Region,Region_key,Scenario,Season,Daily_demand_MWh,Home_MWh,Public_MWh,Home_share,Public_share,Peak_30min_MW,Peak_TimeIndex,Peak_hour,Load_factor,Spatial_mean_kWh_hex_day,Spatial_std_kWh_hex_day,Spatial_CV,Spatial_Gini,Spatial_HHI,Top_cell_share,Max_demand_HexID,Max_hex_kWh_day,Demand_reduction_pct,Peak_reduction_pct
City center,city_center,VIPV50_Wp1000,SUMMER,20.954202847254557,4.6242028472545575,16.33,0.22068140129035857,0.7793185987096414,2.121302704993827,17,8.0,0.41158283692699765,2993.4575496077937,1332.5093791703116,0.4451405630739272,0.24469235819592217,0.1711643029848247,0.24971124113583582,271,5232.5,0.196558892220536,0.24316534951499283
City center,city_center,VIPV50_Wp1000,AUTUMN,22.943261628366223,5.285761628366222,17.6575,0.23038405410637416,0.7696159458936259,2.0885665675151213,18,8.5,0.4577154730828746,3277.6088040523173,1729.9212067031267,0.5277997803045668,0.28842938325131007,0.18265322972707837,0.2597712607971689,271,5960.0,0.09949836123687353,0.1632096976433143
City center,city_center,VIPV50_Wp1000,WINTER,23.360597906908968,5.335597906908964,18.025,0.22840159863078438,0.7715984013692155,2.633001394053198,17,8.0,0.3696763124849074,3337.228272415566,1534.1021639281068,0.4596935057180511,0.2509131719638924,0.17304544559990742,0.25288308216857924,271,5907.5,0.13337997759595838,0.12818509849798101
City center,city_center,VIPV80_Wp400,SPRING,21.385851872102474,5.345851872102471,16.04,0.24997142522417148,0.7500285747758284,2.116701983460443,18,8.5,0.42097431206675845,3055.1216960146385,1322.9809535191005,0.4330370718930476,0.23313850765835564,0.16964587223338637,0.23493771578159905,248,5024.3431888753885,0.16370805130284846,0.2525432765663584
City center,city_center,VIPV80_Wp400,SUMMER,22.186647977297252,5.34164797729725,16.845,0.24075957678524285,0.759240423214757,2.287610986193088,18,8.5,0.40410877168374043,3169.5211396138925,1605.6360869439195,0.5065863315679024,0.2676080992670864,0.17951853019020364,0.25744553181404306,271,5711.853387686253,0.14930359514352762,0.1838301732679181
City center,city_center,VIPV80_Wp400,AUTUMN,23.07785678417291,5.687856784172906,17.39,0.24646382189500854,0.7535361781049913,2.471693075449948,17,8.0,0.3890359104688427,3296.836683453272,1540.5334852136098,0.4672762508817931,0.25332918683790884,0.17404958494830639,0.2577804783940265,271,5949.020962132921,0.09421562679672542,0.00970894195656799
City center,city_center,VIPV80_Wp400,WINTER,25.292038944483444,5.60618388671084,19.6858550577726,0.22165804421765012,0.7783419557823497,2.6315014859949866,18,8.5,0.40046907122367903,3613.1484206404916,1750.2847584210858,0.48442094114440454,0.2677614899812395,0.1763805211741758,0.25409052298835405,271,6426.467402845615,0.061728323733116146,0.12868173408616768
City center,city_center,VIPV80_Wp700,SPRING,20.14431159778111,4.450899494877189,15.693412102903919,0.22095068740733015,0.7790493125926699,1.9352524304518495,18,8.5,0.4337141260575703,2877.7587996830152,1401.3949156520034,0.48697441766362315,0.2652769497714029,0.17673486906554642,0.26322567411954,271,5302.5,0.2122583798849259,0.3166173358435068
City center,city_center,VIPV80_Wp700,SUMMER,20.65912148354205,4.404121483542049,16.255,0.21318048238646364,0.7868195176135363,2.1649071519235266,17,8.0,0.3976136933706826,2951.3030690774353,1436.7750167934353,0.4868273380146502,0.26124736918053704,0.1767144081483472,0.23524717659807978,271,4860.0,0.20787311397711847,0.2276082315827233
City center,city_center,VIPV80_Wp700,AUTUMN,21.65360096574958,5.0786009657495805,16.575,0.2345384018936444,0.7654615981063557,2.0288897560423007,17,8.0,0.44469314849953245,3093.3715665356544,1471.906275474534,0.47582588894193506,0.2565150771881799,0.1752014680839118,0.25018933380037295,271,5417.5,0.15011634044776248,0.18711938665812847
City center,city_center,VIPV80_Wp700,WINTER,23.140665813134987,5.390348187211499,17.75031762592349,0.2329383359467495,0.7670616640532506,1.9954896122908372,17,8.0,0.48318688453292524,3305.809401876427,1427.4845943486218,0.43181091854187365,0.23363599689185555,0.16949438133885383,0.23465184812953183,248,5430.0,0.14153891071887323,0.33927206278095545
City center,city_center,VIPV80_Wp1000,SPRING,19.00702225628144,4.224522256281441,14.7825,0.2222611306137299,0.77773886938627,1.6475698369046927,18,8.5,0.4806832723802809,2715.2888937544917,1244.0682106959143,0.45817158297867633,0.2575384394548974,0.17284588563559797,0.254642728079117,271,4840.0,0.2567319844587965,0.4182047536481202
City center,city_center,VIPV80_Wp1000,SUMMER,18.720125310761667,4.04101863253096,14.679106678230703,0.21586493495360815,0.7841350650463917,1.9821603849676315,18,8.5,0.3935126678936596,2674.303615823095,1105.3283987479017,0.4133144764147151,0.21977679312762088,0.1672612652019957,0.260414923461944,248,4875.0,0.2822194990147591,0.2928083018842093
City center,city_center,VIPV80_Wp1000,AUTUMN,22.268261416756562,5.110761416756563,17.1575,0.22950877579112594,0.7704912242088741,2.1240012792130183,18,8.5,0.43683788459956746,3181.180202393795,1611.9323739262998,0.5067089166194806,0.2810952837665295,0.17953627516881254,0.26483881653922975,271,5897.5,0.12599149052972203,0.14901267678853583
City center,city_center,VIPV80_Wp1000,WINTER,24.704388789803836,5.099388789803836,19.605,0.20641631060746946,0.7935836893925304,2.8739518622753244,17,8.0,0.3581651962999656,3529.1983985434053,1618.2153990327433,0.4585220824368004,0.24849677292596217,0.17289178572602568,0.24013951733339386,271,5932.5,0.0835286814227437,0.048403823336341634
Suburban,suburban,noVIPV,SPRING,4.889883048981838,2.502383048981838,2.3875,0.5117470139705855,0.4882529860294144,0.4435060785463854,41,20.0,0.4593964703002388,698.5547212831198,522.855318925178,0.7484815476800251,0.39426107702824953,0.2228892324596408,0.36299436657684214,566,1775.0,0.0,0.0
Suburban,suburban,noVIPV,SUMMER,4.760995117591139,2.913495117591139,1.8475,0.611950872796787,0.388049127203213,0.3956950855210273,29,14.0,0.5013324749916709,680.142159655877,533.2809124401412,0.784072719017975,0.42201695680389273,0.23068143267260574,0.36794054518362224,566,1751.7631391830475,0.0,0.0
Suburban,suburban,noVIPV,AUTUMN,4.611685349659394,2.9466853496593943,1.665,0.6389606242058619,0.3610393757941383,0.5412697043466238,38,18.5,0.3550051937005416,658.812192808485,471.34752057082113,0.7154505118696864,0.37947428788111437,0.21598134784779943,0.3548996138212845,566,1636.6853496593947,0.0,0.0
Suburban,suburban,noVIPV,WINTER,4.633464641505733,2.670964641505733,1.9625,0.5764508522585277,0.42354914774147234,0.45358796275962426,37,18.0,0.4256308424827333,661.9235202151046,406.6997204928153,0.6144210140178287,0.3424469032903483,0.19678759749524247,0.2639086067950804,566,1222.8111981740444,0.0,0.0
Suburban,suburban,VIPV20_Wp400,SPRING,4.664436407636462,2.754436407636461,1.91,0.5905185893684795,0.40948141063152044,0.44247144490757456,39,19.0,0.4392408125352577,666.3480582337803,453.3923683625385,0.6804137308725693,0.3742259743249883,0.20899469216570415,0.324262111822081,566,1512.5,0.046104710294107884,0.0023328510901178875
Suburban,suburban,VIPV20_Wp400,SUMMER,4.1625,2.1075,2.055,0.5063063063063064,0.4936936936936937,0.39117116111710676,41,20.0,0.4433800781854601,594.6428571428571,370.6736834357637,0.6233551433153984,0.3416559416559417,0.1983673763853944,0.2954954954954955,566,1230.0,0.12570798810101538,0.01143285466374618
Suburban,suburban,VIPV20_Wp400,AUTUMN,5.242904969650986,3.2279049696509863,2.015,0.6156710808866451,0.3843289191133548,0.5169668719592069,39,19.0,0.4225693861340804,748.9864242358552,562.577072225697,0.7511178494318635,0.3925253004554665,0.22345400339073543,0.3681165329472828,566,1930.0,-0.1368739565109775,0.04489967236713037
Suburban,suburban,VIPV20_Wp400,WINTER,4.683598231859396,2.621098231859396,2.0625,0.5596334489217739,0.4403665510782261,0.4571314557727906,37,18.0,0.42690111096723743,669.0854616941995,523.9446694438351,0.7830758541923006,0.41566668326534373,0.23045825620271446,0.3736443463694039,566,1750.0,-0.010819892722300075,-0.007812140762307132
Suburban,suburban,VIPV20_Wp700,SPRING,4.646523680124224,2.885,1.7615236801242236,0.6208942854075523,0.3791057145924477,0.4456788075718116,36,17.5,0.43440511428696105,663.7890971606033,403.26375758849673,0.6075178988529354,0.33915046663758064,0.19558257106095503,0.2614858082392291,566,1215.0,0.04976793236563937,-0.004898983645381897
Suburban,suburban,VIPV20_Wp700,SUMMER,4.4639700180095385,2.578970018009538,1.885,0.5777301387789086,0.4222698612210912,0.3877582133714346,39,19.0,0.47967713986815996,637.7100025727912,462.12802961322467,0.7246679960308059,0.39146239471842015,0.2178776720673292,0.3488051635172942,566,1557.0557920681156,0.06238718844389037,0.02005805085787675
Suburban,suburban,VIPV20_Wp700,AUTUMN,5.346683476343032,2.7831566201029063,2.5635268562401268,0.5205388784313262,0.4794611215686739,0.5008994410801115,41,20.0,0.4447568911248386,763.8119251918617,528.2759835210745,0.6916309710513842,0.3660967340577195,0.21119334287392583,0.34648484636581994,566,1852.5448028673836,-0.15937733625688982,0.07458437622191312
Suburban,suburban,VIPV20_Wp700,WINTER,4.308684372182823,2.846184372182823,1.4625,0.66056924256462,0.3394307574353799,0.44032166251766747,38,18.5,0.40772128829890175,615.5263388832603,336.9910300927161,0.5474843378824593,0.30983065434284285,0.18567701431808495,0.26110058264259994,566,1125.0,0.07009447453501376,0.02924746979890024
Suburban,suburban,VIPV20_Wp1000,SPRING,4.438429965469572,2.3117761644142667,2.1266538010553058,0.520854487374949,0.47914551262505106,0.398120170961954,39,19.0,0.4645194978383515,634.0614236385103,463.5651557552342,0.7311044931500531,0.3834388753154223,0.219216254272028,0.36318578168381227,566,1611.9746564579225,0.09232390202180131,0.10233435296577242
Suburban,suburban,VIPV20_Wp1000,SUMMER,4.8791668819308285,2.971666881930828,1.9075,0.6090521094771106,0.39094789052288914,0.5740259387756904,38,18.5,0.3541627761875292,697.0238402758326,453.0084899168803,0.6499182147595004,0.34023058387225924,0.20319909798231084,0.336981141627264,566,1644.1872260629887,-0.024820811914522494,-0.4506774528671436
Suburban,suburban,VIPV20_Wp1000,AUTUMN,4.694592195713974,3.022092195713975,1.6725,0.6437390234817535,0.3562609765182466,0.49467084419364754,39,19.0,0.39543063928419997,670.6560279591392,490.58474144164927,0.7314997867603434,0.40736059938446934,0.2192988482900612,0.31561574771408807,566,1481.6872260629884,-0.017977559128291982,0.08609175754483907
Suburban,suburban,VIPV20_Wp1000,WINTER,4.633871784628575,2.936371784628574,1.6975,0.6336756649955384,0.36632433500446154,0.46988017889362527,38,18.5,0.41090899275813236,661.9816835183677,511.8053934682532,0.7731413212946584,0.3980837754453992,0.22824964324189287,0.3832813784203241,566,1776.0767650354874,-8.787012621063523e-05,-0.03591853724441746
