from_HexID,to_HexID,distance
331,330,1034.1124213731466
331,332,1214.1952950720554
331,355,1174.5051427216763
331,356,1230.388614517761
332,331,1214.1952950720552
332,356,1084.3391039678288
332,357,1284.8920147207928
333,358,1147.4926585380608
334,358,1255.3308754107525
335,311,1322.8937310992565
335,359,1103.4309324968183
335,360,1418.4437552855993
336,361,1481.8685963503574
337,312,1430.725028843878
337,313,1080.3131160975365
337,338,1404.5313546065292
337,362,1093.908392323276
337,363,1092.323195936389
338,313,1427.1196460456379
338,314,1011.7466563416436
338,337,1404.5313546065288
338,363,1302.4880483615902
338,364,1235.1622002493502
339,364,1479.7444403514642
340,315,1441.79370392835
340,316,1205.3704743105286
340,365,1380.929039072866
340,366,1145.9809631052556
341,316,1219.8991214082039
342,343,1158.4150827557999
343,342,1158.4150827558003
343,368,1433.5304227307622
343,369,1379.684239336219
345,320,1429.6385177031693
345,370,1171.0738481381375
346,321,1187.0498518998652
346,347,1373.2637263947265
347,346,1373.2637263947265
347,348,1223.2301851871448
348,324,1285.6055053497716
348,347,1223.2301851871453
348,349,1361.9586081044586
349,324,1195.355222977529
349,325,1273.4620345531641
349,348,1361.9586081044586
349,350,1093.7506056118445
349,375,1296.764068947416
350,325,1146.3578771029745
350,326,1472.6795999333144
350,349,1093.7506056118448
350,351,1309.1910841047907
350,375,1479.3143794591751
350,376,1149.2245364936462
351,326,1377.2002679681482
351,350,1309.191084104791
351,352,990.4857458494467
351,376,1496.9428545001285
352,351,990.4857458494466
352,353,1369.1138208256534
352,377,1445.4279860382026
352,378,1313.6837879435702
353,352,1369.1138208256539
353,379,1289.6889939692796
354,330,1194.5196986515245
354,355,1072.6646063718804
355,330,1446.5232210923805
355,331,1174.5051427216758
355,354,1072.6646063718804
355,356,1077.7896728006249
355,380,1063.6658731550995
356,331,1230.388614517761
356,332,1084.3391039678288
356,355,1077.7896728006253
356,357,1199.3116352527757
356,380,1373.8532594974615
356,381,1095.5089653741293
357,332,1284.8920147207923
357,356,1199.3116352527761
357,381,1097.7147365184346
357,382,1297.4979907726047
358,333,1147.492658538061
358,334,1255.330875410753
359,335,1103.4309324968183
359,360,1365.4399239225825
359,384,1246.7440800923978
360,335,1418.4437552855998
360,359,1365.439923922582
360,386,937.5343176088335
361,336,1481.8685963503578
362,337,1093.908392323276
362,363,1477.0918824967368
362,388,1154.9982575122037
363,337,1092.3231959363893
363,338,1302.488048361589
363,362,1477.0918824967362
363,364,1390.7643345177044
363,389,1366.9992073922522
364,338,1235.16220024935
364,339,1479.7444403514637
364,363,1390.7643345177041
364,365,1288.6276999054057
364,389,1015.6601219017216
364,390,1257.3993128159473
365,340,1380.9290390728659
365,364,1288.6276999054057
365,366,1111.9376726494274
365,391,947.5331709229636
366,340,1145.9809631052558
366,365,1111.937672649427
366,391,1308.4307431699076
367,368,1471.976203744898
367,392,1184.7256853558777
367,393,1077.0980949475877
368,343,1433.5304227307613
368,367,1471.9762037448972
368,369,1029.5383112986233
368,393,1198.06901494346
368,394,1015.2298896697279
369,343,1379.6842393362194
369,368,1029.5383112986233
