location_key,HexID
314163.748|6394472.548,134
314904.363|6396247.636,172
313282.347|6403069.931,361
324241.857|6389219.266,20
318525.207|6392814.627,90
323156.673|6395485.987,
328536.125|6393973.75,126
308396.676|6405060.983,
319838.493|6405347.415,444
316741.312|6394169.825,112
327656.035|6395260.402,165
315045.802|6400303.663,287
318784.032|6398588.606,227
318564.471|6397467.224,211
321078.094|6406623.765,483
319136.123|6397284.69,211
318914.956|6397491.872,211
328058.777|6403373.518,403
316739.602|6401083.712,314
316649.739|6396127.724,175
316816.94|6396205.75,175
319949.149|6398033.804,229
310613.641|6406490.423,475
312917.002|6395771.184,170
324709.018|6409014.123,534
315366.881|6393015.457,86
314808.462|6402245.3,
317231.992|6387002.084,
319552.151|6400315.23,292
319565.248|6398907.174,248
315209.98|6392943.118,86
319506.33|6399946.028,271
319424.226|6405960.364,463
316537.625|6405326.913,440
314702.215|6393463.776,110
321264.974|6411769.022,584
328275.385|6402325.253,352
320568.836|6395238.029,159
316183.951|6394367.511,136
317768.74|6392208.57,71
315567.451|6397416.428,207
320534.324|6400498.954,293
312950.104|6395229.156,152
320814.526|6400221.272,273
326273.197|6402621.945,375
321550.773|6400659.494,294
315606.41|6404019.021,415
326130.926|6393283.15,97
326509.915|6401974.546,350
315126.87|6403745.62,388
323757.963|6406036.616,468
314775.649|6404371.502,414
322771.636|6392791.254,76
318954.957|6398890.822,247
323142.843|6392419.374,77
320815.521|6394750.125,141
316449.378|6402877.75,364
321321.689|6406398.955,483
315043.682|6400880.542,287
320466.653|6403249.244,394
313843.28|6396967.098,189
309090.781|6388845.523,5
319214.764|6399031.7,247
329283.324|6401834.15,353
321240.954|6410006.435,563
316569.052|6393974.092,112
324428.24|6400776.211,297
316762.356|6394316.678,137
315389.535|6401325.569,313
320311.352|6394581.54,141
330818.59|6392439.523,80
316877.543|6396302.361,175
314470.276|6395008.594,134
322872.215|6412906.43,
305463.894|6400546.887,278
323333.637|6405436.212,448
322664.882|6394983.344,161
317113.99|6392001.522,56
333295.433|6396956.972,
311962.52|6410930.644,
308747.08|6403313.909,381
321146.032|6400907.679,294
324690.759|6409095.73,534
319242.396|6401320.746,317
322746.674|6390620.434,46
317222.137|6396757.283,193
316385.135|6403603.958,389
316933.076|6396444.424,175
313594.688|6392983.25,84
320080.29|6398421.856,229
317269.534|6396726.641,193
328249.714|6393777.856,125
315249.212|6396838.302,190
315881.039|6399364.268,244
322577.652|6393668.06,119
315720.006|6399377.18,267
314356.815|6412810.219,
318177.962|6398526.158,227
320563.802|6411852.951,584
315946.195|6400579.483,288
323115.709|6403035.018,371
315663.066|6397881.017,207
325991.058|6405111.531,451
315470.858|6396510.363,191
322351.757|6394593.383,143
321984.072|6401752.582,345
320583.999|6399273.812,249
317332.627|6390711.582,43
306989.782|6400049.091,258
330599.353|6404856.212,452
321946.391|6397325.245,215
321627.679|6401407.725,320
315914.658|6397675.382,208
329144.852|6393607.952,126
314778.95|6397435.35,206
330288.6|6398836.57,254
322774.23|6391111.219,46
317012.7|6400447.5,289
315182.504|6403556.945,388
320504.378|6395625.542,177
308678.031|6401295.798,307
321608.555|6398482.483,231
320762.192|6398206.318,230
309598.291|6403763.365,382
317698.349|6394923.807,138
319184.775|6399281.558,247
326296.876|6388525.777,13
323556.102|6406309.428,468
317934.957|6393020.071,89
319865.1|6400330.57,292
318624.837|6399721.869,270
314495.681|6394265.007,134
328823.12|6401951.826,353
317803.243|6399992.516,269
329053.757|6393248.516,101
316984.483|6395061.782,156
315710.009|6400383.751,287
328203.104|6403042.108,377
313811.964|6394840.182,133
327534.464|6394689.74,148
315462.918|6392999.548,86
315641.593|6399363.335,243
321453.712|6401433.913,320
322798.796|6393425.732,119
323703.434|6407621.855,500
323574.185|6404690.176,424
315236.759|6399670.434,266
325162.849|6405849.614,470
319391.579|6400475.652,292
308545.798|6405015.237,
316681.162|6405227.357,441
321973.627|6396820.263,198
327755.338|6393737.06,125
313679.688|6396501.916,171
322998.219|6393825.485,119
316789.479|6404129.894,416
318224.772|6394251.602,138
314469.305|6391226.712,53
312607.006|6393575.232,107
318147.371|6391830.196,57
323539.399|6408203.809,514
314452.12|6400937.142,286
316959.173|6391667.622,56
324034.296|6401628.272,347
316501.538|6411267.919,571
314025.36|6396976.9,189
316873.226|6399294.561,245
313344.936|6394810.61,133
315245.699|6393455.576,86
330073.075|6399960.895,
323962.446|6405362.629,449
317304.624|6400803.581,289
321539.482|6395140.108,160
328212.035|6402803.837,377
324199.389|6407928.578,515
318748.877|6404131.396,418
325429.338|6410138.489,568
308022.749|6403300.809,356
315527.114|6399336.717,243
320654.677|6411998.178,584
327262.59|6392959.75,99
325803.574|6410347.046,569
312993.539|6403296.61,386
316790.458|6402662.476,364
323621.216|6411005.048,578
324202.401|6401622.008,323
307615.031|6400965.297,280
331401.268|6409699.979,558
315973.124|6395110.628,155
328574.045|6404074.51,430
316795.142|6388459.097,6
326951.821|6408948.952,537
328057.493|6403449.677,403
314528.588|6401510.276,312
322624.949|6393176.316,94
315088.128|6392900.022,86
314476.018|6397351.412,206
323204.043|6404908.768,448
316597.644|6404960.145,440
317924.992|6404391.215,417
320144.181|6403360.909,394
314824.69|6402583.527,362
319792.521|6397675.052,212
323330.928|6390855.246,47
323705.474|6393850.282,120
315754.908|6394007.36,111
319498.68|6401884.502,342
323363.471|6411255.882,577
327997.123|6408151.844,520
322152.171|6399153.034,251
317952.196|6397239.963,210
321483.15|6392917.493,93
322861.492|6395383.996,161
320754.348|6400135.533,273
324562.099|6405482.875,469
321563.713|6392543.53,75
320480.289|6397062.788,196
330503.472|6403653.078,406
323374.654|6408461.222,533
330180.054|6399793.559,
322378.203|6400951.447,295
317235.119|6393682.335,113
322924.991|6394704.252,144
318368.266|6399110.808,246
313543.724|6395535.283,152
321101.861|6409480.452,549
329112.091|6393583.845,126
324151.678|6408970.16,534
305747.897|6400201.042,278
321645.516|6393292.546,93
313583.241|6394375.465,133
317316.926|6390629.78,43
321675.023|6400653.478,294
316374.637|6398865.451,244
322950.164|6393820.266,119
327435.633|6404225.727,428
321892.026|6391281.845,45
319347.217|6404053.129,419
306979.793|6399119.932,236
323062.635|6403679.795,397
322657.405|6401028.812,321
323197.997|6404843.877,448
328419.652|6393210.79,100
319558.528|6400196.433,292
319495.948|6399377.316,248
327015.389|6397225.915,201
318600.846|6403562.162,392
328612.289|6401970.595,352
331193.389|6391709.344,64
307277.935|6400276.792,280
322600.99|6402962.794,371
318041.944|6402411.455,340
315087.783|6396195.453,173
317366.099|6392203.446,71
317405.698|6403747.877,390
328949.719|6401362.679,327
321722.959|6400319.441,294
314612.373|6396368.194,172
312414.904|6404253.743,412
308415.422|6403386.058,381
323411.56|6403968.982,424
319523.379|6394151.105,115
315557.156|6400697.361,287
325802.299|6405401.475,451
308092.22|6400999.086,306
319626.924|6402880.804,367
320993.7|6394917.98,159
326649.934|6395504.729,164
326720.353|6387495.568,
313711.365|6396763.79,189
324768.19|6410076.851,567
316816.392|6398328.518,225
321821.706|6394788.173,142
318021.73|6401582.135,316
328056.462|6403551.258,403
317989.07|6387575.093,2
316399.12|6398729.557,244
312044.78|6404384.674,412
308342.955|6401147.651,306
323354.852|6401451.284,322
319800.808|6396431.237,176
328001.462|6402401.973,377
320973.649|6409458.877,549
305351.177|6400953.948,303
323190.389|6403575.75,397
321057.853|6397297.289,214
317092.936|6392049.952,56
323762.195|6406837.129,486
314644.622|6392314.487,68
317508.501|6390472.541,43
313069.702|6402810.104,361
322627.022|6392316.928,76
328740.914|6393191.247,100
328652.785|6402806.711,378
314937.708|6401657.106,312
322046.817|6402985.871,370
320336.382|6396415.036,177
325690.46|6392806.539,97
310002.961|6400060.129,260
309121.606|6404882.074,434
323804.053|6411163.57,578
307675.29|6401249.093,306
328929.153|6401976.467,353
325284.423|6403799.063,399
319478.483|6399925.8,271
316311.186|6395550.699,156
311912.877|6409663.849,541
316672.854|6397883.428,225
326758.002|6393552.602,124
316899.499|6406071.013,460
325177.98|6406049.248,470
315681.922|6397113.469,191
332027.964|6409595.179,558
325565.535|6405769.032,470
309174.718|6388499.396,5
304041.988|6402389.932,
317132.1|6387706.754,1
324807.417|6409648.181,553
323559.931|6407681.062,500
327137.178|6392898.738,99
320480.241|6394732.554,141
325161.748|6401236.334,324
318848.532|6411984.712,
314815.686|6403273.598,362
327505.221|6402285.394,351
321323.403|6397432.778,214
314902.364|6400108.762,266
327229.794|6395029.269,164
316452.127|6402294.536,338
315815.136|6400419.329,288
323099.423|6392467.655,76
319917.553|6397262.362,212
319418.83|6405293.036,444
304522.919|6400766.567,
316432.076|6402813.746,364
320579.084|6397096.761,197
313127.898|6402893.915,361
321263.881|6404662.396,421
314325.911|6394969.854,134
324113.727|6407220.601,501
321125.838|6396501.074,197
323944.791|6388703.036,10
319355.603|6400647.486,292
325367.744|6405907.894,470
321486.788|6402572.508,370
323345.709|6394566.062,144
308013.464|6403042.332,356
313367.685|6403111.28,361
319840.524|6401139.112,318
330149.844|6399458.485,254
307301.431|6401403.412,305
321625.79|6409605.802,549
319912.439|6399183.533,248
327674.268|6403037.407,377
316718.93|6398256.168,225
322012.806|6397238.021,215
331573.037|6410171.913,570
319340.075|6399733.206,271
320844.163|6409471.244,548
321176.295|6404892.5,446
327918.362|6394296.89,125
314432.472|6390677.217,39
319333.055|6398869.526,248
321096.751|6409938.885,563
324325.24|6406108.533,469
325998.724|6401948.275,349
326164.6|6410462.484,569
316313.754|6401127.968,314
322912.842|6401600.036,321
317700.548|6402232.849,340
320397.129|6397797.632,213
322537.555|6392307.613,76
322422.545|6392637.735,76
318958.596|6399881.504,271
319639.811|6400881.962,292
321131.581|6396570.811,197
326051.291|6402638.662,375
322867.13|6402543.084,371
326702.506|6395426.747,164
317514.522|6392595.066,71
318295.689|6388439.234,7
312788.934|6402582.842,361
319963.002|6403777.761,393
326031.423|6405181.655,451
330133.351|6403461.976,405
320576.167|6394856.706,141
321463.677|6400731.342,294
323930.152|6402359.753,347
307868.599|6402107.999,331
308763.254|6403616.124,381
314858.617|6404236.492,414
320762.421|6397405.027,213
327484.668|6392827.128,99
317814.873|6404062.539,417
319329.9|6404713.898,419
320642.272|6393788.097,117
321785.037|6399579.906,274
308487.465|6401505.499,307
307486.978|6401290.138,305
314380.375|6400480.64,286
316318.664|6403878.813,389
322888.631|6400511.863,296
321907.867|6394341.981,143
323219.436|6411245.012,577
316711.977|6388594.516,6
320565.089|6397119.849,213
325528.825|6393305.73,97
317979.047|6403910.223,391
315333.626|6403996.578,388
319469.216|6399950.516,271
332135.354|6398162.11,
319087.756|6403158.122,367
315717.352|6393995.23,111
319567.401|6400833.125,292
313717.518|6397097.306,189
311338.685|6400661.22,283
321392.562|6407895.657,512
325307.32|6401524.561,324
326167.787|6394281.736,123
318831.738|6398029.265,211
321681.831|6409597.438,549
320251.991|6401221.208,318
316591.765|6405543.761,460
315306.945|6400041.743,266
326361.115|6401792.912,350
318332.982|6402853.101,366
319187.333|6398928.144,247
321501.061|6394973.026,142
312790.675|6397361.433,204
318472.645|6398394.535,227
319453.068|6406096.851,463
319911.491|6393437.348,91
325775.806|6405967.614,471
315232.411|6399781.166,266
312705.507|6394646.328,132
323534.548|6402518.433,372
317809.946|6393014.287,89
313387.81|6396955.48,188
320890.334|6402864.688,369
319802.525|6405059.892,444
322091.083|6402478.595,345
320406.962|6393340.523,92
316835.646|6398957.06,245
304697.75|6401916.254,
327955.738|6402629.366,377
326383.509|6401039.251,325
315927.977|6401422.25,313
325770.45|6405474.511,451
322703.711|6401769.203,321
321669.277|6394832.791,142
320292.585|6400228.688,293
312989.465|6403243.597,386
328619.407|6395522.988,166
317143.193|6387621.803,1
323407.453|6411357.801,577
316297.036|6410987.358,571
317988.226|6401629.171,340
313598.122|6395875.714,171
332955.972|6387893.174,
307803.414|6403609.721,380
312649.057|6397064.282,187
327768.865|6394626.631,148
324659.061|6409561.28,553
316926.82|6397217.361,209
318401.133|6406732.932,481
323902.855|6410818.969,578
312962.814|6403119.38,361
322394.562|6402363.556,345
319639.858|6402697.226,367
314802.362|6408247.359,
318243.03|6399215.486,246
321025.424|6398233.363,230
317370.087|6402418.728,365
322104.069|6393040.231,94
323770.248|6410253.548,566
330138.961|6403269.773,405
317369.62|6399981.719,269
322999.645|6412460.954,
316487.69|6401706.448,314
323787.668|6403149.341,372
324416.449|6402891.18,373
312573.272|6394153.508,107
322218.233|6392930.197,94
322402.148|6406517.136,484
329823.389|6406704.312,489
323722.766|6406394.352,486
320300.591|6400218.181,272
322988.017|6400715.744,296
318651.838|6397899.045,211
316736.383|6392890.052,88
319031.475|6404149.488,419
312787.363|6402843.574,361
319272.317|6398183.794,228
323408.573|6394447.565,144
309934.506|6399503.202,260
324914.912|6402014.815,348
318594.933|6392018.227,72
314741.13|6394035.749,110
323992.866|6401702.156,347
313882.984|6391439.971,52
317302.113|6394131.71,113
312704.658|6396380.264,170
314738.047|6396862.283,190
310602.235|6399423.843,261
312638.836|6402624.865,360
328829.181|6403544.557,404
320543.284|6404157.463,421
319696.0|6400289.311,292
317080.761|6399922.601,269
332133.177|6409137.942,
316953.669|6395057.772,156
319964.37|6393300.258,91
317450.123|6392844.323,88
317653.183|6399853.178,269
321302.935|6404653.764,446
321041.263|6395096.06,159
321972.737|6402999.426,370
319102.447|6403667.348,392
328061.799|6403427.354,403
323522.122|6410794.469,566
317765.376|6393725.967,113
317156.209|6397057.621,193
320936.361|6400335.489,293
318761.336|6397546.757,211
322870.035|6396982.024,199
319282.901|6397759.087,212
319421.996|6398957.464,248
315122.81|6405858.519,458
321951.111|6401978.641,345
313571.556|6403246.861,387
317913.25|6392275.61,71
318277.863|6399388.549,270
309528.246|6403408.091,382
315767.657|6391929.976,69
316959.883|6396298.004,175
316984.842|6393059.264,88
317547.527|6395174.894,157
313183.298|6402657.213,361
321223.522|6396950.074,197
327186.286|6394832.034,148
312382.356|6399790.886,263
323904.507|6408370.64,515
310656.084|6407732.231,490
312316.533|6402355.014,360
320976.617|6401761.348,319
321662.518|6396505.536,198
307376.025|6401387.921,305
314033.144|6393282.232,84
321231.464|6401532.09,319
319931.805|6401165.325,318
307457.938|6402070.591,331
319707.571|6401047.437,292
326028.695|6404875.571,451
319897.234|6403463.975,393
320531.469|6400962.141,293
319158.356|6398584.33,228
328263.48|6394364.668,149
324389.909|6405199.568,449
317219.12|6394800.821,137
321744.154|6395010.172,160
318922.107|6399704.191,271
315807.755|6402251.246,338
321679.088|6402207.087,344
315002.496|6391290.335,54
319944.173|6402379.837,342
318982.404|6397299.494,211
320655.763|6393815.277,117
317139.509|6405596.647,461
308428.66|6403453.791,381
313123.224|6398917.024,241
325706.531|6403796.973,400
321296.292|6402995.412,369
320503.755|6404587.42,420
312932.541|6403425.592,386
329500.018|6401539.889,328
328466.213|6391705.499,62
307674.535|6401517.563,306
327935.691|6408398.079,538
333213.938|6398546.707,
318725.142|6402129.25,341
331589.196|6409698.142,558
314799.792|6395311.11,154
319467.384|6398526.821,228
313023.132|6403115.902,361
321879.46|6396226.563,179
314133.476|6393654.305,109
316191.963|6392987.035,87
325750.23|6410465.534,569
315136.358|6403347.979,388
321844.18|6402935.783,370
310830.838|6399649.52,261
314984.017|6405960.637,458
318263.575|6398548.154,227
315594.19|6397789.42,207
312348.842|6402374.831,360
327405.448|6392904.792,99
327643.022|6403130.879,377
314746.012|6404995.712,438
321554.563|6392590.941,75
321668.158|6397147.994,198
318120.719|6401640.32,316
313593.093|6394284.115,133
323295.021|6405047.012,448
315108.499|6394612.535,135
317329.053|6405698.878,461
319320.984|6399850.346,271
322176.995|6392733.338,94
324999.898|6401464.296,324
319573.219|6398760.565,248
325775.003|6405319.74,451
320998.24|6401802.125,319
322375.812|6401153.297,321
317370.774|6391878.098,56
321233.301|6410645.615,563
324462.617|6402678.974,373
322774.552|6406886.892,499
323723.724|6408145.12,515
319302.79|6399734.879,271
322304.215|6392324.34,76
326292.926|6410038.095,569
314624.986|6401235.927,312
321860.184|6395540.089,160
310885.006|6399453.719,239
320167.371|6399950.164,272
313297.169|6395287.646,152
326659.801|6401877.386,350
320981.066|6404619.927,421
305780.11|6400357.249,278
314760.804|6393219.969,85
306319.274|6404454.407,407
315051.709|6401903.008,337
321710.209|6400207.899,274
313265.694|6402649.866,361
319885.111|6401133.836,318
322376.563|6400563.159,295
309029.771|6403366.817,382
308142.099|6403119.488,356
311420.381|6404779.255,411
317769.296|6402164.4,340
314678.895|6394844.563,134
310246.826|6400288.307,282
324777.645|6410950.619,579
329184.449|6395836.777,184
320594.279|6409185.867,548
328007.914|6403497.965,403
313394.438|6403069.32,361
326750.618|6393538.116,124
316603.466|6401063.116,314
319701.181|6398978.706,248
330524.694|6408998.148,540
312800.228|6403241.781,386
319426.026|6400140.009,271
321893.379|6391519.658,60
321360.401|6397252.455,214
318845.487|6400201.057,291
324117.273|6401475.352,323
319549.62|6400225.145,292
319602.104|6399967.442,271
322912.127|6392485.994,76
327639.35|6395312.788,165
319536.922|6400015.216,271
322291.565|6396722.224,199
307784.994|6402622.774,356
317959.866|6399534.544,246
317751.407|6394186.241,113
314516.383|6395128.388,154
324679.276|6407640.654,501
320727.675|6398881.272,249
319266.383|6400383.619,292
312780.541|6395952.722,170
321751.512|6403022.588,370
326173.335|6402426.342,375
313004.038|6403199.428,361
318008.241|6403551.936,391
317656.008|6390789.032,43
317025.81|6402457.267,339
320767.525|6398710.583,230
321593.355|6410917.436,575
326310.541|6400387.741,300
