Scenario,HexID,chargerAccessType,Annual_avg_daily_chargingTime_min_day,Annual_total_chargingTime_min_day,Annual_avg_daily_chargingCost_SEK_day,Annual_total_chargingCost_SEK_day,Annual_avg_daily_energy_kWh_day,Annual_total_energy_kWh_day
noVIPV,10,home,12235.780365296803,4466059.833333333,2790.4639800120763,1018519.3527044079,1244.207721905036,454135.8184953381
noVIPV,10,public,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,10,work,164.7365296803653,60128.833333333336,60.273972602739725,22000.0,15.068493150684931,5500.0
noVIPV,100,home,12860.400342465753,4694046.125,3223.065280554344,1176418.8274023356,1317.5736284477243,480914.37438341934
noVIPV,100,public,745.7175799086757,272186.9166666666,807.1438356164383,294607.5,146.75342465753425,53565.0
noVIPV,100,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,101,home,9842.363356164384,3592462.625,2282.474757090877,833103.2863381702,1024.5927786169748,373976.3641951958
noVIPV,101,public,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,101,work,174.07762557077626,63538.333333333336,80.1917808219178,29270.0,20.04794520547945,7317.5
noVIPV,102,home,3318.7681506849317,1211350.375,851.0225098406523,310623.2160918381,340.32876712328766,124220.0
noVIPV,102,public,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,102,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,103,home,579.5852739726026,211548.62499999997,186.18362172554674,67957.02192982456,60.25342465753425,21992.5
noVIPV,103,public,112.52602739726028,41072.0,99.71575342465754,36396.25,18.13013698630137,6617.5
noVIPV,103,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,104,home,1312.4723744292237,479052.4166666666,389.61172309322217,142208.2789290261,141.06164383561645,51487.5
noVIPV,104,public,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,104,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,105,home,3239.8770547945205,1182555.125,640.073062586208,233626.66784396593,329.0167572153873,120091.11638361638
noVIPV,105,public,298.80479452054794,109063.75,309.13013698630135,112832.5,56.205479452054796,20515.0
noVIPV,105,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,106,home,894.2043378995435,326384.5833333334,201.38177233680554,73504.34690293402,85.84931506849315,31335.0
