TimeIndex,Hour,chargerAccessType,noVIPV,VIPV50_Wp700,Saving,Reduction_pct
11,5.0,home,11514.937557077625,10514.23401826484,1000.7035388127842,8.690481679578927
11,5.0,public,829.7297945205479,865.1060502283107,-35.376255707762766,-4.26358748852747
11,5.0,work,2312.031278538813,1781.3543378995432,530.6769406392696,22.9528443479646
12,5.5,home,2396.234703196347,2307.7787671232877,88.45593607305909,3.691455430265966
12,5.5,public,2001.123515981735,2155.095662100457,-153.9721461187221,-7.694284979864654
12,5.5,work,5868.357762557078,4506.596689497717,1361.7610730593606,23.205147473251305
13,6.0,home,793.8159817351598,871.275,-77.45901826484021,-9.75780534117324
13,6.0,public,4544.275456621004,4304.069292237443,240.20616438356137,5.285906778242971
13,6.0,work,10374.471575342466,8406.589840182649,1967.8817351598173,18.968500909838934
14,6.5,home,814.5284246575343,767.0140410958904,47.514383561643854,5.8333610127382745
14,6.5,public,9230.714497716894,8419.535045662102,811.1794520547919,8.787829503939564
14,6.5,work,19388.915410958904,16438.59566210046,2950.3197488584447,15.216528033284831
15,7.0,home,1089.9409817351598,1048.9889269406394,40.952054794520336,3.757272685473818
15,7.0,public,15340.303310502282,14066.287328767123,1274.0159817351596,8.30502471788118
15,7.0,work,30399.40319634703,26458.01894977169,3941.3842465753405,12.965334290013168
16,7.5,home,1599.4191780821918,1627.8720319634706,-28.45285388127877,-1.7789491504907176
16,7.5,public,25383.58595890411,23566.772716894982,1816.8132420091279,7.157433330934954
16,7.5,work,50829.719520547944,44441.52682648402,6388.192694063924,12.567829911950417
17,8.0,home,2118.636073059361,1939.00502283105,179.6310502283111,8.478617564975167
17,8.0,public,32185.038356164383,28681.569063926938,3503.469292237445,10.885397287607793
17,8.0,work,60351.5904109589,52933.60639269406,7417.98401826484,12.291281750410757
18,8.5,home,2926.2628995433793,2562.3810502283104,363.88184931506885,12.435036147020481
18,8.5,public,31874.468835616437,27834.784474885848,4039.684360730589,12.673730757880607
18,8.5,work,53980.68847031963,47642.13938356165,6338.549086757979,11.742253139737416
19,9.0,home,5767.474086757992,5032.950799086758,734.5232876712344,12.735614874415914
19,9.0,public,28049.685730593606,24911.049315068492,3138.636415525114,11.189560003169033
19,9.0,work,43219.86575342465,38275.6497716895,4944.215981735149,11.439683801755862
20,9.5,home,9414.002739726027,8348.079452054795,1065.9232876712322,11.322742484163049
20,9.5,public,24209.792237442925,22431.436301369864,1778.3559360730615,7.345605937595167
20,9.5,work,31407.958675799084,28668.061529680363,2739.897146118721,8.723576003141861
21,10.0,home,14279.478767123288,13180.489954337902,1098.9888127853865,7.696281010730382
21,10.0,public,24134.614383561642,22603.362671232877,1531.2517123287653,6.344628872014289
21,10.0,work,22031.99452054795,20305.021461187214,1726.9730593607346,7.838478072196724
22,10.5,home,18634.94497716895,17226.797260273972,1408.1477168949787,7.556489802466305
22,10.5,public,26937.705821917807,25000.33447488584,1937.3713470319672,7.192042855615525
22,10.5,work,16619.155479452056,14299.260502283107,2319.8949771689495,13.959162846976614
23,11.0,home,25098.62043378995,23446.013470319635,1652.6069634703163,6.5844533879058655
23,11.0,public,28337.55205479452,26297.671803652964,2039.880251141556,7.198505527919877
23,11.0,work,12562.223287671233,10986.706621004567,1575.5166666666664,12.541702456546076
24,11.5,home,33805.75148401826,32054.291666666668,1751.4598173515951,5.180952176672071
24,11.5,public,29668.953767123287,27846.501369863014,1822.4523972602728,6.142624413267198
24,11.5,work,9758.626369863014,8717.03881278539,1041.5875570776243,10.67350585625757
25,12.0,home,43152.06894977169,39890.99897260274,3261.069977168947,7.557157875708764
25,12.0,public,33012.00262557077,29102.65776255708,3909.344863013692,11.84219239091406
25,12.0,work,9094.272374429225,8471.412442922374,622.8599315068514,6.848925409999536
26,12.5,home,50343.36506849315,46202.271232876716,4141.093835616433,8.225699315058485
26,12.5,public,33236.49828767123,28934.32762557077,4302.17066210046,12.94411530620333
26,12.5,work,10036.956735159818,8779.517808219178,1257.4389269406402,12.528089540685043
27,13.0,home,53515.13755707762,49588.730022831056,3926.407534246566,7.337003534857364
27,13.0,public,34470.62910958904,31219.84703196347,3250.782077625572,9.430585288393443
27,13.0,work,10570.4348173516,9471.499771689498,1098.9350456621014,10.396308805179666
28,13.5,home,59892.757077625574,55719.415182648394,4173.34189497718,6.968024346530267
28,13.5,public,33280.61803652968,31408.5147260274,1872.1033105022834,5.625205963565381
28,13.5,work,10135.535616438356,9464.002739726027,671.5328767123283,6.625529248036978
29,14.0,home,68638.84760273973,65017.86575342466,3620.981849315067,5.2754117759554795
29,14.0,public,31869.00662100457,29694.696575342467,2174.310045662103,6.8226476950462445
29,14.0,work,8615.464269406393,8331.16815068493,284.29611872146234,3.299835154920216
30,14.5,home,75644.50742009132,71836.85205479452,3807.6553652967996,5.033617767052151
30,14.5,public,31868.824200913237,29202.62328767123,2666.200913242006,8.366172835349236
30,14.5,work,7299.623630136986,6996.9299086758,302.6937214611862,4.146703128795502
31,15.0,home,84754.85308219178,79292.80376712329,5462.049315068492,6.444526910773618
31,15.0,public,30299.419634703194,27721.824771689495,2577.594863013699,8.507076683612354
31,15.0,work,5736.661301369863,4877.7111872146115,858.9501141552519,14.972996818726989
32,15.5,home,96141.76655251143,89665.58778538812,6476.178767123303,6.736072156096795
32,15.5,public,29007.478196347034,26832.38721461187,2175.090981735164,7.498380131538209
32,15.5,work,4209.292808219178,3403.903082191781,805.3897260273975,19.133611338578582
33,16.0,home,112513.98070776254,105106.55536529681,7407.425342465736,6.583559923726603
33,16.0,public,30877.175913242005,28748.14566210046,2129.030251141543,6.895158602339943
33,16.0,work,3073.2034246575345,2452.3463470319634,620.857077625571,20.20227729294415
34,16.5,home,131147.33173515982,121080.43116438357,10066.900570776255,7.6760239324620425
34,16.5,public,33044.32876712329,30014.02180365297,3030.3069634703206,9.170429772764082
34,16.5,work,2301.4228310502285,2027.354908675799,274.0679223744296,11.908629682332725
35,17.0,home,147227.20673515982,136054.45148401827,11172.755251141556,7.588784368666116
35,17.0,public,32417.650799086758,30225.757762557078,2191.89303652968,6.761418494246438
35,17.0,work,1607.3441780821918,1651.0077625570775,-43.66358447488574,-2.71650496951954
36,17.5,home,155753.02773972604,143686.15707762557,12066.870662100468,7.747438901967951
36,17.5,public,29652.76050228311,28487.096004566214,1165.6644977168944,3.931048839878312
36,17.5,work,1037.6141552511415,1055.2557077625572,-17.64155251141574,-1.7002035315474107
37,18.0,home,161449.86267123287,148258.90981735158,13190.952853881288,8.170309119892272
37,18.0,public,27726.06506849315,26339.544178082193,1386.5208904109568,5.0007849544670755
37,18.0,work,712.030707762557,785.7930365296804,-73.76232876712345,-10.3594308451822
38,18.5,home,161095.48470319636,147313.99315068492,13781.491552511434,8.554858988073171
38,18.5,public,24245.580707762554,22999.863926940638,1245.7167808219165,5.137912743096655
38,18.5,work,598.2705479452055,760.3528538812784,-162.08230593607288,-27.09180762662542
39,19.0,home,152287.00570776255,139726.96152968038,12560.044178082171,8.24761385234981
39,19.0,public,20804.515182648403,19503.681506849316,1300.8336757990874,6.25265075575528
39,19.0,work,590.2944063926941,645.5562785388129,-55.261872146118776,-9.361747553026234
40,19.5,home,142867.53858447488,131334.87728310502,11532.661301369866,8.072275490734253
40,19.5,public,16999.984589041094,15452.824885844751,1547.159703196343,9.100947680821472
40,19.5,work,562.2974885844749,529.6961187214612,32.6013698630137,5.797886443541521
41,20.0,home,131853.22819634702,121339.97009132418,10513.258105022833,7.973455218985759
41,20.0,public,13806.901369863013,12516.21107305936,1290.6902968036538,9.348153233142561
41,20.0,work,401.66198630136984,363.37488584474886,38.287100456620976,9.532169277252414
42,20.5,home,118522.03652968038,109268.64977168951,9253.38675799087,7.807313330862003
42,20.5,public,10669.592808219179,9852.706506849316,816.8863013698628,7.656208779969424
42,20.5,work,182.999200913242,173.99360730593605,9.00559360730594,4.9211108913942185
43,21.0,home,104552.57819634705,97286.1941780822,7266.384018264856,6.94998071173221
43,21.0,public,8309.28093607306,7593.021575342465,716.2593607305953,8.619992105707972
43,21.0,work,55.695433789954336,55.56301369863014,0.13242009132419952,0.23775753650397788
44,21.5,home,90646.99178082192,84733.53515981736,5913.45662100456,6.523610441814642
