Scenario,TimeIndex,Hour,chargerAccessType,Annual_avg_daily_session_starts,Annual_total_session_starts
VIPV50_Wp700,44,21.5,work,0.6301369863013698,230.0
VIPV50_Wp700,45,22.0,home,680.1986301369863,248272.5
VIPV50_Wp700,45,22.0,public,101.6986301369863,37120.0
VIPV50_Wp700,45,22.0,work,0.0,0.0
VIPV50_Wp700,46,22.5,home,776.2671232876712,283337.5
VIPV50_Wp700,46,22.5,public,115.26027397260275,42070.0
VIPV50_Wp700,46,22.5,work,0.0,0.0
VIPV50_Wp700,47,23.0,home,706.1506849315068,257745.0
VIPV50_Wp700,47,23.0,public,105.18493150684931,38392.5
VIPV50_Wp700,47,23.0,work,0.0,0.0
VIPV50_Wp700,48,23.5,home,563.9657534246576,205847.5
VIPV50_Wp700,48,23.5,public,101.60958904109589,37087.5
VIPV50_Wp700,48,23.5,work,0.0,0.0
noVIPV,1,0.0,home,1275.0684931506848,465400.0
noVIPV,1,0.0,public,245.3972602739726,89570.0
noVIPV,1,0.0,work,1.86986301369863,682.5
noVIPV,2,0.5,home,895.2808219178082,326777.5
noVIPV,2,0.5,public,179.7054794520548,65592.5
noVIPV,2,0.5,work,0.6301369863013698,230.0
noVIPV,3,1.0,home,378.1575342465753,138027.5
noVIPV,3,1.0,public,81.38356164383562,29705.0
noVIPV,3,1.0,work,0.0,0.0
noVIPV,4,1.5,home,142.1027397260274,51867.5
noVIPV,4,1.5,public,35.034246575342465,12787.5
noVIPV,4,1.5,work,0.0,0.0
noVIPV,5,2.0,home,48.863013698630134,17835.0
noVIPV,5,2.0,public,11.267123287671232,4112.5
noVIPV,5,2.0,work,0.0,0.0
noVIPV,6,2.5,home,10.657534246575343,3890.0
noVIPV,6,2.5,public,1.86986301369863,682.5
noVIPV,6,2.5,work,0.0,0.0
noVIPV,7,3.0,home,3.1232876712328768,1140.0
noVIPV,7,3.0,public,0.0,0.0
noVIPV,7,3.0,work,0.0,0.0
noVIPV,8,3.5,home,0.0,0.0
noVIPV,8,3.5,public,0.0,0.0
noVIPV,8,3.5,work,0.0,0.0
noVIPV,9,4.0,home,0.0,0.0
noVIPV,9,4.0,public,8.767123287671232,3200.0
noVIPV,9,4.0,work,11.863013698630137,4330.0
noVIPV,10,4.5,home,0.0,0.0
