HexID,chargerAccessType,chargingTime_min_day,chargingCost_SEK_day,energy_kWh_day,Scenario,Season
74,public,1426.4583333333333,1636.25,297.5,noVIPV,SPRING
75,home,0.0,0.0,0.0,noVIPV,SPRING
75,work,6373.083333333333,3430.0,857.5,noVIPV,SPRING
75,public,523.4166666666666,687.5000000000001,125.0,noVIPV,SPRING
76,home,7688.333333333333,1636.1049705329583,784.0867645647376,noVIPV,SPRING
76,work,4745.791666666667,2790.0,697.5,noVIPV,SPRING
76,public,1743.5416666666667,2062.5,375.0,noVIPV,SPRING
77,home,2852.9583333333335,657.3429878356272,272.5,noVIPV,SPRING
77,work,0.0,0.0,0.0,noVIPV,SPRING
77,public,1254.0,1306.25,237.5,noVIPV,SPRING
78,home,899.0416666666666,106.25,85.0,noVIPV,SPRING
78,work,0.0,0.0,0.0,noVIPV,SPRING
78,public,115.375,41.25,7.499999999999999,noVIPV,SPRING
79,home,0.0,0.0,0.0,noVIPV,SPRING
79,work,0.0,0.0,0.0,noVIPV,SPRING
79,public,97.33333333333333,151.25,27.5,noVIPV,SPRING
80,home,766.9583333333334,275.9628809691965,82.5,noVIPV,SPRING
80,work,0.0,0.0,0.0,noVIPV,SPRING
80,public,1190.4166666666667,1540.0,280.0,noVIPV,SPRING
81,home,3239.2916666666665,810.7012308962776,317.5,noVIPV,SPRING
81,work,0.0,0.0,0.0,noVIPV,SPRING
81,public,0.0,0.0,0.0,noVIPV,SPRING
82,home,652.4583333333334,143.4593923622198,72.5,noVIPV,SPRING
82,work,0.0,0.0,0.0,noVIPV,SPRING
82,public,453.75,687.5,125.0,noVIPV,SPRING
83,home,0.0,0.0,0.0,noVIPV,SPRING
83,work,0.0,0.0,0.0,noVIPV,SPRING
83,public,93.45833333333334,192.5,35.0,noVIPV,SPRING
84,home,11113.875,2622.674334545113,1108.0801305293692,noVIPV,SPRING
84,work,557.9166666666666,300.0,75.0,noVIPV,SPRING
84,public,1037.5416666666667,852.5,155.0,noVIPV,SPRING
85,home,13631.708333333334,3383.304406029651,1375.43059125964,noVIPV,SPRING
85,work,990.125,550.0,137.5,noVIPV,SPRING
85,public,2001.0416666666665,2461.25,447.5,noVIPV,SPRING
86,home,19270.875,4751.226403798074,1930.1349729025178,noVIPV,SPRING
86,work,0.0,0.0,0.0,noVIPV,SPRING
86,public,4045.7916666666665,4895.0,890.0,noVIPV,SPRING
87,home,4812.208333333333,1113.2158822619976,487.5,noVIPV,SPRING
87,work,488.8333333333333,240.0,60.0,noVIPV,SPRING
87,public,933.25,1100.0,200.0,noVIPV,SPRING
88,home,7766.25,1874.9707483883162,790.0,noVIPV,SPRING
88,work,987.0833333333334,560.0,140.0,noVIPV,SPRING
88,public,3388.625,2667.5,485.0,noVIPV,SPRING
89,home,0.0,0.0,0.0,noVIPV,SPRING
89,work,5049.791666666667,2680.0,670.0,noVIPV,SPRING
89,public,1562.8333333333333,1705.0,310.0,noVIPV,SPRING
90,home,0.0,0.0,0.0,noVIPV,SPRING
