HexID,noVIPV_sessions,VIPV50_Wp700_sessions,Avoided_sessions_day,Frequency_reduction_pct,Ranking,Charger_context,chargerAccessType
467,9.363013698630137,4.97945205479452,4.383561643835617,46.81784930504755,largest_percentage_reduction,home,home
562,6.8493150684931505,3.76027397260274,3.0890410958904106,45.099999999999994,largest_percentage_reduction,home,home
385,12.465753424657533,6.863013698630137,5.602739726027396,44.94505494505494,largest_percentage_reduction,home,home
9,11.253424657534246,6.232876712328767,5.02054794520548,44.61351186853317,largest_percentage_reduction,home,home
452,25.58219178082192,14.349315068493151,11.232876712328768,43.908969210174035,largest_percentage_reduction,home,home
376,8.746575342465754,5.013698630136986,3.7328767123287676,42.678151918559124,largest_percentage_reduction,home,home
166,7.506849315068493,4.335616438356165,3.1712328767123283,42.24452554744525,largest_percentage_reduction,home,home
327,4.993150684931507,3.1164383561643834,1.8767123287671237,37.58573388203018,largest_percentage_reduction,home,home
326,28.78082191780822,18.095890410958905,10.684931506849313,37.125178486435026,largest_percentage_reduction,home,home
47,18.746575342465754,11.897260273972602,6.849315068493151,36.53635367190355,largest_percentage_reduction,home,home
553,24.356164383561644,15.636986301369863,8.719178082191782,35.79865016872891,largest_percentage_reduction,home,home
154,17.506849315068493,11.253424657534246,6.2534246575342465,35.719874804381845,largest_percentage_reduction,home,home
211,30.60958904109589,19.97945205479452,10.63013698630137,34.72812709778474,largest_percentage_reduction,home,home
249,67.43835616438356,44.37671232876713,23.061643835616437,34.19662807231363,largest_percentage_reduction,home,home
379,3.76027397260274,2.493150684931507,1.2671232876712328,33.697632058287795,largest_percentage_reduction,home,home
361,236.2945205479452,199.22602739726028,37.06849315068493,15.687411229310994,largest_absolute_avoided_sessions,work,work
248,94.25342465753425,66.18493150684931,28.068493150684944,29.779812513625476,largest_absolute_avoided_sessions,work,work
292,122.64383561643835,102.38356164383562,20.260273972602732,16.51960236792136,largest_absolute_avoided_sessions,work,work
272,80.02054794520548,61.773972602739725,18.246575342465754,22.802362406916032,largest_absolute_avoided_sessions,work,work
94,61.23287671232877,44.35616438356164,16.876712328767127,27.561521252796425,largest_absolute_avoided_sessions,work,work
197,40.602739726027394,23.726027397260275,16.87671232876712,41.565452091767874,largest_absolute_avoided_sessions,work,work
247,53.78767123287671,37.534246575342465,16.253424657534246,30.2177511778938,largest_absolute_avoided_sessions,work,work
270,56.83561643835616,41.16438356164384,15.671232876712324,27.572909134731255,largest_absolute_avoided_sessions,work,work
157,52.5,36.88356164383562,15.61643835616438,29.745596868884533,largest_absolute_avoided_sessions,work,work
75,72.41780821917808,57.486301369863014,14.93150684931507,20.61855670103093,largest_absolute_avoided_sessions,work,work
458,60.636986301369866,46.18493150684932,14.45205479452055,23.83372867954366,largest_absolute_avoided_sessions,work,work
345,47.54794520547945,33.74657534246575,13.801369863013697,29.026217228464418,largest_absolute_avoided_sessions,work,work
154,34.42465753424658,22.513698630136986,11.910958904109592,34.60007958615201,largest_absolute_avoided_sessions,work,work
178,30.595890410958905,18.71917808219178,11.876712328767123,38.817998656816656,largest_absolute_avoided_sessions,work,work
293,50.5958904109589,39.41095890410959,11.18493150684931,22.10640314065249,largest_absolute_avoided_sessions,work,work
403,39.38356164383562,28.753424657534246,10.630136986301373,26.99130434782609,largest_absolute_avoided_sessions,work,work
321,23.753424657534246,13.773972602739725,9.979452054794521,42.01268742791235,largest_absolute_avoided_sessions,work,work
318,51.17123287671233,41.21232876712329,9.958904109589042,19.461919421764158,largest_absolute_avoided_sessions,work,work
