TimeIndex,chargerAccessType,Hour,chargingTime_min,chargingCost_SEK,energy_kWh,Scenario,Season
31,home,15.0,84072.70833333333,18962.191328543973,8427.640590463987,noVIPV,SUMMER
31,work,15.0,5777.416666666667,3187.1542053465396,796.7885513366349,noVIPV,SUMMER
31,public,15.0,29367.583333333332,34703.91961964166,6309.803567207574,noVIPV,SUMMER
32,home,15.5,96895.91666666667,21832.090009730862,9703.15111543594,noVIPV,SUMMER
32,work,15.5,4164.375,2360.1207050934067,590.0301762733517,noVIPV,SUMMER
32,public,15.5,29094.625,34116.637441642975,6203.024989389632,noVIPV,SUMMER
33,home,16.0,116004.08333333333,25972.977123910143,11543.545388404507,noVIPV,SUMMER
33,work,16.0,2780.4583333333335,1519.8362268098274,379.95905670245685,noVIPV,SUMMER
33,public,16.0,32701.958333333332,38446.32259513675,6990.240471843046,noVIPV,SUMMER
34,home,16.5,134956.625,30097.501314343423,13376.667250819299,noVIPV,SUMMER
34,work,16.5,2108.0,1194.5395038000734,298.63487595001834,noVIPV,SUMMER
34,public,16.5,34890.791666666664,39896.89523547749,7253.980951904998,noVIPV,SUMMER
35,home,17.0,149831.04166666666,44602.965483911976,14867.655161303992,noVIPV,SUMMER
35,work,17.0,1565.4583333333333,870.8139203698804,217.7034800924701,noVIPV,SUMMER
35,public,17.0,34482.625,38933.230391391415,7078.769162071166,noVIPV,SUMMER
36,home,17.5,156530.125,46828.904060467525,15609.634686822508,noVIPV,SUMMER
36,work,17.5,1149.5833333333333,666.6955134702305,166.67387836755762,noVIPV,SUMMER
36,public,17.5,29573.791666666668,34656.86241838643,6301.247712433896,noVIPV,SUMMER
37,home,18.0,162396.91666666666,48796.388896273034,16265.462965424345,noVIPV,SUMMER
37,work,18.0,896.4166666666666,504.4864858557677,126.12162146394192,noVIPV,SUMMER
37,public,18.0,25233.291666666668,29266.745815297843,5321.226511872335,noVIPV,SUMMER
38,home,18.5,161370.125,48759.18090392143,16253.060301307143,noVIPV,SUMMER
38,work,18.5,789.875,434.44703074302424,108.61175768575606,noVIPV,SUMMER
38,public,18.5,22694.958333333332,26593.751730824064,4835.227587422557,noVIPV,SUMMER
39,home,19.0,152093.0,46253.21158745422,15417.737195818074,noVIPV,SUMMER
39,work,19.0,880.1666666666667,450.97823584048155,112.74455896012039,noVIPV,SUMMER
39,public,19.0,20232.5,24372.10542463564,4431.291895388298,noVIPV,SUMMER
40,home,19.5,143143.79166666666,43810.46766257576,14603.489220858588,noVIPV,SUMMER
40,work,19.5,876.5416666666666,457.40064929558645,114.35016232389661,noVIPV,SUMMER
40,public,19.5,15887.458333333334,18917.125531998157,3439.4773694542105,noVIPV,SUMMER
