HexID,noVIPV_cost,noVIPV_time_min,VIPV_cost,VIPV_time_min,Cost_saving_SEK_day,Time_saving_min_day,Cost_reduction_pct,Time_reduction_pct,Ranking,Metric,Charger_context,chargerAccessType
319,332.95770046470034,1271.162785388128,225.5952989167186,864.0458904109589,107.36240154798173,407.11689497716907,32.24505737459709,32.027125058799044,largest_percentage_reduction,cost,home,home
191,4055.23501330113,17880.382305936073,3117.548572040122,13862.354566210044,937.686441261008,4018.027739726029,23.122863118546913,22.47171045326079,largest_absolute_saving,time,home,home
86,5302.298361671434,22039.494748858448,4439.484891094707,18534.758219178082,862.813470576727,3504.7365296803655,16.272442848816677,15.902072935959186,largest_absolute_saving,time,home,home
450,4040.2642839890345,15921.019178082192,3130.1794578815197,12532.408789954337,910.0848261075148,3388.610388127854,22.52537859253528,21.283878564714083,largest_absolute_saving,time,home,home
214,2687.1265552417035,11742.278538812787,1874.8506224896241,8497.977853881279,812.2759327520794,3244.300684931508,30.22842117977641,27.629226084254736,largest_absolute_saving,time,home,home
248,5424.924437531838,22481.742237442922,4663.905699147017,19246.371917808217,761.0187383848206,3235.370319634705,14.028190570172423,14.391101390025975,largest_absolute_saving,time,home,home
175,2979.165078031044,12436.205479452055,2220.0485268967177,9231.914497716896,759.1165511343261,3204.290981735159,25.480848870450405,25.765825331766244,largest_absolute_saving,time,home,home
268,6127.010418766917,25194.64372146119,5420.220920239123,22075.716324200912,706.7894985277935,3118.9273972602787,11.53563402410596,12.379327255989446,largest_absolute_saving,time,home,home
399,5156.916623626851,23355.708219178083,4610.343990153154,20335.66198630137,546.5726334736974,3020.0462328767135,10.598826263149737,12.930655771752027,largest_absolute_saving,time,home,home
244,3169.9458222441376,12338.847374429222,2426.1203135994315,9392.555821917807,743.8255086447061,2946.291552511415,23.464928120384116,23.878174865970465,largest_absolute_saving,time,home,home
5,1968.6507255374677,7490.557305936074,1185.8187199968672,4669.730707762557,782.8320055406004,2820.8265981735167,39.764900669562756,37.65843425212279,largest_absolute_saving,time,home,home
190,5188.220065933215,20331.346232876713,4357.258528703212,17528.591438356165,830.9615372300032,2802.754794520548,16.016312466894878,13.785387167271617,largest_absolute_saving,time,home,home
246,4747.0018380064175,20136.39086757991,3994.013299150866,17370.595547945206,752.9885388555517,2765.7953196347044,15.862402513241532,13.735308068973293,largest_absolute_saving,time,home,home
445,4955.946122428662,21246.004794520548,4266.854908872556,18528.310616438357,689.0912135561066,2717.694178082191,13.904332220997135,12.791554009171165,largest_absolute_saving,time,home,home
