HexID,chargerAccessType,Sample_session_starts,Fullscale_avg_daily_session_starts,Scenario,Season
31,home,3.0,7.5,noVIPV,SPRING
31,work,2.0,5.0,noVIPV,SPRING
31,public,1.0,2.5,noVIPV,SPRING
32,home,1.0,2.5,noVIPV,SPRING
32,work,0.0,0.0,noVIPV,SPRING
32,public,0.0,0.0,noVIPV,SPRING
33,home,4.0,10.0,noVIPV,SPRING
33,work,0.0,0.0,noVIPV,SPRING
33,public,0.0,0.0,noVIPV,SPRING
34,home,0.0,0.0,noVIPV,SPRING
34,work,0.0,0.0,noVIPV,SPRING
34,public,1.0,2.5,noVIPV,SPRING
35,home,3.0,7.5,noVIPV,SPRING
35,work,0.0,0.0,noVIPV,SPRING
35,public,0.0,0.0,noVIPV,SPRING
36,home,5.0,12.5,noVIPV,SPRING
36,work,1.0,2.5,noVIPV,SPRING
36,public,2.0,5.0,noVIPV,SPRING
37,home,1.0,2.5,noVIPV,SPRING
37,work,0.0,0.0,noVIPV,SPRING
37,public,1.0,2.5,noVIPV,SPRING
38,home,0.0,0.0,noVIPV,SPRING
38,work,0.0,0.0,noVIPV,SPRING
38,public,4.0,10.0,noVIPV,SPRING
39,home,22.0,55.0,noVIPV,SPRING
39,work,1.0,2.5,noVIPV,SPRING
39,public,8.0,20.0,noVIPV,SPRING
40,home,16.0,40.0,noVIPV,SPRING
40,work,0.0,0.0,noVIPV,SPRING
40,public,4.0,10.0,noVIPV,SPRING
41,home,4.0,10.0,noVIPV,SPRING
41,work,0.0,0.0,noVIPV,SPRING
41,public,0.0,0.0,noVIPV,SPRING
42,home,4.0,10.0,noVIPV,SPRING
42,work,1.0,2.5,noVIPV,SPRING
42,public,5.0,12.5,noVIPV,SPRING
43,home,24.0,60.0,noVIPV,SPRING
43,work,4.0,10.0,noVIPV,SPRING
43,public,8.0,20.0,noVIPV,SPRING
44,home,5.0,12.5,noVIPV,SPRING
44,work,0.0,0.0,noVIPV,SPRING
44,public,0.0,0.0,noVIPV,SPRING
45,home,8.0,20.0,noVIPV,SPRING
45,work,0.0,0.0,noVIPV,SPRING
45,public,4.0,10.0,noVIPV,SPRING
46,home,4.0,10.0,noVIPV,SPRING
46,work,3.0,7.5,noVIPV,SPRING
46,public,12.0,30.0,noVIPV,SPRING
47,home,7.0,17.5,noVIPV,SPRING
47,work,0.0,0.0,noVIPV,SPRING
47,public,0.0,0.0,noVIPV,SPRING
48,home,1.0,2.5,noVIPV,SPRING
48,work,0.0,0.0,noVIPV,SPRING
48,public,0.0,0.0,noVIPV,SPRING
49,home,0.0,0.0,noVIPV,SPRING
49,work,0.0,0.0,noVIPV,SPRING
49,public,0.0,0.0,noVIPV,SPRING
50,home,2.0,5.0,noVIPV,SPRING
50,work,0.0,0.0,noVIPV,SPRING
50,public,0.0,0.0,noVIPV,SPRING
51,home,0.0,0.0,noVIPV,SPRING
51,work,0.0,0.0,noVIPV,SPRING
51,public,0.0,0.0,noVIPV,SPRING
52,home,4.0,10.0,noVIPV,SPRING
52,work,0.0,0.0,noVIPV,SPRING
52,public,2.0,5.0,noVIPV,SPRING
53,home,82.0,205.0,noVIPV,SPRING
53,work,2.0,5.0,noVIPV,SPRING
53,public,12.0,30.0,noVIPV,SPRING
54,home,5.0,12.5,noVIPV,SPRING
54,work,0.0,0.0,noVIPV,SPRING
54,public,6.0,15.0,noVIPV,SPRING
55,home,3.0,7.5,noVIPV,SPRING
55,work,0.0,0.0,noVIPV,SPRING
55,public,1.0,2.5,noVIPV,SPRING
56,home,34.0,85.0,noVIPV,SPRING
56,work,2.0,5.0,noVIPV,SPRING
56,public,17.0,42.5,noVIPV,SPRING
57,home,42.0,105.0,noVIPV,SPRING
57,work,0.0,0.0,noVIPV,SPRING
57,public,11.0,27.5,noVIPV,SPRING
58,home,9.0,22.5,noVIPV,SPRING
58,work,0.0,0.0,noVIPV,SPRING
58,public,2.0,5.0,noVIPV,SPRING
59,home,13.0,32.5,noVIPV,SPRING
59,work,0.0,0.0,noVIPV,SPRING
59,public,8.0,20.0,noVIPV,SPRING
60,home,22.0,55.0,noVIPV,SPRING
60,work,4.0,10.0,noVIPV,SPRING
60,public,0.0,0.0,noVIPV,SPRING
61,home,1.0,2.5,noVIPV,SPRING
61,work,0.0,0.0,noVIPV,SPRING
61,public,2.0,5.0,noVIPV,SPRING
62,home,6.0,15.0,noVIPV,SPRING
62,work,0.0,0.0,noVIPV,SPRING
62,public,1.0,2.5,noVIPV,SPRING
63,home,2.0,5.0,noVIPV,SPRING
63,work,0.0,0.0,noVIPV,SPRING
63,public,0.0,0.0,noVIPV,SPRING
64,home,0.0,0.0,noVIPV,SPRING
64,work,0.0,0.0,noVIPV,SPRING
64,public,1.0,2.5,noVIPV,SPRING
65,home,5.0,12.5,noVIPV,SPRING
65,work,0.0,0.0,noVIPV,SPRING
65,public,0.0,0.0,noVIPV,SPRING
66,home,0.0,0.0,noVIPV,SPRING
66,work,0.0,0.0,noVIPV,SPRING
66,public,0.0,0.0,noVIPV,SPRING
67,home,7.0,17.5,noVIPV,SPRING
67,work,0.0,0.0,noVIPV,SPRING
67,public,1.0,2.5,noVIPV,SPRING
68,home,17.0,42.5,noVIPV,SPRING
68,work,0.0,0.0,noVIPV,SPRING
68,public,12.0,30.0,noVIPV,SPRING
69,home,11.0,27.5,noVIPV,SPRING
69,work,2.0,5.0,noVIPV,SPRING
69,public,6.0,15.0,noVIPV,SPRING
70,home,44.0,110.0,noVIPV,SPRING
70,work,2.0,5.0,noVIPV,SPRING
70,public,7.0,17.5,noVIPV,SPRING
71,home,21.0,52.5,noVIPV,SPRING
71,work,2.0,5.0,noVIPV,SPRING
71,public,7.0,17.5,noVIPV,SPRING
72,home,8.0,20.0,noVIPV,SPRING
72,work,7.0,17.5,noVIPV,SPRING
72,public,8.0,20.0,noVIPV,SPRING
73,home,0.0,0.0,noVIPV,SPRING
73,work,0.0,0.0,noVIPV,SPRING
73,public,0.0,0.0,noVIPV,SPRING
74,home,0.0,0.0,noVIPV,SPRING
74,work,9.0,22.5,noVIPV,SPRING
74,public,9.0,22.5,noVIPV,SPRING
75,home,0.0,0.0,noVIPV,SPRING
75,work,24.0,60.0,noVIPV,SPRING
75,public,3.0,7.5,noVIPV,SPRING
76,home,22.0,55.0,noVIPV,SPRING
76,work,15.0,37.5,noVIPV,SPRING
76,public,11.0,27.5,noVIPV,SPRING
77,home,9.0,22.5,noVIPV,SPRING
77,work,0.0,0.0,noVIPV,SPRING
77,public,8.0,20.0,noVIPV,SPRING
78,home,3.0,7.5,noVIPV,SPRING
78,work,0.0,0.0,noVIPV,SPRING
78,public,1.0,2.5,noVIPV,SPRING
79,home,0.0,0.0,noVIPV,SPRING
79,work,0.0,0.0,noVIPV,SPRING
79,public,2.0,5.0,noVIPV,SPRING
80,home,1.0,2.5,noVIPV,SPRING
80,work,0.0,0.0,noVIPV,SPRING
80,public,7.0,17.5,noVIPV,SPRING
81,home,8.0,20.0,noVIPV,SPRING
