HexID,noVIPV_cost,noVIPV_time_min,VIPV_cost,VIPV_time_min,Cost_saving_SEK_day,Time_saving_min_day,Cost_reduction_pct,Time_reduction_pct
114,3621.647569193305,6904.4906392694065,3643.3012944592447,6873.667694063927,-21.653725265939556,30.8229452054793,-0.597897085573204,0.4464188137235393
115,5540.536597208694,12827.46289954338,5070.35604854884,11983.8850456621,470.18054865985414,843.5778538812792,8.486191552217699,6.576342184636591
116,372.3476987292229,744.552397260274,451.48209521198316,1055.7788812785388,-79.13439648276028,-311.22648401826484,-21.25282276561297,-41.80048108950874
117,4910.291763949651,10826.288470319634,4184.313766276638,8955.32488584475,725.9779976730133,1870.9635844748846,14.7848240506398,17.281671272700223
118,10012.083864192144,16235.243607305934,10231.571494910459,16332.74200913242,-219.4876307183149,-97.49840182648586,-2.192227249546965,-0.6005355027910461
119,3926.2837588387956,10570.939840182647,3874.246089825038,10673.038926940639,52.03766901375775,-102.09908675799124,1.3253669935753183,-0.9658468244222563
12,1547.0881964401392,5124.696347031964,1434.7896094001708,5195.949657534246,112.29858703996842,-71.25331050228215,7.258706213283009,-1.3903908773746068
120,3405.2376913797366,11091.495890410959,3205.4588911551755,9975.560844748858,199.7788002245611,1115.9350456621014,5.866809260636799,10.061177109815024
121,429.0875921669534,1879.2213470319634,431.7086857835513,1796.8625570776258,-2.621093616597875,82.35878995433768,-0.6108528105790659,4.382601873079768
122,343.43764691223726,1812.1599315068493,329.42218682088185,1728.1891552511415,14.015460091355408,83.97077625570773,4.0809329487797665,4.633739814889531
123,4475.153603195259,10533.962671232875,3871.456430083962,9466.176940639269,603.6971731112972,1067.7857305936068,13.48997658270897,10.13660066889752
124,4735.489861495361,14837.269178082192,4526.424669933991,12832.32385844749,209.06519156136983,2004.9453196347022,4.414858814529311,13.512899817147172
125,6616.353277662173,13891.132762557078,6901.707890906015,14431.318378995433,-285.3546132438414,-540.1856164383553,-4.312868452886917,-3.888708182923723
126,7614.076720020347,20869.6397260274,7770.833275671242,20436.355479452053,-156.75655565089437,433.2842465753456,-2.058772999209751,2.0761462692380777
127,6406.209589009026,18499.51084474886,6004.252605760807,17584.597716894976,401.95698324821933,914.9131278538844,6.274490050057789,4.945607132707431
128,1240.4260483047078,4599.292237442923,1357.639918828823,4933.353995433789,-117.21387052411524,-334.0617579908667,-9.449484770519904,-7.2633296764937825
129,638.5749205513509,1295.3036529680367,599.7309299478235,1306.0635844748858,38.84399060352746,-10.75993150684917,6.082918284668811,-0.8306879612509428
13,393.8216395917584,1134.725114155251,806.060842388498,2138.142237442922,-412.2392027967396,-1003.4171232876711,-104.6766254957633,-88.42821144702235
130,189.4482849160336,663.4931506849315,61.96647164999183,201.63698630136986,127.48181326604177,461.85616438356163,67.29108860634113,69.60978631155156
131,672.9965753424658,612.9683789954337,870.431506849315,763.1131278538812,-197.43493150684924,-150.14474885844754,-29.33669185558353,-24.49469728022725
132,1871.870167307495,6866.851484018264,1537.7763174328256,5461.122488584475,334.09384987466933,1405.7289954337894,17.848131548313052,20.47123050069522
133,5704.503856935442,13993.0399543379,4645.269797760289,12176.799200913241,1059.2340591751527,1816.2407534246595,18.568381856510683,12.97960099700578
134,11217.900293635,30525.18424657534,9117.519472824311,26902.09520547945,2100.3808208106893,3623.089041095889,18.723475568796406,11.869179926415574
135,6784.632785746095,16927.827625570775,5872.114584355317,14145.991324200913,912.5182013907779,2781.8363013698618,13.44978026383236,16.433510329273943
136,5083.679494243239,15434.567351598174,4253.577326643541,13336.645776255707,830.1021675996981,2097.921575342467,16.32876676312317,13.592357515128127
137,3740.165888504809,9855.957990867579,2824.669684805629,8148.273744292237,915.4962036991801,1707.6842465753416,24.477422418960252,17.326415637705264
138,3905.722602739726,4466.41609589041,3580.5582191780823,3926.6115296803655,325.1643835616437,539.8045662100449,8.325332253077892,12.08585484694818
139,2145.1438059483867,9025.937328767122,1919.5275967573236,8511.594292237443,225.61620919106304,514.343036529679,10.517533070064557,5.69849997617848
14,195.0119307600268,1030.0285388127854,213.9162622911077,1182.1170091324202,-18.904331531080913,-152.08847031963478,-9.693935882489038,-14.765461789527938
140,832.9515003918449,1915.8296803652966,607.0248319498905,1612.1616438356164,225.92666844195435,303.6680365296802,27.123628246743273,15.850471450665642
141,7232.666862256064,21824.755251141552,7113.638626970469,20320.1546803653,119.02823528559475,1504.6005707762524,1.6457032731142083,6.894008906228415
142,10440.774246597528,19922.13287671233,9322.53471489135,18265.101369863012,1118.2395317061782,1657.0315068493182,10.710312332158638,8.317540682535451
143,6062.777526002959,12059.02397260274,4535.00829132476,9853.243264840181,1527.7692346781996,2205.7807077625584,25.19916371870271,18.291535971517582
144,4266.6473076517705,11553.035730593609,4348.432378948888,11629.792579908677,-81.78507129711761,-76.7568493150684,-1.916846305773738,-0.6643868426011051
145,13.863013698630137,28.58721461187214,24.26027397260274,31.370319634703193,-10.397260273972602,-2.7831050228310517,-74.99999999999999,-9.735488611315215
146,331.0924657534246,249.91666666666666,199.05479452054794,174.6093607305936,132.03767123287668,75.30730593607305,39.879394697917846,30.13296669666144
147,744.1085079572972,3306.0349315068493,834.118066836952,3636.2474885844754,-90.00955887965483,-330.2125570776261,-12.096294816833392,-9.988175077361308
148,5653.698956860491,11023.69189497717,5966.843360761684,11344.052283105022,-313.1444039011931,-320.3603881278523,-5.538752704920863,-2.906107964372817
149,5766.334664128036,12727.61792237443,5686.229008885127,12915.388356164385,80.10565524290905,-187.77043378995586,1.3891953885583632,-1.4752991088761873
15,361.940614360661,879.3938356164384,352.92165306505717,935.1179223744291,9.018961295603845,-55.724086757990676,2.4918345545539604,-6.3366474156518455
150,3095.35029793665,10643.042009132421,2676.14822445639,9522.456621004567,419.20207348025997,1120.5853881278545,13.542960671032894,10.528807338788283
151,925.695205479452,726.0876712328767,894.5787671232877,679.1116438356164,31.116438356164394,46.97602739726028,3.3614129328938276,6.469745907886893
152,7060.687643021306,18869.189497716896,6450.639497236458,16972.48367579909,610.0481457848482,1896.705821917807,8.640067039190043,10.051866945039169
153,5567.078066670333,16336.82636986301,5132.94687785347,13744.208333333336,434.13118881686296,2592.618036529675,7.7981875522093524,15.869777751401877
154,2728.3504309921036,6918.053424657534,2400.816423248959,5247.481506849315,327.5340077431447,1670.571917808219,12.00483647637757,24.14800544693564
155,1091.6701869029196,4874.623858447489,1097.60189850674,4706.283219178083,-5.931711603820531,168.34063926940598,-0.5433611428602684,3.453407773764529
156,16542.780445211425,24683.561872146118,15169.77287699788,22156.52796803653,1373.0075682135448,2527.0339041095867,8.299738806066207,10.237719812071324
157,2708.0936033481103,6219.904908675799,1770.3620913672673,4633.670547945205,937.7315119808429,1586.2343607305938,34.62699778255423,25.502550023201223
158,1400.9474224668813,5027.374885844748,1462.2921847698815,5020.2070776255705,-61.34476230300015,7.167808219177459,-4.378805465445678,0.1425755664125902
159,10141.32333028133,20879.174315068496,10170.87686730895,19780.792579908673,-29.553537027621132,1098.3817351598227,-0.2914169686255461,5.260656952162715
16,285.7255761280395,1228.8557077625571,216.1538517903637,977.5985159817351,69.57172433767582,251.25719178082204,24.34914132660609,20.44643567130427
160,11434.559496454569,23049.021232876712,11891.133948070768,23096.371803652968,-456.57445161619944,-47.35057077625606,-3.99293432998242,-0.2054341930524844
161,6634.475342554649,12367.96894977169,7204.124233893035,12300.723287671233,-569.6488913383864,67.24566210045668,-8.586193510805021,0.5437082060405563
162,4808.107076630947,10948.239726027397,3758.456463234024,9354.83493150685,1049.6506133969228,1593.4047945205475,21.830849368945746,14.553981593338012
163,11.657534246575343,45.13881278538812,15.691780821917808,44.89349315068493,-4.034246575342465,0.2453196347031863,-34.60634547591068,0.5434782608695431
164,5806.308002417136,12606.927168949771,5012.604660194638,10711.526141552513,793.7033422224977,1895.401027397258,13.669673429175358,15.034599645070813
165,4059.2253247951016,14116.933904109588,4414.8153717532605,14342.53984018265,-355.59004695815884,-225.60593607306146,-8.76004701651067,-1.5981227765569208
166,1261.7004889650373,2717.846347031963,705.2243835033385,1447.254109589041,556.4761054616988,1270.592237442922,44.105246080880235,46.749965789290414
167,5.041095890410959,29.18584474885845,0.0,0.0,5.041095890410959,29.18584474885845,100.0,100.0
168,291.55985654964763,1044.9174657534247,319.0304147717087,1105.2113013698631,-27.470558222061072,-60.2938356164384,-9.4219274721667,-5.770200766331748
