TimeIndex,Hour,chargerAccessType,noVIPV,VIPV50_Wp700,Reduction,Reduction_pct
34,16.5,public,620.5890410958904,532.7260273972603,87.86301369863008,14.158002781272758
34,16.5,work,12.472602739726028,14.993150684931507,-2.520547945205479,-20.20867655134541
35,17.0,home,1286.6712328767123,1195.335616438356,91.33561643835628,7.098597847264374
35,17.0,public,561.1780821917808,563.527397260274,-2.3493150684931834,-0.41863984767856854
35,17.0,work,9.965753424657533,14.356164383561644,-4.390410958904111,-44.05498281786944
36,17.5,home,1151.0342465753424,1047.2945205479452,103.73972602739718,9.01274018006438
36,17.5,public,485.5,441.1095890410959,44.39041095890411,9.143236036849457
36,17.5,work,5.006849315068493,6.239726027397261,-1.2328767123287676,-24.623803009575933
37,18.0,home,1116.1712328767123,1003.2191780821918,112.95205479452056,10.119599167899068
37,18.0,public,413.0068493150685,384.958904109589,28.047945205479493,6.7911573989618494
37,18.0,work,8.123287671232877,14.383561643835616,-6.260273972602739,-77.06576728499157
38,18.5,home,757.2671232876712,732.8767123287671,24.390410958904113,3.220846410578776
38,18.5,public,325.972602739726,310.4246575342466,15.547945205479436,4.769709194822655
38,18.5,work,1.86986301369863,2.5,-0.6301369863013699,-33.69963369963371
39,19.0,home,624.7739726027397,572.8287671232877,51.945205479452056,8.314239670236907
39,19.0,public,224.34931506849315,214.93150684931507,9.417808219178085,4.197832392001222
39,19.0,work,6.883561643835616,7.513698630136986,-0.6301369863013697,-9.15422885572139
40,19.5,home,582.3767123287671,542.0958904109589,40.280821917808225,6.916626483352348
40,19.5,public,215.57534246575344,184.95890410958904,30.616438356164394,14.202198640147428
40,19.5,work,5.013698630136986,4.390410958904109,0.6232876712328768,12.43169398907104
41,20.0,home,414.2191780821918,360.82191780821915,53.39726027397262,12.891064223824332
41,20.0,public,130.57534246575344,131.2054794520548,-0.630136986301352,-0.48258497691983515
41,20.0,work,0.0,0.0,0.0,
42,20.5,home,337.4246575342466,325.486301369863,11.938356164383606,3.5380805456317117
42,20.5,public,113.73972602739725,97.42465753424658,16.315068493150676,14.344212935083696
42,20.5,work,0.0,0.0,0.0,
43,21.0,home,283.1575342465753,280.54794520547944,2.6095890410958873,0.9216032510098923
43,21.0,public,84.3013698630137,86.1986301369863,-1.8972602739725914,-2.250568735781592
43,21.0,work,2.5205479452054793,0.0,2.5205479452054793,100.0
44,21.5,home,260.527397260274,233.71917808219177,26.808219178082197,10.289980808160479
44,21.5,public,48.08904109589041,39.37671232876713,8.712328767123282,18.11707733941033
44,21.5,work,1.86986301369863,0.6301369863013698,1.2397260273972601,66.30036630036629
45,22.0,home,754.1438356164383,680.1986301369863,73.94520547945206,9.805185958857454
45,22.0,public,94.17123287671232,101.6986301369863,-7.527397260273972,-7.993308604262127
45,22.0,work,0.0,0.0,0.0,
46,22.5,home,789.9041095890411,776.2671232876712,13.636986301369916,1.726410349791034
46,22.5,public,142.76712328767124,115.26027397260275,27.506849315068493,19.266935329111494
46,22.5,work,0.0,0.0,0.0,
47,23.0,home,747.068493150685,706.1506849315068,40.91780821917814,5.477116033445805
47,23.0,public,139.56164383561645,105.18493150684931,34.37671232876714,24.631919905771504
47,23.0,work,0.0,0.0,0.0,
48,23.5,home,581.2945205479452,563.9657534246576,17.328767123287662,2.981064935370982
48,23.5,public,95.32191780821918,101.60958904109589,-6.287671232876704,-6.59624919163612
48,23.5,work,0.0,0.0,0.0,
