TimeIndex,chargerAccessType,Hour,Sample_session_starts,Fullscale_avg_daily_session_starts,Scenario,Season
2,public,0.5,25.0,62.5,noVIPV,SUMMER
3,home,1.0,39.0,97.5,noVIPV,SUMMER
3,work,1.0,0.0,0.0,noVIPV,SUMMER
3,public,1.0,10.0,25.0,noVIPV,SUMMER
4,home,1.5,16.0,40.0,noVIPV,SUMMER
4,work,1.5,0.0,0.0,noVIPV,SUMMER
4,public,1.5,1.0,2.5,noVIPV,SUMMER
5,home,2.0,6.0,15.0,noVIPV,SUMMER
5,work,2.0,0.0,0.0,noVIPV,SUMMER
5,public,2.0,1.0,2.5,noVIPV,SUMMER
6,home,2.5,1.0,2.5,noVIPV,SUMMER
6,work,2.5,0.0,0.0,noVIPV,SUMMER
6,public,2.5,0.0,0.0,noVIPV,SUMMER
7,home,3.0,0.0,0.0,noVIPV,SUMMER
7,work,3.0,0.0,0.0,noVIPV,SUMMER
7,public,3.0,0.0,0.0,noVIPV,SUMMER
8,home,3.5,0.0,0.0,noVIPV,SUMMER
8,work,3.5,0.0,0.0,noVIPV,SUMMER
8,public,3.5,0.0,0.0,noVIPV,SUMMER
9,home,4.0,0.0,0.0,noVIPV,SUMMER
9,work,4.0,4.0,10.0,noVIPV,SUMMER
9,public,4.0,4.0,10.0,noVIPV,SUMMER
10,home,4.5,0.0,0.0,noVIPV,SUMMER
10,work,4.5,12.0,30.0,noVIPV,SUMMER
10,public,4.5,5.0,12.5,noVIPV,SUMMER
11,home,5.0,5.0,12.5,noVIPV,SUMMER
11,work,5.0,47.0,117.5,noVIPV,SUMMER
11,public,5.0,11.0,27.5,noVIPV,SUMMER
12,home,5.5,5.0,12.5,noVIPV,SUMMER
12,work,5.5,68.0,170.0,noVIPV,SUMMER
12,public,5.5,30.0,75.0,noVIPV,SUMMER
13,home,6.0,1.0,2.5,noVIPV,SUMMER
13,work,6.0,140.0,350.0,noVIPV,SUMMER
13,public,6.0,96.0,240.0,noVIPV,SUMMER
14,home,6.5,4.0,10.0,noVIPV,SUMMER
14,work,6.5,182.0,455.0,noVIPV,SUMMER
14,public,6.5,103.0,257.5,noVIPV,SUMMER
15,home,7.0,8.0,20.0,noVIPV,SUMMER
15,work,7.0,307.0,767.5,noVIPV,SUMMER
15,public,7.0,201.0,502.5,noVIPV,SUMMER
16,home,7.5,15.0,37.5,noVIPV,SUMMER
16,work,7.5,340.0,850.0,noVIPV,SUMMER
16,public,7.5,269.0,672.5,noVIPV,SUMMER
17,home,8.0,25.0,62.5,noVIPV,SUMMER
17,work,8.0,228.0,570.0,noVIPV,SUMMER
17,public,8.0,217.0,542.5,noVIPV,SUMMER
18,home,8.5,38.0,95.0,noVIPV,SUMMER
18,work,8.5,131.0,327.5,noVIPV,SUMMER
18,public,8.5,187.0,467.5,noVIPV,SUMMER
19,home,9.0,71.0,177.5,noVIPV,SUMMER
19,work,9.0,73.0,182.5,noVIPV,SUMMER
19,public,9.0,165.0,412.5,noVIPV,SUMMER
20,home,9.5,96.0,240.0,noVIPV,SUMMER
20,work,9.5,42.0,105.0,noVIPV,SUMMER
20,public,9.5,192.0,480.0,noVIPV,SUMMER
21,home,10.0,132.0,330.0,noVIPV,SUMMER
21,work,10.0,45.0,112.5,noVIPV,SUMMER
21,public,10.0,210.0,525.0,noVIPV,SUMMER
22,home,10.5,132.0,330.0,noVIPV,SUMMER
22,work,10.5,47.0,117.5,noVIPV,SUMMER
22,public,10.5,207.0,517.5,noVIPV,SUMMER
23,home,11.0,207.0,517.5,noVIPV,SUMMER
23,work,11.0,22.0,55.0,noVIPV,SUMMER
23,public,11.0,235.0,587.5,noVIPV,SUMMER
24,home,11.5,224.0,560.0,noVIPV,SUMMER
24,work,11.5,41.0,102.5,noVIPV,SUMMER
24,public,11.5,264.0,660.0,noVIPV,SUMMER
25,home,12.0,241.0,602.5,noVIPV,SUMMER
25,work,12.0,45.0,112.5,noVIPV,SUMMER
25,public,12.0,294.0,735.0,noVIPV,SUMMER
26,home,12.5,257.0,642.5,noVIPV,SUMMER
26,work,12.5,60.0,150.0,noVIPV,SUMMER
26,public,12.5,247.0,617.5,noVIPV,SUMMER
27,home,13.0,245.0,612.5,noVIPV,SUMMER
27,work,13.0,43.0,107.5,noVIPV,SUMMER
27,public,13.0,225.0,562.5,noVIPV,SUMMER
28,home,13.5,296.0,740.0,noVIPV,SUMMER
28,work,13.5,25.0,62.5,noVIPV,SUMMER
28,public,13.5,225.0,562.5,noVIPV,SUMMER
29,home,14.0,350.0,875.0,noVIPV,SUMMER
29,work,14.0,28.0,70.0,noVIPV,SUMMER
29,public,14.0,246.0,615.0,noVIPV,SUMMER
30,home,14.5,317.0,792.5,noVIPV,SUMMER
30,work,14.5,17.0,42.5,noVIPV,SUMMER
30,public,14.5,195.0,487.5,noVIPV,SUMMER
31,home,15.0,376.0,940.0,noVIPV,SUMMER
31,work,15.0,8.0,20.0,noVIPV,SUMMER
31,public,15.0,213.0,532.5,noVIPV,SUMMER
32,home,15.5,477.0,1192.5,noVIPV,SUMMER
32,work,15.5,10.0,25.0,noVIPV,SUMMER
32,public,15.5,233.0,582.5,noVIPV,SUMMER
33,home,16.0,539.0,1347.5,noVIPV,SUMMER
33,work,16.0,6.0,15.0,noVIPV,SUMMER
33,public,16.0,255.0,637.5,noVIPV,SUMMER
34,home,16.5,566.0,1415.0,noVIPV,SUMMER
34,work,16.5,3.0,7.5,noVIPV,SUMMER
34,public,16.5,248.0,620.0,noVIPV,SUMMER
35,home,17.0,509.0,1272.5,noVIPV,SUMMER
35,work,17.0,5.0,12.5,noVIPV,SUMMER
35,public,17.0,234.0,585.0,noVIPV,SUMMER
36,home,17.5,464.0,1160.0,noVIPV,SUMMER
36,work,17.5,3.0,7.5,noVIPV,SUMMER
36,public,17.5,181.0,452.5,noVIPV,SUMMER
37,home,18.0,453.0,1132.5,noVIPV,SUMMER
37,work,18.0,4.0,10.0,noVIPV,SUMMER
37,public,18.0,158.0,395.0,noVIPV,SUMMER
38,home,18.5,303.0,757.5,noVIPV,SUMMER
38,work,18.5,0.0,0.0,noVIPV,SUMMER
38,public,18.5,111.0,277.5,noVIPV,SUMMER
39,home,19.0,243.0,607.5,noVIPV,SUMMER
39,work,19.0,5.0,12.5,noVIPV,SUMMER
39,public,19.0,94.0,235.0,noVIPV,SUMMER
