HexID,chargerAccessType,noVIPV_cost,noVIPV_time_min,VIPV_cost,VIPV_time_min,Cost_saving_SEK_day,Time_saving_min_day,Cost_reduction_pct,Time_reduction_pct
111,work,1124.2191780821918,2175.2504566210046,735.068493150685,1406.4793378995432,389.1506849315068,768.7711187214613,34.615197153579956,35.34172887455253
112,home,2554.701538812204,10459.386415525116,2471.4213743970977,10228.499429223744,83.28016441510636,230.8869863013715,3.2598784300191506,2.2074620549314488
112,public,2883.2431506849316,2471.988584474886,2186.7020547945203,1732.1664383561645,696.5410958904113,739.8221461187215,24.158250258045136,29.92821855105285
112,work,250.05479452054792,521.697488584475,363.3150684931507,663.3740867579909,-113.26027397260279,-141.6765981735159,-45.29418209707464,-27.156848801003033
113,home,0.0,0.0,0.0,0.0,0.0,0.0,,
113,public,2380.5205479452056,2148.4937214611873,2170.013698630137,2092.5425799086756,210.50684931506885,55.95114155251167,8.842891505253844,2.6042031677178645
113,work,1767.2054794520548,3470.12203196347,2099.5342465753424,3994.1151826484015,-332.32876712328766,-523.9931506849316,-18.8053268840209,-15.10013612946185
114,home,354.8872952207024,1433.304908675799,459.2601985688338,1830.7657534246575,-104.37290334813139,-397.46084474885856,-29.41015492910854,-27.73037630325738
114,public,1151.0068493150684,1246.2342465753425,1135.109589041096,1199.3671232876711,15.897260273972506,46.86712328767135,1.38116122275315,3.7606993561974744
114,work,2115.753424657534,4224.951484018265,2048.931506849315,3843.5348173515986,66.82191780821904,381.41666666666606,3.158303658141787,9.027717078159403
115,home,2320.242076660749,9412.629794520548,1945.7053636173332,8411.409931506849,374.5367130434156,1001.2198630136991,16.142139512547853,10.636983339093476
115,public,2767.8561643835615,2485.1697488584477,2457.746575342466,2319.206392694064,310.10958904109566,165.96335616438364,11.203963306747958,6.678149701468812
115,work,452.43835616438355,929.6633561643836,666.9041095890411,1253.2687214611874,-214.46575342465758,-323.6053652968038,-47.402204190383934,-34.808876046479746
116,home,93.82715078401742,293.4294520547945,78.89305411609271,300.2109589041096,14.934096667924706,-6.781506849315065,15.916604674804416,-2.31112003305268
116,public,117.83561643835617,109.09771689497717,71.27397260273973,83.2986301369863,46.56164383561644,25.799086757990864,39.51406649616368,23.647687130635678
116,work,160.6849315068493,342.0252283105023,301.3150684931507,672.2692922374429,-140.6301369863014,-330.24406392694056,-87.51918158567779,-96.5554691851952
117,home,1698.9424488811576,7528.617009132419,1349.2349991533504,6094.253196347033,349.7074497278072,1434.3638127853865,20.583831427492314,19.052155409758043
117,public,2903.0205479452056,2659.5866438356165,2486.3390410958905,2255.869178082192,416.68150684931516,403.7174657534247,14.353377799693757,15.179707218381475
117,work,308.32876712328766,638.0848173515981,348.73972602739724,605.2025114155251,-40.41095890410958,32.88230593607295,-13.10645103963035,5.153281357257889
118,home,2198.134824677298,9139.37203196347,2044.4060194520644,8496.851141552512,153.72880522523383,642.5208904109586,6.993602189429045,7.030252058498616
118,public,7410.168217597037,6228.256392694063,7726.2065713488055,6875.021575342465,-316.0383537517682,-646.7651826484025,-4.264928196923616,-10.384369908198996
118,work,403.7808219178082,867.6151826484019,460.958904109589,960.8692922374428,-57.17808219178079,-93.25410958904092,-14.160673089971493,-10.748326153581367
119,home,1779.328279386741,7943.143493150685,1947.1536240716134,8134.360616438356,-167.82534468487233,-191.2171232876717,-9.43194949628489,-2.407323038448907
119,public,1557.0650684931506,1376.7487442922375,1351.8321917808219,1307.8486301369862,205.2328767123288,68.90011415525123,13.180751457673049,5.00455253298027
119,work,589.8904109589041,1251.047602739726,575.2602739726027,1230.8296803652968,14.630136986301409,20.217922374429236,2.4801449073429076,1.6160793826032749
12,home,744.8416210976733,3794.4128995433794,814.5704313179791,4140.194520547945,-69.72881022030583,-345.78162100456575,-9.361562007980497,-9.112914966269939
12,public,0.0,0.0,0.0,0.0,0.0,0.0,,
12,work,802.2465753424658,1330.2834474885847,620.2191780821918,1055.7551369863013,182.02739726027403,274.5283105022834,22.689706987227652,20.636828265476794
120,home,1998.8815269961751,9749.419406392695,1738.7499870455867,8425.797716894976,260.1315399505884,1323.6216894977188,13.01385482017545,13.576415521008563
120,public,1301.3150684931506,1070.4833333333331,1211.695205479452,1030.4462328767124,89.6198630136987,40.03710045662069,6.886868920796671,3.740095638103103
120,work,105.04109589041096,271.5931506849315,255.013698630137,519.316894977169,-149.97260273972603,-247.72374429223748,-142.7751695357329,-91.21133712963758
121,home,429.0875921669534,1879.2213470319634,431.7086857835513,1796.8625570776258,-2.621093616597875,82.35878995433768,-0.6108528105790659,4.382601873079768
121,public,0.0,0.0,0.0,0.0,0.0,0.0,,
121,work,0.0,0.0,0.0,0.0,0.0,0.0,,
122,home,343.43764691223726,1812.1599315068493,329.42218682088185,1728.1891552511415,14.015460091355408,83.97077625570773,4.0809329487797665,4.633739814889531
122,public,0.0,0.0,0.0,0.0,0.0,0.0,,
122,work,0.0,0.0,0.0,0.0,0.0,0.0,,
123,home,1825.1467538801905,8098.397602739726,1744.9769780291672,7583.045662100456,80.16977585102336,515.3519406392697,4.392511214815222,6.363628533932735
123,public,2358.1438356164385,1887.8818493150684,1961.164383561644,1592.589611872146,396.9794520547946,295.29223744292244,16.834403655068854,15.64145751759072
123,work,291.86301369863014,547.6832191780821,165.31506849315068,290.5416666666667,126.54794520547946,257.14155251141545,43.35867830658031,46.95078167582208
124,home,3343.6884916323474,13603.047488584474,2891.2671356874152,11453.555022831051,452.4213559449322,2149.492465753423,13.530607204502646,15.801550847758586
124,public,1391.8013698630136,1234.2216894977169,1635.1575342465753,1378.7688356164383,-243.3561643835617,-144.54714611872146,-17.484978076111087,-11.711603138132087
124,work,0.0,0.0,0.0,0.0,0.0,0.0,,
125,home,2609.863551634776,10307.770776255707,2628.9852881662887,10489.76803652968,-19.121736531512852,-181.99726027397264,-0.732671886985636,-1.7656316212736258
125,public,3817.640410958904,3198.6227168949767,4089.3253424657532,3594.138470319634,-271.68493150684935,-395.5157534246573,-7.116566838693126,-12.365189283986556
125,work,188.84931506849315,384.7392694063926,183.3972602739726,347.4118721461187,5.4520547945205635,37.327397260273926,2.886986798201082,9.70199826959845
126,home,4212.251377554594,17538.596232876713,4245.6346455342555,17330.498972602738,-33.38326797966147,208.09726027397483,-0.7925279141113841,1.1865103541404827
126,public,3401.8253424657532,3331.0434931506848,3525.198630136986,3105.856506849315,-123.3732876712329,225.18698630136987,-3.626679069355393,6.760253559114462
126,work,0.0,0.0,0.0,0.0,0.0,0.0,,
127,home,3851.0890942623846,16220.265525114157,3620.379318089573,15388.451940639268,230.70977617281142,831.8135844748886,5.990767040849264,5.1282365457394965
127,public,2555.1204947466417,2279.2453196347033,2383.873287671233,2196.145776255708,171.24720707540882,83.09954337899535,6.702118644795622,3.6459236161693114
127,work,0.0,0.0,0.0,0.0,0.0,0.0,,
