TimeIndex,Hour,chargerAccessType,noVIPV,VIPV50_Wp700,Saving,Reduction_pct
24,11.5,public,32735.228562953605,30959.42770063402,1775.8008623195856,5.424739463494249
24,11.5,work,5286.263017050474,4692.200217186105,594.0627998643695,11.237859295843984
25,12.0,home,9581.713250069448,9036.50022922129,545.2130208481576,5.690141278692575
25,12.0,public,36614.68057399148,33018.5810566271,3596.099517364375,9.821469041897894
25,12.0,work,4829.849732588119,4474.278230697578,355.5715018905412,7.361957857434313
26,12.5,home,11157.404324370966,10454.651389987199,702.7529343837668,6.298534264360692
26,12.5,public,37359.47718682268,33330.208250927106,4029.268935895576,10.785132018166376
26,12.5,work,5154.469123129825,4559.884688292917,594.5844348369073,11.535318587297542
27,13.0,home,11860.890946163468,11265.945659581428,594.9452865820404,5.016025265576544
27,13.0,public,39144.56317951013,35994.82358711757,3149.739592392558,8.046429277926546
27,13.0,work,5359.598216374935,4991.708385884365,367.8898304905697,6.86413077320932
28,13.5,home,13196.292149159632,12566.828357415212,629.4637917444197,4.770004972832504
28,13.5,public,38652.9709573894,36478.184211724314,2174.7867456650856,5.626441362198383
28,13.5,work,5287.150364004069,5023.562911254097,263.5874527499718,4.9854351513156425
29,14.0,home,15049.50614813395,14505.397655031637,544.1084931023142,3.615457462501389
29,14.0,public,36767.41317246799,34553.25012151614,2214.163050951851,6.022080042905631
29,14.0,work,4680.07435178188,4498.487742365356,181.58660941652397,3.879994114781256
30,14.5,home,16446.005719156066,15893.126162193172,552.8795569628946,3.3617862379733254
30,14.5,public,37127.32436447518,34063.888493986,3063.4358704891783,8.251162514205815
30,14.5,work,3995.8208780022087,3841.5656764899213,154.25520151228739,3.8604133223662016
31,15.0,home,18982.38752162436,17940.878292956917,1041.5092286674444,5.486713552133406
31,15.0,public,35882.36763464542,32873.379676204524,3008.987958440899,8.38570071261306
31,15.0,work,3242.75158752111,2760.944281511495,481.80730600961533,14.85797764662967
32,15.5,home,21564.51891132435,20305.09483335155,1259.4240779727988,5.840260490631336
32,15.5,public,33783.47222639652,31180.045022237915,2603.427204158608,7.706215591789985
32,15.5,work,2437.445751722767,1985.1236662381036,452.3220854846634,18.5572165109712
33,16.0,home,28639.28438998623,26911.57119887605,1727.7131911101824,6.032668859960341
33,16.0,public,35631.156045809745,33289.69738795455,2341.458657855197,6.571379987909639
33,16.0,work,1736.7547438372083,1411.6233970521298,325.13134678507845,18.72062523155855
