Scenario,HexID,chargerAccessType,Annual_avg_daily_session_starts,Annual_total_session_starts
VIPV50_Wp700,144,public,23.068493150684933,8420.0
VIPV50_Wp700,144,work,3.136986301369863,1145.0
VIPV50_Wp700,145,home,0.0,0.0
VIPV50_Wp700,145,public,0.6301369863013698,230.0
VIPV50_Wp700,145,work,0.0,0.0
VIPV50_Wp700,146,home,0.0,0.0
VIPV50_Wp700,146,public,2.493150684931507,910.0
VIPV50_Wp700,146,work,0.0,0.0
VIPV50_Wp700,147,home,23.73972602739726,8665.0
VIPV50_Wp700,147,public,0.0,0.0
VIPV50_Wp700,147,work,0.0,0.0
VIPV50_Wp700,148,home,52.5,19162.5
VIPV50_Wp700,148,public,37.554794520547944,13707.5
VIPV50_Wp700,148,work,9.979452054794521,3642.5
VIPV50_Wp700,149,home,70.56164383561644,25755.0
VIPV50_Wp700,149,public,42.513698630136986,15517.5
VIPV50_Wp700,149,work,3.7534246575342465,1370.0
VIPV50_Wp700,15,home,4.36986301369863,1595.0
VIPV50_Wp700,15,public,0.0,0.0
VIPV50_Wp700,15,work,4.3561643835616435,1590.0
VIPV50_Wp700,150,home,46.205479452054796,16865.0
VIPV50_Wp700,150,public,5.657534246575342,2065.0
VIPV50_Wp700,150,work,5.616438356164384,2050.0
VIPV50_Wp700,151,home,0.0,0.0
VIPV50_Wp700,151,public,13.732876712328768,5012.5
VIPV50_Wp700,151,work,0.0,0.0
VIPV50_Wp700,152,home,97.39041095890411,35547.5
VIPV50_Wp700,152,public,37.45205479452055,13670.0
VIPV50_Wp700,152,work,0.0,0.0
VIPV50_Wp700,153,home,78.76712328767124,28750.0
VIPV50_Wp700,153,public,20.595890410958905,7517.5
VIPV50_Wp700,153,work,5.013698630136986,1830.0
VIPV50_Wp700,154,home,11.253424657534246,4107.5
VIPV50_Wp700,154,public,13.73972602739726,5015.0
VIPV50_Wp700,154,work,22.513698630136986,8217.5
VIPV50_Wp700,155,home,38.71917808219178,14132.5
VIPV50_Wp700,155,public,21.876712328767123,7985.0
VIPV50_Wp700,155,work,0.6301369863013698,230.0
VIPV50_Wp700,156,home,83.06164383561644,30317.5
VIPV50_Wp700,156,public,194.96575342465752,71162.5
VIPV50_Wp700,156,work,2.4863013698630136,907.5
VIPV50_Wp700,157,home,9.993150684931507,3647.5
VIPV50_Wp700,157,public,0.0,0.0
VIPV50_Wp700,157,work,36.88356164383562,13462.5
VIPV50_Wp700,158,home,31.89041095890411,11640.0
VIPV50_Wp700,158,public,0.0,0.0
VIPV50_Wp700,158,work,4.97945205479452,1817.5
VIPV50_Wp700,159,home,107.95205479452055,39402.5
VIPV50_Wp700,159,public,104.33561643835617,38082.5
VIPV50_Wp700,159,work,1.8630136986301369,680.0
VIPV50_Wp700,16,home,7.513698630136986,2742.5
VIPV50_Wp700,16,public,0.0,0.0
