Scenario,TimeIndex,Hour,chargerAccessType,Annual_avg_daily_chargingTime_min,Annual_total_chargingTime_min,Annual_avg_daily_chargingCost_SEK,Annual_total_chargingCost_SEK,Annual_avg_daily_energy_kWh,Annual_total_energy_kWh
VIPV50_Wp700,18,8.5,public,27834.784474885848,10159696.333333334,28472.135149919763,10392329.329720713,5176.751845439956,1889514.423585584
VIPV50_Wp700,18,8.5,work,47642.13938356165,17389380.875,24663.127791324943,9002041.643833604,6165.781947831236,2250510.410958401
VIPV50_Wp700,19,9.0,home,5032.950799086758,1837027.0416666665,1842.895108683913,672656.7146696282,515.4968923432615,188156.36570529046
VIPV50_Wp700,19,9.0,public,24911.049315068492,9092533.0,26164.563622668484,9550065.722273996,4757.193385939724,1736375.5858679991
VIPV50_Wp700,19,9.0,work,38275.6497716895,13970612.166666668,20659.51750477706,7540723.889243627,5164.879376194265,1885180.9723109067
VIPV50_Wp700,20,9.5,home,8348.079452054795,3047049.0,3079.139287731415,1123885.8400219665,863.5289397566589,315188.0630111805
VIPV50_Wp700,20,9.5,public,22431.436301369864,8187474.25,24232.65320700304,8844918.42055611,4405.936946727826,1608166.9855556563
VIPV50_Wp700,20,9.5,work,28668.061529680363,10463842.458333332,15772.376773038455,5756917.522159036,3943.094193259614,1439229.380539759
VIPV50_Wp700,21,10.0,home,13180.489954337902,4810878.833333334,4135.75977948849,1509552.3195132986,1363.9908435652114,497856.6579013022
VIPV50_Wp700,21,10.0,public,22603.362671232877,8250227.375,24569.167331923156,8967746.076151952,4467.121333076938,1630499.2865730822
VIPV50_Wp700,21,10.0,work,20305.021461187214,7411332.833333333,11379.391783935565,4153478.0011364813,2844.8479459838913,1038369.5002841203
VIPV50_Wp700,22,10.5,home,17226.797260273972,6287781.0,5413.419245171287,1975898.0244875199,1788.105477682361,652658.4993540618
VIPV50_Wp700,22,10.5,public,25000.33447488584,9125122.083333332,27042.98858931895,9870690.835101416,4916.907016239809,1794671.0609275303
VIPV50_Wp700,22,10.5,work,14299.260502283107,5219230.083333334,7979.662152935257,2912576.685821369,1994.9155382338142,728144.1714553422
