Scenario,Season,Period,chargerAccessType,Fullscale_avg_daily_actual_charging_h
VIPV20_Wp1000,WINTER,Morning,home,1820.0395833333334
VIPV20_Wp1000,WINTER,Morning,work,5615.830555555556
VIPV20_Wp1000,WINTER,Morning,public,4689.511805555556
VIPV20_Wp1000,WINTER,Afternoon,home,17337.652777777777
VIPV20_Wp1000,WINTER,Afternoon,work,1232.9465277777779
VIPV20_Wp1000,WINTER,Afternoon,public,6128.928472222223
VIPV20_Wp1000,WINTER,Evening,home,26578.253472222223
VIPV20_Wp1000,WINTER,Evening,work,70.5736111111111
VIPV20_Wp1000,WINTER,Evening,public,3156.6722222222224
VIPV50_Wp400,SPRING,Night,home,15882.252777777778
VIPV50_Wp400,SPRING,Night,work,160.73333333333335
VIPV50_Wp400,SPRING,Night,public,1417.1375
VIPV50_Wp400,SPRING,Morning,home,1850.603472222222
VIPV50_Wp400,SPRING,Morning,work,5916.102777777778
VIPV50_Wp400,SPRING,Morning,public,4491.752777777778
VIPV50_Wp400,SPRING,Afternoon,home,16984.789583333335
VIPV50_Wp400,SPRING,Afternoon,work,1150.4215277777778
VIPV50_Wp400,SPRING,Afternoon,public,5886.144444444444
VIPV50_Wp400,SPRING,Evening,home,18692.19513888889
VIPV50_Wp400,SPRING,Evening,work,38.60069444444444
VIPV50_Wp400,SPRING,Evening,public,2032.7847222222224
VIPV50_Wp400,SUMMER,Night,home,11121.973611111112
VIPV50_Wp400,SUMMER,Night,work,127.78333333333335
VIPV50_Wp400,SUMMER,Night,public,731.9944444444444
VIPV50_Wp400,SUMMER,Morning,home,2025.9979166666667
VIPV50_Wp400,SUMMER,Morning,work,5485.732638888889
VIPV50_Wp400,SUMMER,Morning,public,4443.227083333333
VIPV50_Wp400,SUMMER,Afternoon,home,16995.74236111111
VIPV50_Wp400,SUMMER,Afternoon,work,1120.2930555555556
VIPV50_Wp400,SUMMER,Afternoon,public,5689.707638888889
VIPV50_Wp400,SUMMER,Evening,home,24836.249305555557
VIPV50_Wp400,SUMMER,Evening,work,81.34930555555556
VIPV50_Wp400,SUMMER,Evening,public,2953.78125
VIPV50_Wp400,AUTUMN,Night,home,15818.704861111111
