Scenario,Season,Period,chargerAccessType,Sample_event_count_selected_days,Fullscale_avg_daily_sessions
VIPV20_Wp1000,WINTER,Evening,public,979,2447.5
VIPV50_Wp400,SPRING,Night,home,1772,4430.0
VIPV50_Wp400,SPRING,Night,work,132,330.0
VIPV50_Wp400,SPRING,Night,public,389,972.5
VIPV50_Wp400,SPRING,Morning,home,832,2080.0
VIPV50_Wp400,SPRING,Morning,work,1508,3770.0
VIPV50_Wp400,SPRING,Morning,public,2231,5577.5
VIPV50_Wp400,SPRING,Afternoon,home,4207,10517.5
VIPV50_Wp400,SPRING,Afternoon,work,222,555.0
VIPV50_Wp400,SPRING,Afternoon,public,2552,6380.0
VIPV50_Wp400,SPRING,Evening,home,1787,4467.5
VIPV50_Wp400,SPRING,Evening,work,6,15.0
VIPV50_Wp400,SPRING,Evening,public,608,1520.0
VIPV50_Wp400,SUMMER,Night,home,352,880.0
VIPV50_Wp400,SUMMER,Night,work,100,250.0
VIPV50_Wp400,SUMMER,Night,public,124,310.0
VIPV50_Wp400,SUMMER,Morning,home,870,2175.0
VIPV50_Wp400,SUMMER,Morning,work,1446,3615.0
VIPV50_Wp400,SUMMER,Morning,public,2223,5557.5
VIPV50_Wp400,SUMMER,Afternoon,home,4295,10737.5
VIPV50_Wp400,SUMMER,Afternoon,work,231,577.5
VIPV50_Wp400,SUMMER,Afternoon,public,2568,6420.0
VIPV50_Wp400,SUMMER,Evening,home,3485,8712.5
VIPV50_Wp400,SUMMER,Evening,work,14,35.0
VIPV50_Wp400,SUMMER,Evening,public,926,2315.0
VIPV50_Wp400,AUTUMN,Night,home,1702,4255.0
VIPV50_Wp400,AUTUMN,Night,work,91,227.5
VIPV50_Wp400,AUTUMN,Night,public,390,975.0
VIPV50_Wp400,AUTUMN,Morning,home,830,2075.0
VIPV50_Wp400,AUTUMN,Morning,work,1401,3502.5
VIPV50_Wp400,AUTUMN,Morning,public,2239,5597.5
VIPV50_Wp400,AUTUMN,Afternoon,home,4528,11320.0
VIPV50_Wp400,AUTUMN,Afternoon,work,251,627.5
VIPV50_Wp400,AUTUMN,Afternoon,public,2673,6682.5
VIPV50_Wp400,AUTUMN,Evening,home,2053,5132.5
VIPV50_Wp400,AUTUMN,Evening,work,10,25.0
VIPV50_Wp400,AUTUMN,Evening,public,639,1597.5
VIPV50_Wp400,WINTER,Night,home,420,1050.0
VIPV50_Wp400,WINTER,Night,work,97,242.5
VIPV50_Wp400,WINTER,Night,public,132,330.0
VIPV50_Wp400,WINTER,Morning,home,834,2085.0
VIPV50_Wp400,WINTER,Morning,work,1552,3880.0
VIPV50_Wp400,WINTER,Morning,public,2270,5675.0
VIPV50_Wp400,WINTER,Afternoon,home,4456,11140.0
VIPV50_Wp400,WINTER,Afternoon,work,256,640.0
VIPV50_Wp400,WINTER,Afternoon,public,2721,6802.5
VIPV50_Wp400,WINTER,Evening,home,3642,9105.0
VIPV50_Wp400,WINTER,Evening,work,12,30.0
VIPV50_Wp400,WINTER,Evening,public,952,2380.0
VIPV50_Wp700,SPRING,Night,home,1630,4075.0
VIPV50_Wp700,SPRING,Night,work,73,182.5
VIPV50_Wp700,SPRING,Night,public,405,1012.5
VIPV50_Wp700,SPRING,Morning,home,805,2012.5
VIPV50_Wp700,SPRING,Morning,work,1424,3560.0
VIPV50_Wp700,SPRING,Morning,public,2060,5150.0
VIPV50_Wp700,SPRING,Afternoon,home,4092,10230.0
VIPV50_Wp700,SPRING,Afternoon,work,225,562.5
VIPV50_Wp700,SPRING,Afternoon,public,2437,6092.5
VIPV50_Wp700,SPRING,Evening,home,1741,4352.5
VIPV50_Wp700,SPRING,Evening,work,15,37.5
VIPV50_Wp700,SPRING,Evening,public,544,1360.0
VIPV50_Wp700,SUMMER,Night,home,315,787.5
VIPV50_Wp700,SUMMER,Night,work,86,215.0
VIPV50_Wp700,SUMMER,Night,public,130,325.0
VIPV50_Wp700,SUMMER,Morning,home,798,1995.0
VIPV50_Wp700,SUMMER,Morning,work,1374,3435.0
VIPV50_Wp700,SUMMER,Morning,public,2074,5185.0
VIPV50_Wp700,SUMMER,Afternoon,home,4126,10315.0
VIPV50_Wp700,SUMMER,Afternoon,work,232,580.0
VIPV50_Wp700,SUMMER,Afternoon,public,2537,6342.5
VIPV50_Wp700,SUMMER,Evening,home,3383,8457.5
VIPV50_Wp700,SUMMER,Evening,work,13,32.5
VIPV50_Wp700,SUMMER,Evening,public,879,2197.5
VIPV50_Wp700,AUTUMN,Night,home,1722,4305.0
VIPV50_Wp700,AUTUMN,Night,work,104,260.0
VIPV50_Wp700,AUTUMN,Night,public,410,1025.0
VIPV50_Wp700,AUTUMN,Morning,home,833,2082.5
VIPV50_Wp700,AUTUMN,Morning,work,1368,3420.0
VIPV50_Wp700,AUTUMN,Morning,public,2163,5407.5
VIPV50_Wp700,AUTUMN,Afternoon,home,4410,11025.0
VIPV50_Wp700,AUTUMN,Afternoon,work,221,552.5
VIPV50_Wp700,AUTUMN,Afternoon,public,2675,6687.5
VIPV50_Wp700,AUTUMN,Evening,home,2063,5157.5
VIPV50_Wp700,AUTUMN,Evening,work,9,22.5
VIPV50_Wp700,AUTUMN,Evening,public,647,1617.5
VIPV50_Wp700,WINTER,Night,home,406,1015.0
VIPV50_Wp700,WINTER,Night,work,108,270.0
VIPV50_Wp700,WINTER,Night,public,135,337.5
VIPV50_Wp700,WINTER,Morning,home,794,1985.0
VIPV50_Wp700,WINTER,Morning,work,1479,3697.5
VIPV50_Wp700,WINTER,Morning,public,2276,5690.0
VIPV50_Wp700,WINTER,Afternoon,home,4403,11007.5
VIPV50_Wp700,WINTER,Afternoon,work,256,640.0
VIPV50_Wp700,WINTER,Afternoon,public,2688,6720.0
VIPV50_Wp700,WINTER,Evening,home,3678,9195.0
VIPV50_Wp700,WINTER,Evening,work,10,25.0
VIPV50_Wp700,WINTER,Evening,public,931,2327.5
VIPV50_Wp1000,SPRING,Night,home,1633,4082.5
VIPV50_Wp1000,SPRING,Night,work,87,217.5
VIPV50_Wp1000,SPRING,Night,public,353,882.5
VIPV50_Wp1000,SPRING,Morning,home,755,1887.5
VIPV50_Wp1000,SPRING,Morning,work,1386,3465.0
VIPV50_Wp1000,SPRING,Morning,public,1969,4922.5
VIPV50_Wp1000,SPRING,Afternoon,home,3962,9905.0
VIPV50_Wp1000,SPRING,Afternoon,work,231,577.5
VIPV50_Wp1000,SPRING,Afternoon,public,2469,6172.5
VIPV50_Wp1000,SPRING,Evening,home,1622,4055.0
VIPV50_Wp1000,SPRING,Evening,work,10,25.0
VIPV50_Wp1000,SPRING,Evening,public,509,1272.5
VIPV50_Wp1000,SUMMER,Night,home,318,795.0
VIPV50_Wp1000,SUMMER,Night,work,87,217.5
VIPV50_Wp1000,SUMMER,Night,public,109,272.5
VIPV50_Wp1000,SUMMER,Morning,home,854,2135.0
VIPV50_Wp1000,SUMMER,Morning,work,1291,3227.5
VIPV50_Wp1000,SUMMER,Morning,public,1982,4955.0
VIPV50_Wp1000,SUMMER,Afternoon,home,3971,9927.5
VIPV50_Wp1000,SUMMER,Afternoon,work,214,535.0
VIPV50_Wp1000,SUMMER,Afternoon,public,2421,6052.5
VIPV50_Wp1000,SUMMER,Evening,home,3266,8165.0
VIPV50_Wp1000,SUMMER,Evening,work,12,30.0
VIPV50_Wp1000,SUMMER,Evening,public,839,2097.5
VIPV50_Wp1000,AUTUMN,Night,home,1755,4387.5
VIPV50_Wp1000,AUTUMN,Night,work,102,255.0
VIPV50_Wp1000,AUTUMN,Night,public,372,930.0
VIPV50_Wp1000,AUTUMN,Morning,home,809,2022.5
VIPV50_Wp1000,AUTUMN,Morning,work,1259,3147.5
VIPV50_Wp1000,AUTUMN,Morning,public,2185,5462.5
VIPV50_Wp1000,AUTUMN,Afternoon,home,4269,10672.5
VIPV50_Wp1000,AUTUMN,Afternoon,work,220,550.0
VIPV50_Wp1000,AUTUMN,Afternoon,public,2610,6525.0
VIPV50_Wp1000,AUTUMN,Evening,home,2015,5037.5
VIPV50_Wp1000,AUTUMN,Evening,work,8,20.0
VIPV50_Wp1000,AUTUMN,Evening,public,634,1585.0
VIPV50_Wp1000,WINTER,Night,home,392,980.0
VIPV50_Wp1000,WINTER,Night,work,104,260.0
VIPV50_Wp1000,WINTER,Night,public,145,362.5
VIPV50_Wp1000,WINTER,Morning,home,788,1970.0
VIPV50_Wp1000,WINTER,Morning,work,1451,3627.5
VIPV50_Wp1000,WINTER,Morning,public,2183,5457.5
VIPV50_Wp1000,WINTER,Afternoon,home,4313,10782.5
VIPV50_Wp1000,WINTER,Afternoon,work,246,615.0
VIPV50_Wp1000,WINTER,Afternoon,public,2587,6467.5
VIPV50_Wp1000,WINTER,Evening,home,3617,9042.5
VIPV50_Wp1000,WINTER,Evening,work,11,27.5
VIPV50_Wp1000,WINTER,Evening,public,910,2275.0
VIPV80_Wp400,SPRING,Night,home,1720,4300.0
VIPV80_Wp400,SPRING,Night,work,108,270.0
VIPV80_Wp400,SPRING,Night,public,365,912.5
VIPV80_Wp400,SPRING,Morning,home,796,1990.0
VIPV80_Wp400,SPRING,Morning,work,1405,3512.5
VIPV80_Wp400,SPRING,Morning,public,2055,5137.5
VIPV80_Wp400,SPRING,Afternoon,home,4121,10302.5
VIPV80_Wp400,SPRING,Afternoon,work,247,617.5
VIPV80_Wp400,SPRING,Afternoon,public,2460,6150.0
VIPV80_Wp400,SPRING,Evening,home,1742,4355.0
VIPV80_Wp400,SPRING,Evening,work,9,22.5
VIPV80_Wp400,SPRING,Evening,public,549,1372.5
