Scenario,Period,chargerAccessType,Fullscale_avg_daily_actual_charging_h,Annual_total_actual_charging_h,noVIPV_value,Absolute_change_vs_noVIPV,Change_vs_noVIPV_pct,Reduction_vs_noVIPV_pct
VIPV80_Wp400,Afternoon,work,1118.1026369863014,408107.4625,1228.6304356925418,-110.52779870624045,-8.996016661750632,8.996016661750632
VIPV80_Wp400,Afternoon,public,5786.126556316591,2111936.1930555557,6383.939878234399,-597.813321917808,-9.364331953626493,9.364331953626493
VIPV80_Wp400,Evening,home,22787.315418569255,8317370.127777778,24451.754138127853,-1664.4387195585987,-6.807031962435872,6.807031962435872
VIPV80_Wp400,Evening,work,52.168103120243536,19041.35763888889,53.72696156773211,-1.558858447488575,-2.901445386081185,2.901445386081185
VIPV80_Wp400,Evening,public,2477.121208143075,904149.2409722223,2747.146721841704,-270.0255136986293,-9.82930804356902,9.82930804356902
VIPV80_Wp700,Night,home,12532.97636605784,4574536.373611111,14249.509589041096,-1716.5332229832566,-12.04626174856849,12.04626174856849
VIPV80_Wp700,Night,work,119.25255136986301,43527.18125,152.50739155251142,-33.25484018264841,-21.805395688770982,21.805395688770982
VIPV80_Wp700,Night,public,1015.5454452054795,370674.0875,1150.669948630137,-135.12450342465752,-11.743115702771426,11.743115702771426
VIPV80_Wp700,Morning,home,1803.6678139269407,658338.7520833333,1939.0479337899544,-135.38011986301376,-6.981783044342146,6.981783044342146
VIPV80_Wp700,Morning,work,5100.427264079147,1861655.9513888885,6015.410211187214,-914.9829471080675,-15.210649232307043,15.210649232307043
VIPV80_Wp700,Morning,public,3967.882477168949,1448277.1041666665,4664.9448401826485,-697.0623630136993,-14.942563886487601,14.942563886487601
VIPV80_Wp700,Afternoon,home,15889.498974505326,5799667.125694444,17978.747503805174,-2089.248529299848,-11.620656716257136,11.620656716257136
VIPV80_Wp700,Afternoon,work,1068.2131069254185,389897.7840277778,1228.6304356925418,-160.4173287671233,-13.056597338539877,13.056597338539877
VIPV80_Wp700,Afternoon,public,5573.093649162861,2034179.1819444443,6383.939878234399,-810.8462290715379,-12.70134500852776,12.70134500852776
VIPV80_Wp700,Evening,home,21547.31878805175,7864771.357638889,24451.754138127853,-2904.4353500761026,-11.878228996042411,11.878228996042411
VIPV80_Wp700,Evening,work,54.05536910197869,19730.209722222222,53.72696156773211,0.32840753424657976,0.6112527577658852,-0.6112527577658852
VIPV80_Wp700,Evening,public,2362.4893131659055,862308.5993055555,2747.146721841704,-384.6574086757987,-14.002070061184137,14.002070061184137
VIPV80_Wp1000,Night,home,11760.931381278539,4292739.954166667,14249.509589041096,-2488.578207762557,-17.464307751871363,17.464307751871363
VIPV80_Wp1000,Night,work,110.33470509893455,40272.16736111111,152.50739155251142,-42.17268645357687,-27.652880312398466,27.652880312398466
VIPV80_Wp1000,Night,public,941.3543188736681,343594.3263888889,1150.669948630137,-209.31562975646887,-18.190761825809165,18.190761825809165
VIPV80_Wp1000,Morning,home,1683.0845395738204,614325.8569444445,1939.0479337899544,-255.96339421613402,-13.20046759833535,13.20046759833535
VIPV80_Wp1000,Morning,work,4814.190768645358,1757179.6305555557,6015.410211187214,-1201.2194425418566,-19.96903619819439,19.96903619819439
VIPV80_Wp1000,Morning,public,3781.2276331811263,1380148.086111111,4664.9448401826485,-883.7172070015222,-18.94378684586808,18.94378684586808
VIPV80_Wp1000,Afternoon,home,15059.998196347033,5496899.341666667,17978.747503805174,-2918.7493074581416,-16.234441842182793,16.234441842182793
VIPV80_Wp1000,Afternoon,work,993.220201674277,362525.3736111111,1228.6304356925418,-235.41023401826487,-19.160377862979704,19.160377862979704
VIPV80_Wp1000,Afternoon,public,5292.490363394217,1931758.982638889,6383.939878234399,-1091.449514840182,-17.096801280372386,17.096801280372386
VIPV80_Wp1000,Evening,home,20550.178696727548,7500815.224305555,24451.754138127853,-3901.575441400306,-15.95621900727581,15.95621900727581
VIPV80_Wp1000,Evening,work,52.48477359208524,19156.942361111112,53.72696156773211,-1.2421879756468712,-2.312038387059873,2.312038387059873
