Scenario,Period,chargerAccessType,Fullscale_avg_daily_sessions,Annual_total_sessions,noVIPV_value,Absolute_change_vs_noVIPV,Change_vs_noVIPV_pct,Reduction_vs_noVIPV_pct
VIPV20_Wp1000,Night,public,674.6712328767123,246255.0,682.2328767123288,-7.561643835616451,-1.1083669658454327,1.1083669658454327
VIPV20_Wp1000,Morning,home,2085.5753424657532,761234.9999999999,2179.9931506849316,-94.41780821917837,-4.331105727993378,4.331105727993378
VIPV20_Wp1000,Morning,work,3688.0890410958905,1346152.5,3967.828767123288,-279.7397260273974,-7.050196529277428,7.050196529277428
VIPV20_Wp1000,Morning,public,5601.8493150684935,2044675.0000000002,5752.95205479452,-151.1027397260268,-2.6265252740998863,2.6265252740998863
VIPV20_Wp1000,Afternoon,home,10971.287671232876,4004520.0,11384.63698630137,-413.3493150684935,-3.6307641215601207,3.6307641215601207
VIPV20_Wp1000,Afternoon,work,655.1232876712329,239120.0,628.027397260274,27.095890410958873,4.314444008201365,-4.314444008201365
VIPV20_Wp1000,Afternoon,public,6666.958904109589,2433440.0,6968.95205479452,-301.9931506849316,-4.333408356241531,4.333408356241531
VIPV20_Wp1000,Evening,home,7046.561643835616,2571995.0,7252.075342465753,-205.5136986301368,-2.8338605009619324,2.8338605009619324
VIPV20_Wp1000,Evening,work,29.39041095890411,10727.5,26.28082191780822,3.109589041095891,11.832160542090175,-11.832160542090175
VIPV20_Wp1000,Evening,public,1919.2465753424658,700525.0,2027.4315068493152,-108.18493150684935,-5.336058512525128,5.336058512525128
VIPV50_Wp400,Night,home,2658.150684931507,970225.0,2771.4109589041095,-113.26027397260259,-4.086736887891529,4.086736887891529
VIPV50_Wp400,Night,work,262.7054794520548,95887.50000000001,298.90410958904107,-36.19863013698625,-12.110449129239216,12.110449129239216
VIPV50_Wp400,Night,public,647.7123287671233,236415.0,682.2328767123288,-34.52054794520552,-5.0599361484248,5.0599361484248
VIPV50_Wp400,Morning,home,2103.931506849315,767935.0,2179.9931506849316,-76.06164383561645,-3.48907719328011,3.48907719328011
VIPV50_Wp400,Morning,work,3691.3630136986303,1347347.5,3967.828767123288,-276.4657534246576,-6.967683578369179,6.967683578369179
VIPV50_Wp400,Morning,public,5601.486301369863,2044542.5,5752.95205479452,-151.46575342465712,-2.632835316234303,2.632835316234303
VIPV50_Wp400,Afternoon,home,10926.520547945205,3988180.0,11384.63698630137,-458.1164383561645,-4.023988107019976,4.023988107019976
VIPV50_Wp400,Afternoon,work,599.7054794520548,218892.5,628.027397260274,-28.32191780821927,-4.509662784103316,4.509662784103316
VIPV50_Wp400,Afternoon,public,6569.678082191781,2397932.5,6968.95205479452,-399.2739726027394,-5.729325865114048,5.729325865114048
VIPV50_Wp400,Evening,home,6846.760273972603,2499067.5,7252.075342465753,-405.31506849315065,-5.588952808029443,5.588952808029443
VIPV50_Wp400,Evening,work,26.232876712328768,9575.0,26.28082191780822,-0.04794520547945069,-0.1824341933802398,0.1824341933802398
VIPV50_Wp400,Evening,public,1951.7602739726028,712392.5,2027.4315068493152,-75.67123287671234,-3.7323693856522695,3.7323693856522695
VIPV50_Wp700,Night,home,2549.1917808219177,930455.0,2771.4109589041095,-222.21917808219177,-8.01826872222744,8.01826872222744
VIPV50_Wp700,Night,work,231.58904109589042,84530.0,298.90410958904107,-67.31506849315065,-22.520623281393206,22.520623281393206
VIPV50_Wp700,Night,public,675.8904109589041,246700.0,682.2328767123288,-6.342465753424676,-0.9296628717145581,0.9296628717145581
VIPV50_Wp700,Morning,home,2018.7602739726028,736847.5,2179.9931506849316,-161.2328767123288,-7.3960267563992605,7.3960267563992605
VIPV50_Wp700,Morning,work,3527.4931506849316,1287535.0,3967.828767123288,-440.3356164383563,-11.097646654686756,11.097646654686756
VIPV50_Wp700,Morning,public,5356.171232876713,1955002.5,5752.95205479452,-396.78082191780777,-6.896995110312625,6.896995110312625
VIPV50_Wp700,Afternoon,home,10641.342465753425,3884090.0,11384.63698630137,-743.2945205479446,-6.528925967883895,6.528925967883895
VIPV50_Wp700,Afternoon,work,583.527397260274,212987.50000000003,628.027397260274,-44.5,-7.085678139859529,7.085678139859529
VIPV50_Wp700,Afternoon,public,6458.582191780822,2357382.5,6968.95205479452,-510.3698630136987,-7.323480761538213,7.323480761538213
VIPV50_Wp700,Evening,home,6781.924657534247,2475402.5,7252.075342465753,-470.1506849315065,-6.482981253358741,6.482981253358741
VIPV50_Wp700,Evening,work,29.41780821917808,10737.5,26.28082191780822,3.1369863013698627,11.93640865259317,-11.93640865259317
VIPV50_Wp700,Evening,public,1873.8561643835617,683957.5,2027.4315068493152,-153.57534246575347,-7.574872046080304,7.574872046080304
VIPV50_Wp1000,Night,home,2564.9109589041095,936192.5,2771.4109589041095,-206.5,-7.451078279695324,7.451078279695324
VIPV50_Wp1000,Night,work,237.32876712328766,86625.0,298.90410958904107,-61.57534246575341,-20.600366636113655,20.600366636113655
VIPV50_Wp1000,Night,public,612.3698630136986,223515.0,682.2328767123288,-69.8630136986302,-10.240346967050186,10.240346967050186
VIPV50_Wp1000,Morning,home,2003.8835616438357,731417.5,2179.9931506849316,-176.1095890410959,-8.078446897219106,8.078446897219106
VIPV50_Wp1000,Morning,work,3366.0479452054797,1228607.5,3967.828767123288,-601.7808219178082,-15.166501813386086,15.166501813386086
VIPV50_Wp1000,Morning,public,5197.239726027397,1896992.5,5752.95205479452,-555.7123287671229,-9.659602991198081,9.659602991198081
VIPV50_Wp1000,Afternoon,home,10318.390410958904,3766212.5,11384.63698630137,-1066.2465753424658,-9.3656616071767,9.3656616071767
VIPV50_Wp1000,Afternoon,work,569.1780821917808,207750.0,628.027397260274,-58.84931506849318,-9.370501243292766,9.370501243292766
VIPV50_Wp1000,Afternoon,public,6302.876712328767,2300550.0,6968.95205479452,-666.0753424657532,-9.557754698678185,9.557754698678185
VIPV50_Wp1000,Evening,home,6565.691780821918,2396477.5,7252.075342465753,-686.3835616438355,-9.464650175717296,9.464650175717296
VIPV50_Wp1000,Evening,work,25.63013698630137,9355.0,26.28082191780822,-0.6506849315068486,-2.475892624446179,2.475892624446179
VIPV50_Wp1000,Evening,public,1805.5479452054794,659025.0,2027.4315068493152,-221.88356164383572,-10.944071890677526,10.944071890677526
VIPV80_Wp400,Night,home,2640.8356164383563,963905.0,2771.4109589041095,-130.57534246575324,-4.711511370994443,4.711511370994443
VIPV80_Wp400,Night,work,266.0821917808219,97120.0,298.90410958904107,-32.821917808219155,-10.98075160403299,10.98075160403299
VIPV80_Wp400,Night,public,640.0479452054794,233617.5,682.2328767123288,-42.18493150684935,-6.183362448045304,6.183362448045304
VIPV80_Wp400,Morning,home,2012.835616438356,734685.0,2179.9931506849316,-167.15753424657555,-7.667800891670525,7.667800891670525
VIPV80_Wp400,Morning,work,3582.205479452055,1307505.0,3967.828767123288,-385.6232876712329,-9.718748219843501,9.718748219843501
VIPV80_Wp400,Morning,public,5390.315068493151,1967465.0,5752.95205479452,-362.6369863013697,-6.303493977481481,6.303493977481481
VIPV80_Wp400,Afternoon,home,10638.205479452055,3882945.0000000005,11384.63698630137,-746.4315068493142,-6.556480525004551,6.556480525004551
VIPV80_Wp400,Afternoon,work,596.7397260273973,217810.0,628.027397260274,-31.287671232876733,-4.981895912402393,4.981895912402393
VIPV80_Wp400,Afternoon,public,6345.342465753424,2316050.0,6968.95205479452,-623.6095890410961,-8.948398326432212,8.948398326432212
VIPV80_Wp400,Evening,home,6756.157534246576,2465997.5,7252.075342465753,-495.91780821917746,-6.838288142364529,6.838288142364529
VIPV80_Wp400,Evening,work,28.061643835616437,10242.5,26.28082191780822,1.7808219178082183,6.77612718269481,-6.77612718269481
VIPV80_Wp400,Evening,public,1858.390410958904,678312.5,2027.4315068493152,-169.04109589041104,-8.337696998361519,8.337696998361519
VIPV80_Wp700,Night,home,2493.8698630136987,910262.5,2771.4109589041095,-277.5410958904108,-10.014433081413447,10.014433081413447
VIPV80_Wp700,Night,work,240.45205479452054,87765.0,298.90410958904107,-58.452054794520535,-19.555453712190648,19.555453712190648
VIPV80_Wp700,Night,public,597.3493150684932,218032.5,682.2328767123288,-84.8835616438356,-12.442021564965962,12.442021564965962
VIPV80_Wp700,Morning,home,1983.1027397260275,723832.5,2179.9931506849316,-196.8904109589041,-9.031698604054933,9.031698604054933
VIPV80_Wp700,Morning,work,3371.72602739726,1230680.0,3967.828767123288,-596.1027397260277,-15.023398808568235,15.023398808568235
VIPV80_Wp700,Morning,public,5021.301369863014,1832775.0,5752.95205479452,-731.6506849315065,-12.717830393210864,12.717830393210864
VIPV80_Wp700,Afternoon,home,10128.36301369863,3696852.5,11384.63698630137,-1256.2739726027394,-11.034818010573005,11.034818010573005
VIPV80_Wp700,Afternoon,work,555.2328767123288,202660.0,628.027397260274,-72.79452054794524,-11.590978493216424,11.590978493216424
VIPV80_Wp700,Afternoon,public,6191.226027397261,2259797.5,6968.95205479452,-777.7260273972597,-11.159870541255877,11.159870541255877
VIPV80_Wp700,Evening,home,6524.568493150685,2381467.5,7252.075342465753,-727.5068493150684,-10.03170561473664,10.03170561473664
VIPV80_Wp700,Evening,work,29.95205479452055,10932.5,26.28082191780822,3.671232876712331,13.969246807401626,-13.969246807401626
VIPV80_Wp700,Evening,public,1767.8150684931506,645252.5,2027.4315068493152,-259.6164383561645,-12.805189101535452,12.805189101535452
VIPV80_Wp1000,Night,home,2355.6849315068494,859825.0,2771.4109589041095,-415.72602739726017,-15.00051899779055,15.00051899779055
VIPV80_Wp1000,Night,work,212.17123287671234,77442.5,298.90410958904107,-86.73287671232873,-29.016956920256632,29.016956920256632
VIPV80_Wp1000,Night,public,577.486301369863,210782.5,682.2328767123288,-104.7465753424658,-15.353492761480238,15.353492761480238
VIPV80_Wp1000,Morning,home,1871.1575342465753,682972.5,2179.9931506849316,-308.8356164383563,-14.166815906798758,14.166815906798758
VIPV80_Wp1000,Morning,work,3189.253424657534,1164077.5,3967.828767123288,-778.5753424657537,-19.62220116243141,19.62220116243141
VIPV80_Wp1000,Morning,public,4782.931506849315,1745770.0,5752.95205479452,-970.0205479452052,-16.861265984943998,16.861265984943998
VIPV80_Wp1000,Afternoon,home,9665.445205479453,3527887.5000000005,11384.63698630137,-1719.1917808219168,-15.100980232312583,15.100980232312583
VIPV80_Wp1000,Afternoon,work,529.3904109589041,193227.5,628.027397260274,-98.63698630136992,-15.705841294769451,15.705841294769451
