Scenario,Season,Daily_demand_MWh,Demand_reduction_pct,Peak_30min_MW,Peak_reduction_pct,Home_share,Public_share,Load_factor,Spatial_Gini,Top10pct_hex_share
VIPV50_Wp1000,SPRING,481.0648435111337,0.15440269339761165,34.67628955230885,0.1290964182595891,0.571874882286523,0.42812511771347705,0.5780424820075929,0.5427796610309493,0.33277234879795986
VIPV50_Wp1000,SUMMER,488.45905483579077,0.14803519909083757,35.52579680043154,0.16512839720133332,0.5832970167726058,0.4167029832273943,0.5728924458046419,0.5401591674308212,0.33364522835045124
VIPV50_Wp1000,AUTUMN,532.2182435288265,0.06960840543382131,41.86275980535744,0.0671991192524259,0.6019651623029509,0.39803483769704895,0.529725231927888,0.5421861390999861,0.33301970731519803
VIPV50_Wp1000,WINTER,546.3706753076478,0.04418298627903514,41.617412642000076,0.030036601177167138,0.5931637747183526,0.40683622528164726,0.5470173025968115,0.5380256017505493,0.33024207900118796
VIPV80_Wp400,SPRING,502.11533794251574,0.11740094273151194,35.3748841616859,0.11155104199973193,0.587253819059679,0.4127461809403212,0.5914216515493577,0.5365924063861902,0.32360384459029184
VIPV80_Wp400,SUMMER,509.205809925097,0.11184894172866405,37.432580087512804,0.1203181645690309,0.5859640635992839,0.41403593640071595,0.5668032686306019,0.541602975304027,0.3331653989540944
VIPV80_Wp400,AUTUMN,541.0146676049732,0.05423103135430401,41.89686560425419,0.06643916172938144,0.6017503542308703,0.3982496457691295,0.5380421062950578,0.5457795250518465,0.33971703665466096
VIPV80_Wp400,WINTER,555.9475221879754,0.027429317753791854,41.01827172014272,0.04400058231020176,0.5905612428938639,0.4094387571061359,0.5647356438908744,0.5400855773628297,0.33249882548167464
VIPV80_Wp700,SPRING,465.4795742251391,0.1817978811954182,32.57091930769452,0.18197331225825006,0.5738481937870366,0.42615180621296367,0.5954692919827702,0.5372949714920243,0.32922964258440085
VIPV80_Wp700,SUMMER,472.2491120528625,0.17630839935006737,35.783632239677495,0.15906915277028508,0.5931514965897273,0.4068485034102726,0.5498895753158813,0.5463897589095126,0.33203718272611404
VIPV80_Wp700,AUTUMN,526.9656924797929,0.07879059602099152,40.801366801417835,0.09084945509978858,0.5991814684947643,0.4008185315052356,0.5381413804147784,0.5391887577442627,0.33144766800897324
VIPV80_Wp700,WINTER,546.2795824114844,0.04434234355042075,39.81493294203658,0.07204640488902356,0.5895246651055905,0.4104753348944095,0.5716862389365839,0.5358987798841466,0.32952930248234924
VIPV80_Wp1000,SPRING,426.728174366544,0.24991360361723725,30.85977873110333,0.22494903071759118,0.5754201514470532,0.42457984855294684,0.5761655245014875,0.5387675685430374,0.3297032085762508
VIPV80_Wp1000,SUMMER,442.5153919350685,0.22816962024392748,32.981711063103475,0.22491551328241474,0.5880404225091845,0.4119595774908155,0.5590413819146739,0.539552931614354,0.3286377603250962
VIPV80_Wp1000,AUTUMN,506.76605782254586,0.11410236995380747,39.58362174344351,0.11798368294061735,0.5999667906058779,0.4000332093941221,0.5334340689219575,0.5399230273842925,0.331596161555733
VIPV80_Wp1000,WINTER,532.8008247189275,0.06792198738674848,39.90351516038315,0.06998184815355757,0.5848474132194988,0.4151525867805011,0.556342825288966,0.5403953980981072,0.3344655402113661
