mode,pvEnergyProduced_kWh,pvEnergyStored_kWh,pvEnergyWasted_kWh,Scenario,Season,Adoption_pct,System_Wp,Annual_factor_full,pvEnergyProduced_annual_kWh_full,pvEnergyStored_annual_kWh_full,pvEnergyWasted_annual_kWh_full
DRIVING,2001.1393187780561,1997.9786341134234,3.1606846859159354,VIPV20_Wp1000,SUMMER,20,1000,131.42857142857142,263006.8818965445,262591.47762633563,415.40427300609434
PARKED_OPEN,27311.432778499395,25259.73472307206,2051.6980557976353,VIPV20_Wp1000,SUMMER,20,1000,131.42857142857142,3589502.5937456344,3319850.849318042,269651.7444762606
DRIVING,822.771123183334,821.416104489195,1.3550187133233798,VIPV20_Wp1000,AUTUMN,20,1000,130.0,106960.24601383341,106784.09358359536,176.15243273203936
PARKED_OPEN,11223.324308470912,10473.30854843253,750.0157602987265,VIPV20_Wp1000,AUTUMN,20,1000,130.0,1459032.1601012186,1361530.1112962288,97502.04883883444
DRIVING,421.1510770027756,420.46347316666015,0.6876038521646735,VIPV20_Wp1000,WINTER,20,1000,128.57142857142856,54147.99561464257,54059.58940714201,88.40620956402944
PARKED_OPEN,5877.357944065088,5499.535565675173,377.82237857810094,VIPV20_Wp1000,WINTER,20,1000,128.57142857142856,755660.3070940827,707083.1441582363,48577.16296004154
DRIVING,2168.865738576101,2165.00352166812,3.862216953344359,VIPV50_Wp400,SPRING,50,400,131.42857142857142,285050.9256414304,284543.31999066717,507.6056567252586
PARKED_OPEN,29690.701041719454,27571.555930735416,2119.145111643459,VIPV50_Wp400,SPRING,50,400,131.42857142857142,3902206.422625985,3623690.2080395115,278516.2146731403
DRIVING,1992.7598625851049,1989.4039644770585,3.3558981579548903,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,261905.5819397566,261464.52104555623,441.06090075978557
PARKED_OPEN,27237.152408527774,25426.200105343643,1810.9523038506159,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,3579740.0308350786,3341729.156702307,238010.87422036665
DRIVING,811.2294284063306,809.7576818407505,1.4717466012971114,VIPV50_Wp400,AUTUMN,50,400,130.0,105459.82569282298,105268.49863929756,191.3270581686245
PARKED_OPEN,11272.428110582789,10513.659263544841,758.7688474683472,VIPV50_Wp400,AUTUMN,50,400,130.0,1465415.6543757624,1366775.7042608294,98639.95017088513
DRIVING,412.88334608788546,412.1917702693141,0.691575843710322,VIPV50_Wp400,WINTER,50,400,128.57142857142856,53085.00163987098,52996.0847489118,88.9168941913271
PARKED_OPEN,5937.785805083629,5518.993866807566,418.7919385989327,VIPV50_Wp400,WINTER,50,400,128.57142857142856,763429.6035107522,709584.9257324012,53844.677819862765
DRIVING,3795.562564755687,3789.3433453943985,6.219219410933562,VIPV50_Wp700,SPRING,50,700,131.42857142857142,498845.36565360456,498027.98253754945,817.3831225798394
PARKED_OPEN,52118.147503423475,48446.44990160386,3671.6976024328305,VIPV50_Wp700,SPRING,50,700,131.42857142857142,6849813.671878513,6367247.70135365,482565.97060545767
DRIVING,3487.3073254333476,3481.7232994899055,5.584025987417411,VIPV50_Wp700,SUMMER,50,700,131.42857142857142,458331.8199140971,457597.9193615304,733.9005583462883
PARKED_OPEN,47596.662912048574,44284.695733744906,3311.9671790700545,VIPV50_Wp700,SUMMER,50,700,131.42857142857142,6255561.411297812,5820274.296435044,435287.11496349284
DRIVING,1419.6371731027466,1417.0854108714893,2.551762285050018,VIPV50_Wp700,AUTUMN,50,700,130.0,184552.83250335706,184221.1034132936,331.7290970565023
PARKED_OPEN,19970.888672300087,18615.89895097246,1354.9897219916238,VIPV50_Wp700,AUTUMN,50,700,130.0,2596215.5273990114,2420066.8636264196,176148.66385891108
DRIVING,722.5587385481099,721.336525780073,1.2222127920429673,VIPV50_Wp700,WINTER,50,700,128.57142857142856,92900.40924189983,92743.26760029509,157.14164469123864
PARKED_OPEN,10358.227876894991,9674.480803811975,683.7470733852821,VIPV50_Wp700,WINTER,50,700,128.57142857142856,1331772.1556007843,1243861.817632968,87910.33800667911
DRIVING,5422.223334979742,5413.045493542427,9.177841489025878,VIPV50_Wp1000,SPRING,50,1000,131.42857142857142,712635.0668830517,711428.8362941474,1206.230595700544
PARKED_OPEN,74491.12401943875,68623.5839378613,5867.540082374137,VIPV50_Wp1000,SPRING,50,1000,131.42857142857142,9790262.013983378,9019099.60326177,771162.410826315
DRIVING,4981.85006226,4973.996049111034,7.854013202374825,VIPV50_Wp1000,SUMMER,50,1000,131.42857142857142,654757.4367541714,653725.1950260216,1032.2417351692625
PARKED_OPEN,67479.50873993157,62497.08393339147,4982.424807459615,VIPV50_Wp1000,SUMMER,50,1000,131.42857142857142,8868735.434391005,8213902.459817164,654832.9746946922
DRIVING,2028.1032316438911,2024.6268039553584,3.476427735976337,VIPV50_Wp1000,AUTUMN,50,1000,130.0,263653.42011370586,263201.4845141966,451.9356056769238
PARKED_OPEN,28206.86436570914,26344.070389280936,1862.7939770830183,VIPV50_Wp1000,AUTUMN,50,1000,130.0,3666892.3675421886,3424729.150606522,242163.21702079236
DRIVING,1032.2278544874948,1030.5714544410575,1.6564000858730203,VIPV50_Wp1000,WINTER,50,1000,128.57142857142856,132715.0098626779,132502.04414242166,212.96572532653116
PARKED_OPEN,14789.520029641531,13894.226422712138,895.29360740481,VIPV50_Wp1000,WINTER,50,1000,128.57142857142856,1901509.718096768,1786400.5400629889,115109.17809490413
DRIVING,3439.229708415984,3433.2887883847666,5.940920103095546,VIPV80_Wp400,SPRING,80,400,131.42857142857142,452013.047391815,451232.2407591407,780.8066421211288
PARKED_OPEN,47477.94698325076,44228.81414262633,3249.1328416716315,VIPV80_Wp400,SPRING,80,400,131.42857142857142,6239958.7463700995,5812929.8587451745,427028.88776255725
DRIVING,3162.527778076101,3157.1586033176977,5.369174838495371,VIPV80_Wp400,SUMMER,80,400,131.42857142857142,415646.50797571614,414940.84500746883,705.6629787736773
PARKED_OPEN,43554.41738533534,40636.835037619305,2917.5823487767093,VIPV80_Wp400,SUMMER,80,400,131.42857142857142,5724294.856358359,5340841.176372822,383453.6801249389
DRIVING,1283.2044863614399,1280.8781934885988,2.3262929295504398,VIPV80_Wp400,AUTUMN,80,400,130.0,166816.5832269872,166514.16515351782,302.4180808415572
PARKED_OPEN,18270.074298532054,17040.464424761925,1229.6098744658295,VIPV80_Wp400,AUTUMN,80,400,130.0,2375109.658809167,2215260.3752190503,159849.28368055783
DRIVING,652.3551972013279,651.2541028817312,1.101094359853422,VIPV80_Wp400,WINTER,80,400,128.57142857142856,83874.23964017072,83732.67037050829,141.5692748382971
PARKED_OPEN,9470.60918408534,8830.492253948492,640.1169306533684,VIPV80_Wp400,WINTER,80,400,128.57142857142856,1217649.7522395437,1135349.0040790918,82300.74822686164
DRIVING,6018.621181401683,6008.58095756051,10.040223921245644,VIPV80_Wp700,SPRING,80,700,131.42857142857142,791018.783841364,789699.2115650955,1319.5722867922846
PARKED_OPEN,82976.93706305881,76881.79322097222,6095.143843063326,VIPV80_Wp700,SPRING,80,700,131.42857142857142,10905540.2997163,10104464.251899205,801076.0479454657
DRIVING,5534.347313848479,5525.407931022711,8.93938289688689,VIPV80_Wp700,SUMMER,80,700,131.42857142857142,727371.3612486571,726196.4709344134,1174.8903235908483
PARKED_OPEN,76127.34712784129,71025.14256638063,5102.204562695598,VIPV80_Wp700,SUMMER,80,700,131.42857142857142,10005308.47965914,9334733.023010025,670575.4568114213
DRIVING,2245.6236527826054,2241.6682860997776,3.9553667687333682,VIPV80_Wp700,AUTUMN,80,700,130.0,291931.0748617387,291416.87719297106,514.1976799353379
PARKED_OPEN,31821.278452687497,29699.64339907676,2121.6350546694084,VIPV80_Wp700,AUTUMN,80,700,130.0,4136766.1988493744,3860953.6418799786,275812.5571070231
DRIVING,1141.645920602248,1139.7115054405647,1.934415199848177,VIPV80_Wp700,WINTER,80,700,128.57142857142856,146783.04693457473,146534.33641378686,248.71052569476558
PARKED_OPEN,16737.85253585828,15654.189466302167,1083.6630700420064,VIPV80_Wp700,WINTER,80,700,128.57142857142856,2152009.611753207,2012681.5028102782,139328.10900540082
DRIVING,8598.032203505029,8583.842167705498,14.190035882039528,VIPV80_Wp1000,SPRING,80,1000,131.42857142857142,1130027.089603518,1128162.1134698652,1864.9761444966234
PARKED_OPEN,118807.07398236255,109554.48085897863,9252.593124655148,VIPV80_Wp1000,SPRING,80,1000,131.42857142857142,15614644.009110505,14398588.912894333,1216055.096383248
DRIVING,7906.36385894889,7893.5151682339865,12.8486907989509,VIPV80_Wp1000,SUMMER,80,1000,131.42857142857142,1039122.1071761397,1037433.4221107524,1688.6850764335466
PARKED_OPEN,109132.43066374594,101205.21836891699,7927.212296311382,VIPV80_Wp1000,SUMMER,80,1000,131.42857142857142,14343119.45866375,13301257.271343375,1041862.18751521
DRIVING,3208.0121416555594,3202.553840395189,5.458301334699429,VIPV80_Wp1000,AUTUMN,80,1000,130.0,417041.5784152227,416331.99925137457,709.5791735109258
PARKED_OPEN,45007.745679838554,42033.870986847716,2973.8746940338287,VIPV80_Wp1000,AUTUMN,80,1000,130.0,5851006.938379012,5464403.228290203,386603.7102243977
DRIVING,1630.9332818333253,1628.2997425473266,2.6335393489335233,VIPV80_Wp1000,WINTER,80,1000,128.57142857142856,209691.42194999894,209352.8240417991,338.597916291453
PARKED_OPEN,23799.281937211883,22287.875556972154,1511.4063810045416,VIPV80_Wp1000,WINTER,80,1000,128.57142857142856,3059907.6776415273,2865584.0001821336,194323.67755772674
