Scenario,Season,Adoption_pct,System_Wp,Rows,Observed_vehicle_count,Expected_equipped_sample_vehicles,Installed_VIPV_kWp_sample,Installed_VIPV_kWp_full,PV_produced_week_kWh_sample,PV_stored_week_kWh_sample,PV_wasted_week_kWh_sample,PV_produced_annual_kWh_full,PV_stored_annual_kWh_full,PV_wasted_annual_kWh_full,PV_stored_share,PV_wasted_share,Accounting_error_abs_kWh_week_sample,Mean_start_SoC_frac,Mean_end_SoC_frac,High_start_SoC_event_share_ge_90pct
VIPV50_Wp1000,AUTUMN,50,1000,173670,5297,5297.0,5297.0,52970.0,30234.967597353032,28368.69719323629,1866.2704048189946,3930545.787655894,3687930.635120718,242615.1526264693,0.9382744367723375,0.06172556325088902,7.02343630760182e-07,0.6896284877837773,0.7170832614483931,0.1988656647665112
VIPV50_Wp1000,WINTER,50,1000,134102,5293,5297.0,5297.0,52970.0,15821.747884129025,14924.797877153194,896.950007490683,2034224.727959446,1918902.5842054104,115322.14382023066,0.9433090443897434,0.056690955642797455,5.149036598641853e-07,0.6809903951244562,0.7011029909917925,0.19419546315491193
VIPV80_Wp400,SPRING,80,400,301106,8475,8475.2,3390.0800000000004,33900.8,50917.17669166674,47662.102931011104,3255.0737617747272,6691971.793761914,6264162.099504316,427809.6944046784,0.9360712048044806,0.06392879521749804,1.119311314590813e-06,0.6908462733698775,0.7196754810934417,0.19669817273651138
VIPV80_Wp400,SUMMER,80,400,301875,8475,8475.2,3390.0800000000004,33900.8,46716.945163411445,43793.993640937,2922.9515236152047,6139941.364334075,5755782.02138029,384159.3431037126,0.9374327342626912,0.0625672657617273,1.1410290451469572e-06,0.6878079000000131,0.7141563319012043,0.19205300207039339
VIPV80_Wp400,AUTUMN,80,400,276272,8473,8475.2,3390.0800000000004,33900.8,19553.278784893497,18321.342618250528,1231.9361673953802,2541926.2420361545,2381774.5403725686,160151.70176139942,0.9369959289081103,0.06300407113036978,7.524806578066473e-07,0.6888934951549266,0.7067365990140518,0.20569583598772223
VIPV80_Wp400,WINTER,80,400,212472,8473,8475.2,3390.0800000000004,33900.8,10122.964381286667,9481.746356830223,641.2180250132218,1301523.9918797142,1219081.6744495998,82442.31750169993,0.9366570897313635,0.06334291032363788,5.568085746274431e-07,0.6855775783070587,0.7005872007310988,0.205735343951203
VIPV80_Wp700,SPRING,80,700,301475,8475,8475.2,5932.640000000001,59326.4,88995.5582444605,82890.37417853273,6105.1840669845715,11696559.083557663,10894163.463464301,802395.6202322579,0.9313990025304686,0.06860099748140618,1.057306157527255e-06,0.7000701128314891,0.7406181881432444,0.1942615473919894
VIPV80_Wp700,SUMMER,80,700,301759,8475,8475.2,5932.640000000001,59326.4,81661.69444168976,76550.55049740334,5111.143945592485,10732679.840907795,10060929.493944438,671750.3471350122,0.9374107532395618,0.06258924677643174,1.3062336643787216e-06,0.6949163535161006,0.7306678532200578,0.18925698984951567
VIPV80_Wp700,AUTUMN,80,700,276037,8474,8475.2,5932.640000000001,59326.4,34066.9021054701,31941.311685176537,2125.5904214381417,4428697.273711113,4152370.51907295,276326.7547869584,0.9376054090943521,0.062394590939245896,1.1446241833668703e-06,0.6914162893591745,0.7141400037948609,0.2043240580067165
VIPV80_Wp700,WINTER,80,700,212986,8471,8475.2,5932.640000000001,59326.4,17879.49845646053,16793.900971742733,1085.5974852418544,2298792.658687782,2159215.839224065,139576.81953109556,0.9392825538500758,0.06071744617923483,5.241426742169114e-07,0.6858803253134778,0.7037328981016765,0.20230437681349947
VIPV80_Wp1000,SPRING,80,1000,301891,8475,8475.2,8475.2,84752.0,127405.10618586758,118138.32302668414,9266.783160537187,16744671.098714024,15526751.0263642,1217920.0725277443,0.9272652138002664,0.07273478621035917,1.3540830484466123e-06,0.7080107379304819,0.759352907252228,0.19505384393705014
VIPV80_Wp1000,SUMMER,80,1000,301637,8475,8475.2,8475.2,84752.0,117038.79452269484,109098.73353715098,7940.060987110333,15382241.56583989,14338690.693454128,1043550.8725916437,0.932158725507001,0.06784127450638332,1.5667965449350123e-06,0.7036608907578227,0.7496021579425053,0.18770243703524436
VIPV80_Wp1000,AUTUMN,80,1000,275652,8475,8475.2,8475.2,84752.0,48215.75782149411,45236.4248272429,2979.332995368528,6268048.5167942345,5880735.227541577,387313.2893979086,0.938208313446376,0.06179168657679732,1.1174594480531506e-06,0.6916044764764548,0.7188753891053559,0.19856195492867817
VIPV80_Wp1000,WINTER,80,1000,212592,8474,8475.2,8475.2,84752.0,25430.215219045207,23916.17529951948,1514.0399203534748,3269599.099591526,3074936.824223933,194662.27547401816,0.940462952968175,0.0595370470643748,8.278317873444539e-07,0.6832843876479727,0.7037437150481938,0.19666779558967412
