Scenario,Season,Adoption_pct,System_Wp,Daily_demand_MWh,Home_MWh,Public_MWh,Home_share,Public_share,Peak_30min_MW,Peak_slot,Peak_time,Load_factor,Overnight_share_00_06,Daytime_share_06_16,Evening_share_16_24,Active_hexes,Max_hex_MWh_day,P95_hex_MWh_day,Top10pct_hex_share,Spatial_Gini,Spatial_HHI,Demand_centroid_x,Demand_centroid_y,Demand_reduction_pct,Peak_reduction_pct
VIPV50_Wp1000,SUMMER,50,1000,488.45905483579077,284.91670950128344,203.5423453345074,0.5832970167726058,0.4167029832273943,35.52579680043154,36,17:30,0.5728924458046419,0.13224490812380582,0.39971046519533115,0.46804462668086305,554,5.2325,2.5138099915249095,0.33364522835045124,0.5401591674308212,0.0035465307452196802,319867.5091558637,6400016.8656202825,0.14803519909083757,0.16512839720133332
VIPV50_Wp1000,AUTUMN,50,1000,532.2182435288265,320.3768413464215,211.84140218240495,0.6019651623029509,0.39803483769704895,41.86275980535744,37,18:00,0.529725231927888,0.20075473920769796,0.36587230769168494,0.433372953100617,556,5.96,2.7035095562683757,0.33301970731519803,0.5421861390999861,0.003587771197672202,319792.5845913816,6399950.448596919,0.06960840543382131,0.0671991192524259
VIPV50_Wp1000,WINTER,50,1000,546.3706753076478,324.0872921608997,222.28338314674795,0.5931637747183526,0.40683622528164726,41.617412642000076,37,18:00,0.5470173025968115,0.14345585853557405,0.37664454804200587,0.4798995934224199,551,5.9075,2.7303261493227864,0.33024207900118796,0.5380256017505493,0.003541181783746585,319772.9560279722,6399967.498171413,0.04418298627903514,0.030036601177167138
VIPV80_Wp400,SPRING,80,400,502.11533794251574,294.86914981518373,207.24618812733212,0.587253819059679,0.4127461809403212,35.3748841616859,35,17:00,0.5914216515493577,0.20628129652008004,0.4031450802741487,0.39057362320577127,544,5.024343188875388,2.5207194255344234,0.32360384459029184,0.5365924063861902,0.0034843490575399757,319807.8698641304,6399923.748329502,0.11740094273151194,0.11155104199973193
VIPV80_Wp400,SUMMER,80,400,509.205809925097,298.3763055920744,210.82950433302256,0.5859640635992839,0.41403593640071595,37.432580087512804,37,18:00,0.5668032686306019,0.1377380489891721,0.3914814138037638,0.470780537207064,545,5.711853387686253,2.621141715002122,0.3331653989540944,0.541602975304027,0.0035768916691175452,319808.0570123768,6399979.376666096,0.11184894172866405,0.1203181645690309
VIPV80_Wp400,AUTUMN,80,400,541.0146676049732,325.5557678753892,215.45889972958395,0.6017503542308703,0.3982496457691295,41.89686560425419,37,18:00,0.5380421062950578,0.20125855373871018,0.3702129019933315,0.42852854426795833,547,5.949020962132922,2.7684999999999995,0.33971703665466096,0.5457795250518465,0.0036124777263166173,319826.93918159034,6400003.377900399,0.05423103135430401,0.06643916172938144
VIPV80_Wp400,WINTER,80,400,555.9475221879754,328.32105968709476,227.6264625008806,0.5905612428938639,0.4094387571061359,41.01827172014272,37,18:00,0.5647356438908744,0.14225095535887894,0.3810006986859619,0.47674834595515897,554,6.426467402845614,2.8734010458043735,0.33249882548167464,0.5400855773628297,0.0035591919211418726,319860.35697617906,6399967.19072634,0.027429317753791854,0.04400058231020176
VIPV80_Wp700,SPRING,80,700,465.4795742251391,267.1146129138549,198.3649613112843,0.5738481937870366,0.42615180621296367,32.57091930769452,35,17:00,0.5954692919827702,0.20379929435685457,0.4122089437791816,0.38399176186396394,544,5.3025,2.3620981992121552,0.32922964258440085,0.5372949714920243,0.003542228592892571,319854.54439592455,6399985.657618205,0.1817978811954182,0.18197331225825006
VIPV80_Wp700,SUMMER,80,700,472.2491120528625,280.1152675773252,192.13384447553724,0.5931514965897273,0.4068485034102726,35.783632239677495,36,17:30,0.5498895753158813,0.13447882836897956,0.3903307037466364,0.47519046788438407,546,5.175208018782153,2.4132033583889227,0.33203718272611404,0.5463897589095126,0.003594815557652294,319834.59153201827,6399983.109873311,0.17630839935006737,0.15906915277028508
VIPV80_Wp700,AUTUMN,80,700,526.9656924797929,315.74807746640266,211.21761501339017,0.5991814684947643,0.4008185315052356,40.801366801417835,36,17:30,0.5381413804147784,0.19722179713887855,0.3722435290899371,0.4305346737711843,547,5.892843037574883,2.773494697137446,0.33144766800897324,0.5391887577442627,0.0035483946506582064,319824.9658361991,6399975.202776744,0.07879059602099152,0.09084945509978858
VIPV80_Wp700,WINTER,80,700,546.2795824114844,322.0452878751522,224.23429453633224,0.5895246651055905,0.4104753348944095,39.81493294203658,37,18:00,0.5716862389365839,0.1448400162895369,0.3807186466360059,0.4744413370744572,549,5.534888909070906,2.809250737652966,0.32952930248234924,0.5358987798841466,0.0035089720554013423,319863.0606482913,6399943.842432229,0.04434234355042075,0.07204640488902356
VIPV80_Wp1000,SPRING,80,1000,426.728174366544,245.54799072072126,181.18018364582275,0.5754201514470532,0.42457984855294684,30.85977873110333,35,17:00,0.5761655245014875,0.19795720759395957,0.4122628756621579,0.38977991674388246,538,4.84,2.122332747668603,0.3297032085762508,0.5387675685430374,0.0035257112808045137,319809.7691455632,6400007.2063588835,0.24991360361723725,0.22494903071759118
VIPV80_Wp1000,SUMMER,80,1000,442.5153919350685,260.2169380403151,182.29845389475346,0.5880404225091845,0.4119595774908155,32.981711063103475,37,18:00,0.5590413819146739,0.13002338342145425,0.3962503719459241,0.47372624463262164,533,4.875,2.2084999999999995,0.3286377603250962,0.539552931614354,0.0035379247436611756,319859.39829451934,6400016.021366924,0.22816962024392748,0.22491551328241474
VIPV80_Wp1000,AUTUMN,80,1000,506.76605782254586,304.0428052997856,202.7232525227603,0.5999667906058779,0.4000332093941221,39.58362174344351,37,18:00,0.5334340689219575,0.19972795540950453,0.3693057111452943,0.43096633344520113,548,5.8975,2.643322941829239,0.331596161555733,0.5399230273842925,0.003558825747871519,319859.30405144306,6400009.975534985,0.11410236995380747,0.11798368294061735
VIPV80_Wp1000,WINTER,80,1000,532.8008247189275,311.6071840980804,221.1936406208471,0.5848474132194988,0.4151525867805011,39.90351516038315,36,17:30,0.556342825288966,0.1418795791480764,0.38310921879678067,0.4750112020551428,553,5.9325,2.7057674411959116,0.3344655402113661,0.5403953980981072,0.003579301956823356,319843.78764289984,6400016.92399557,0.06792198738674848,0.06998184815355757
