hour_of_day,mode,pvEnergyProduced_kWh,pvEnergyStored_kWh,pvEnergyWasted_kWh,Scenario,Season,Adoption_pct,System_Wp,Annual_factor_full,pvEnergyProduced_annual_kWh_full,pvEnergyStored_annual_kWh_full,pvEnergyWasted_annual_kWh_full
16,DRIVING,96.39756632399896,96.26328945920494,0.13427686534918074,VIPV50_Wp400,SPRING,50,400,131.42857142857142,12669.394431154147,12651.746614638363,17.647816588749468
16,PARKED_OPEN,206.88804098709957,205.3533866117433,1.5346544035595235,VIPV50_Wp400,SPRING,50,400,131.42857142857142,27190.999672590227,26989.302240400546,201.6974358963945
17,DRIVING,21.79764658877745,21.7748876842399,0.02275890884180652,VIPV50_Wp400,SPRING,50,400,131.42857142857142,2864.833551667893,2861.8423813572435,2.991170876351714
17,PARKED_OPEN,44.343478868550655,44.16390457484306,0.1795743174648092,VIPV50_Wp400,SPRING,50,400,131.42857142857142,5828.000079866657,5804.398886979373,23.601196009660637
18,DRIVING,2.5597119240000015,2.55703412185021,0.0026778036452456476,VIPV50_Wp400,SPRING,50,400,131.42857142857142,336.41928144000013,336.06734172888474,0.35193990766085653
18,PARKED_OPEN,4.589800192667268,4.585936166316536,0.003864040609912603,VIPV50_Wp400,SPRING,50,400,131.42857142857142,603.2308824648409,602.7230390016018,0.5078453373027992
19,DRIVING,0.015031403777777659,0.015018989600229366,1.2417296336979327e-05,VIPV50_Wp400,SPRING,50,400,131.42857142857142,1.9755559250793493,1.9739243474587165,0.0016319875185744257
19,PARKED_OPEN,0.025918470555555795,0.02590854192868951,9.933609147950978e-06,VIPV50_Wp400,SPRING,50,400,131.42857142857142,3.40642755873019,3.4051226534849066,0.0013055600594449855
2,PARKED_OPEN,7064.695856604344,6155.33767360738,909.3581832370443,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,928502.8840108565,808987.2371026841,119515.6469397258
3,DRIVING,0.007841493333333093,0.007840674323314992,8.190136615831905e-07,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,1.030596266666635,1.0304886253499703,0.00010764179552236216
3,PARKED_OPEN,7.6039392900011284,7.603939290035765,2.5460712249625315e-10,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,999.374878114434,999.3748781189861,3.346265038522184e-08
4,DRIVING,0.3378908057777697,0.33707064524592845,0.0008201606474965545,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,44.40850590222116,44.300713375179164,0.1077925422424043
4,PARKED_OPEN,79.47465379788808,76.29039186417258,3.18426193532561,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,10445.240213436718,10026.737216434109,418.502997214223
5,DRIVING,4.632238632666565,4.621046405622437,0.011192227277014043,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,608.8085060076057,607.3375275960916,1.4709784421218455
5,PARKED_OPEN,522.6892200163431,481.0606766204851,41.62854340429864,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,68696.29748786223,63225.11749869232,5471.179990279249
6,DRIVING,48.63968509711037,48.501112067953784,0.13857303424902076,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,6392.644327048792,6374.431871788211,18.212455929871297
6,PARKED_OPEN,2322.28839527071,2205.633381167673,116.65501413277784,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,305215.046235579,289883.244382037,15331.8018574508
7,DRIVING,197.19487432911066,196.6862780605818,0.5085962798512047,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,25917.040626111684,25850.196545105035,66.84408249472976
7,PARKED_OPEN,4993.634536632107,4716.590824378077,277.0437123018559,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,656306.2533859339,619894.7940611186,36411.45933110106
8,DRIVING,150.95012116455501,150.55074276559046,0.3993783995351109,VIPV50_Wp400,SUMMER,50,400,131.42857142857142,19839.15878162723,19786.669049191885,52.48973251032886
